NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED"
Injured Person,15-0312,02-28-15/1624,02-28-15/1624,Burr Gymnasium
Lost Property,15-0313,02-28-15/1802,02-28-15/1635,Administration Building
Hazardous Water Leak,15-0314,02-28-15/1942,02-28-15/1940,Distribution Center
Aggravated Assault,15-0315,02-28-15/2202,02-28-15/2200,Cramton Auditorium
Simple Assault,15-0316,02-28-15/2226,02-28-15/2215,Cramton Auditorium
Sick Person,15-0317,02-28-15/2354,02-28-15/2354,Quadrangle Hall
Fire Alarm Activation,15-0318,03-01-15/0035,03-01-15/0032,Drew Hall
Injured Person,15-0319,03-01-15/0055,03-01-15/0053,Bethune Hall Annex
Found Property,15-0320,03-01-15/0229,03-01-15/0207,Main Gate
Burglary 2,15-0321,03-01-15/1500,02-28-15/1400,College Hall South
Lost Property,15-0322,03-01-15/1918,03-01-15/1918,College Hall North
Student Misconduct,15-0323,03-01-15/1954,03-01-15/1950,East Campus
Lost Property,15-0324,03-01-15/1918,03-01-15/1918,College Hall North
Miscellaneous,15-0325,03-01-15/2105,03-01-15/2102,Mudd Building
Damaged Property,15-0326,03-02-15/0836,03-02-15/0835,School of Business
Lost Property,15-0327,03-02-15/1240,03-02-15/1133,On Campus
Suspicious Odor,15-0328,03-02-15/1320,03-02-15/1300,College Hall South
Shoplifting,15-0329,03-02-15/1332,03-02-15/1330,Wonder Plaza
Lost Property,15-0330,03-02-15/1342,03-02-15/1339,Burr Gymnasium
Sick Person,15-0331,03-02-15/1506,03-02-15/1445,Service Center
Theft 2,15-0332,03-02-15/1644,03-02-15/1500,Service Center
Sick Transport,15-0333,03-02-15/1745,03-02-15/1742,Student Health Clinic
Miscellaneous,15-0334,03-03-15/0959,03-03-15/0958,Childers Lot
Sick Transport,15-0335,03-03-15/1146,03-03-15/1145,Student Health Clinic
Sick Person,15-0336,03-03-15/1235,03-03-15/1215,College Hall South
Miscellaneous,15-0337,03-03-15/1154,03-03-15/1154,Howard Manor
Aggravated Assault,15-0338,03-03-15/1817,03-03-15/1430,"6th and Bryant St, NW"
Recovered Property,15-0339,03-03-15/1956,03-03-15/1945,Locke Hall
Injured Person,15-0340,03-03-15/2045,03-03-15/2044,Drew Hall
Vehicle Accident,15-0341,03-04-15/1006,03-04-15/1006,9th & V St. NW
Fire Alarm Activation,15-0342,03-04-15/1058,03-04-15/1036,College Hall South
Lost Property,15-0343,03-04-15/1055,03-04-15/1045,Cook Hall
Lost Property,15-0344,03-04-15/1355,03-04-15/1339,College Hall South
Lost Property,15-0345,03-04-15/1340,03-04-15/1340,Mudd Building
Sick Transport,15-0346,03-04-15/1807,03-04-15/1757,Student Health
Sick Person,15-0347,03-04-15/2144,03-04-15/2144,Bethune Hall Annex
Fire Alarm Activation,15-0348,03-05-15/0757,03-05-15/0753,Carver Hall
Student Misconduct,15-0349,03-05-15/1829,03-05-15/1829,College Hall South
Simple Assault/Domestic Violence,15-0350,03-06-15/0051,03-06-15/2315,College Hall South
Injured Person,15-0351,03-06-15/0236,03-06-15/0236,HU Hospital
Miscellaneous,15-0352,03-06-15/1140,03-06-15/1140,Dental School
Theft 2,15-0353,03-06-15/1649,03-06-15/1433,College Hall North
Fire Alarm Activation,15-0354,03-06-15/1905,03-06-15/1904,College Hall South
Fire Alarm Activation,15-0355,03-06-15/2323,03-06-15/2323,Slowe Hall
Student Misconduct,15-0356,03-07-15/0235,03-07-15/0235,Plaza Towers
Suspicious Odor,15-0357,03-08-15/1204,03-08-15/1204,Lower Campus
Theft 2,15-0358,03-08-15/1331,03-08-15/1331,Bethune Annex
Student Misconduct,15-0359,03-08-15/2015,03-08-15/1949,Cook Hall
Sick Transport,15-0360,03-09-15/0411,03-09-15/0411,College Hall South
Robbery Snatch,15-0361,03-09-15/1600,03-08-15/0943,Off Campus  Metro Bus G2
Hazardous Odor,15-0362,03-09-15/0905,03-09-15/0905,Howard Center
Lost Property,15-0363,03-09-15/1555,03-09-15/1530,Off Campus in Puerto Rico
Student Misconduct,15-0364,03-09-15/2045,03-09-15/2045,Carver Hall
Suspicious Odor,15-0365,03-09-15/2351,03-09-15/2351,Carver Hall
Fire Alarm Activation,15-0366,03-10-15/0144,03-10-15/0144,College Hall South
Fire Alarm Activation,15-0367,03-10-15/0225,03-10-15/0225,College Hall South
Injured Person,15-0368,03-10-15/0951,03-10-15/0951,Quadrangle Hall
Suspicious Odor,15-0369,03-10-15/1137,03-10-15/1125,Bethune Hall Annex
Miscellaneous,15-0370,03-10-15/1230,03-10-15/1229,School of Business
Theft,15-0371,03-10-15/1438,03-10-15/1438,Main Gate
Hazardous Elevator,15-0372,03-10-15/1430,03-10-15/1425,Lower Campus
Theft  2,15-0373,03-10-15/1600,03-10-15/1546,Bethune Hall Annex
Theft 2,15-0374,03-10-15/1658,03-10-15/1445,Main Gate
Suspicious Odor,15-0375,03-10-15/2255,03-10-15/2247,Quadrangle Hall
Unlawful Entry,15-0376,03-11-15/0129,03-11-15/0129,Wonder Plaza
Sick Person,15-0377,03-11-15/0133,03-11-15/0131,College Hall North
Damaged Property,15-0378,03-11-15/0850,03-11-15/0850,Blackburn Center
Damaged Property,15-0379,03-11-15/1239,03-11-15/1235,Howard Center Lot
Theft from Auto,15-0380,03-11-15/1523,03-11-15/1523,Howard Center  Lot
Lost Property,15-0381,03-11-15/1656,03-11-15/1656,College Hall South
Miscellaneous,15-0382,03-11-15/1814,03-11-15/1814,Plaza Towers
Fire Alarm Activation,15-0383,03-11-15/1937,03-11-15/1910,College Hall South
Vandalism,15-0384,03-12-15/0312,03-12-15/0302,Lower Campus
Simple Assault,15-0385,03-12-15/2100,03-12-15/1225,6th Street NW
Unlawful Entry,15-0386,03-12-15/1318,03-12-15/1224,Burr Gymnasium
Theft from Auto,15-0387,03-12-15/1349,03-12-15/1349,Banneker South Parking Lot
Injured Person,15-0388,03-12-15/2010,03-12-15/1958,Drew Hall
Injured Person,15-0389,03-12-15/2033,03-12-15/1735,Carnegie Hall
Missing Person,15-0390,03-13-15/1021,03-13-15/1000,Howard Plaza West
Fire Alarm Activation,15-0391,03-13-15/1320,03-13-15/1320,Slowe Hall
