NATURES OF CRIMES,CASE NUMBERS,DATE/TIME REPORTED,DATE/TIME OCCURRED
Lost Property,18-0125,1/20/18 1:53pm,1/20/2018 1:40pm,HU Hospital
Vehicle Accident,18-0126,1/20/18 4:16pm,1/20/18 4:16pm,Upper Campus
Hazardous Water Leak,18-0127,1/20/18 4:42pm,1/20/18 4:30pm,Biology Building
Hazardous Water Leak,18-0128,1/21/18 12:18am,1/21/18 12:18am,Chemistry Building
Sick Person,18-0129,1/21/18 2:07am,1/21/18 2:07am,Drew Hall
Sick Person,18-0130,1/21/18 2:59am,1/21/18 2:00am,HU Hospital
Theft from Auto,18-0131,1/21/18 3:25am,1/21/18 2:00am,I-Lab
Theft 1,18-0132,1/21/18 12:17pm,1/21/18 12:17pm,Off Campus
Sick Person,18-0133,1/22/18 12:50am,1/22/18 12:01am,HU Hospital
Lost Property,18-0134,1/22/18 5:52am,1/21/18 11:30pm,HU Hospital
Lost Property,18-0135,1/22/18 10:51am,1/22/18 10:40am,I-Lab
Found Property,18-0136,1/22/18 9:56am,1/22/18 9:56am,69 Bryant St. NW
Suspicious Odor,18-0137,1/22/18 1:36pm,1/22/18 1:36pm,Architect & Planning
Attempt Suicide,18-0138,1/22/18 2:25pm,1/22/18 2:25pm,Quadrangle Hall
Theft from Auto,18-0139,1/22/18 10:16pm,1/22/18 10:16pm,Rear of Johnson Lot
Sick Person,18-0140,1/23/18 12:12am,1/23/18 12:12am,Quadrangle Hall
Sexual Assault,18-0141,1/23/18 3:46am,1/23/18 12:02am,Drew Hall
Fire Alarm Activation,18-0142,1/23/18 11:36am,1/23/18 11:36am,Admin. Building
Sick Person,18-0143,1/23/18 11:49am,1/23/18 11:49am,Upper Campus
Found Property,18-0144,1/23/18 12:43pm,1/23/18 12:43pm,Stokes Library
Fire Alarm Activation,18-0145,1/23/18 1:07pm,1/23/18 1:07pm,College Hall South
Lost Property,18-0146,1/23/18 4:22pm,1/23/18 3:45pm,Burr Gym
Sick Transport,18-0147,1/23/18 4:37pm,1/23/18 4:37pm,HU Hospital
Hazardous Water Leak,18-0148,1/23/18 4:27pm,1/23/18 4:15pm,Burr Gym Loading Dock
Sick Person,18-0149,1/23/18 6:31pm,1/23/18 4:23pm,HU Hospital
Injured Person,18-0150,1/23/18 9:23pm,1/23/18 4:40pm,HU Hospital
Threats,18-0151,1/23/18 11:22pm,1/23/18 11:22pm,College Hall North
Sick Person,18-0152,1/24/18 10:11am,1/24/18 10:05am,HU Hospital
Injured Person,18-0153,01/24/18 11:56am,1/24/18 11:51am,HU Hospital
Vehicle Accident,18-0154,1/24/18 12:51pm,1/24/18 12:51pm,Lower Campus
Damaged Property,18-0155,1/24/18 1:43pm,1/24/18 1:25pm,HU Hospital
Student Misconduct,18-0156,1/24/18 1:26pm,1/24/18 1:26pm,College Hall North
Title 9,18-0157,1/24/19 3:44pm,1/24/18 3:44pm,Off Campus
Miscellaneous,18-0158,1/24/18 4:25pm,1/23/18 4:25pm,Admin. Building
Damaged Property,18-0159,1/24/18 4:27pm,1/24/18 4:15pm,School of Business
Health & Welfare Check,18-0160,1/24/18 3:17pm,1/24/18 3:17pm,Plaza Towers
Sick Person,18-0161,1/24/18 4:44pm,1/24/18 4:44pm,Medical Arts Building
Found Property,18-0162,1/24/18 9:57pm,1/24/18 9:57pm,Mudd Building
Injured Person,18-0163,1/24/18 11:21pm,1/24/18 2:47am,2300 blk 6th St. NW
Fire Alarm Activation,18-0164,1/25/18 7:26am,1/25/18 7:26am,Dental School
Lost Property,18-0165,1/25/18 10:05am,1/25/18 10:00am,HU Hospital
Sick Person,18-0166,1/25/18 1:02pm,1/25/18 12:41pm,HU Hospital
Sick Person,18-0167,1/25/18 1:43pm,1/25/18 1:43pm,Blackburn Center
Fire Alarm Activation,18-0168,1/25/18 5:13pm,1/25/18 5:13pm,Founders Library
Damaged Property,18-0169,1/25/18 6:11pm,1/25/18 6:11pm,Dental School
Damaged Property,18-0170,1/25/18 5:51pm,1/25/18 5:51pm,A-1 rear Parking Lot
Harrassment,18-0171,1/25/18 8:13pm,1/25/18 8:13pm,College Hall South
Damaged Property,18-0172,1/25/18 8:48pm,1/25/18 5:52pm,2200 block of 6th St NW
Fire Alarm Activation,18-0173,1/26/18 5:55am,1/26/18 5:55am,C.B. Powell Building
Suspicious Odor,18-0174,1/26/18 5:57pm,1/26/18 5:57pm,Bethune Annex
Vehicle Accident,18-0175,1/26/18 6:05pm,1/26/18 6:00pm,Off Campus
Hazardous Elevator,18-0176,1/26/18 7:05pm,1/26/18 7:05pm,Quadrangle Hall
Fire Alarm Activation,18-0177,1/26/18 6:55pm,1/26/18 6:55pm,Biology Building
Theft from Auto,18-0178,1/26/18 7:49pm,1/26/18 7:49pm,Cook Hall
Theft from Auto,18-0179,1/27/18 10:06am,1/27/18 2:30am,Drew Hall
Sick Person,18-0180,1/27/18 12:17pm,1/27/2018 12:16pm,Quadrangle Hall
Hazardous Water Leak,18-0181,1/27/18 4:23pm,1/27/18 4:15pm,UGL
Theft 2,18-0182,1/27/18 5:02pm,1/27/18 5:02pm,Bethune Annex
Lost Property,18-0183,1/28/18 3:59am,1/28/18 3:30am,HU Hospital
Fire Alarm Activation,18-0184,1/28/18 4:57am,1/28/18 4:57am,Architecture & Planning
Injured Person,18-0185,1/28/18 7:13pm,1/28/18 5:55pm,HU Hospital
Fire Alarm Activation,18-0186,1/28/18 9:44pm,1/28/18 9:44pm,HUIRB Reearch
Fire Alarm Activation,18-0187,1/28/18 10:52pm,1/28/18 10:52pm,College Hall South
Hazardous Water Leak,18-0188,1/29/18 1:22am,1/29/2018 1:22am,HU Research Lab
Injured Person,18-0189,1/29/18 9:56am,1/29/18 9:56am,Service Center
Damaged Property,18-0190,1/29/18 10:30am,1/29/18 10:20am,Service Center
Disorderly Conduct,18-0191,1/29/18 10:13am,1/28/18 9:50am,Admin. Building
Miscellaneous,18-0192,1/29/18 1:02pm,1/29/18 1:02pm,HU Hospital
Theft from Auto,18-0193,1/29/18 2:07pm,1/29/18 2:07pm,Burr Gym
Lost Property,18-0194,1/29/18 6:54pm,1/29/18 2:00pm,Chemistry Building
Fire Alarm Activation,18-0195,1/29/18 7:40pm,1/29/18 7:40pm,Plaza Towers
Unlawful Entry,18-0196,1/29/18 9:25pm,1/29/18 9:10pm,HU Hospital
Disorderly Conduct,18-0197,1/29/18 10:40pm,1/29/18 10:40pm,HU Hospital
Injured Person,18-0198,1/30/18 5:36am,1/29/18 10:50pm,HU Hospital
Damaged Property,18-0199,1/30/18  8:49am,1/30/18  8:49am,"Ga., Ave., Lot"
Disorderly Conduct,18-0200,1/30/18 11:41am,1/24/18 5:15pm,Off Campus
Damaged Property,18-0201,1/30/18 1:43pm,1/30/18 8:49am,"Ga., Ave., Lot"
Disorderly Conduct,18-0202,1/30/18 1:46pm,1/30/2018 1:36pm,Administration Building
Damaged Property,18-0203,1/30/18 3:37pm,1/30/18 3:37pm,Chemistry Building
Sexual Assault,18-0204,1/30/18 6:05pm,1/30/18 6:05pm,Howard Plaza Towers West
Injured Person,18-0205,1/30/18 7:17pm,1/30/18 6:50pm,Howard Center Lot
Found Property,18-0206,1/30/18 6:08pm,1/30/18 5:50pm,Bethune Annex
Vehicle Accident,18-0207,1/31/18 11:52am,1/31/18 12:06pm,Annex 3
Damaged Property,18-0208,1/31/18 1:10pm,1/31/18 12:15pm,HU Hospital
Sick Person,18-0209,1/31/18 3:46pm,1/31/18 3:46pm,HU Hospital
Injuried Person,18-0210,1/31/18 5:55pm,1/31/18 5:35pm,Upper Campus
Lost Property,18-0211,1/31/18 8:49pm,1/31/18 8:50pm,Blackburn Center
Sick Person,18-0212,1/31/18 6:38pm,1/31/18 6:38pm,Blackburn Center
Sick Person,18-0213,1/31/18 9:59pm,1/31/18 9:44pm,HU Hospital
Damaged Property,18-0214,1/31/2018 10:47pm,1/31/2018 10:47pm,Mudd Building
Hazardous Water Leak,18-0215,1/31/18 11:50pm,1/31/18 11:50pm,Pharmacy Bldg.
Damaged Property,18-0216,1/31/18 11:56pm,1/31/18 11:56pm,Founders Library
Fire Alarm Activation,18-0217,2/1/18 5:11am,2/1/18 5:00am,HU Hospital
Theft from Auto,18-0218,2/1/18 9:51am,2/1/18 9:54am,Lower Campus
Fire Alarm Activation,18-0219,2/1/18 9:58am,2/1/18 9:58am,College Hall South
Fire Alarm Activation,18-0220,2/1/18 11:49am,2/1/18 10:55am,Stokes Library
Lost Property,18-0221,2/1/18 2:16pm,2/1/18 2:16pm,Carnegie Hall
Lost Property,18-0222,2/1/18 3:28pm,2/1/18 3:15pm,BTWN Howard Hall/Cook Hall
Found Property,18-0223,2/1/18 9:32pm,2/1/18 9:15pm,Burr Gym
Found Property,18-0224,2/2/18 8:18am,2/2/18 8:20am,HUIRB Research Bldg.
Vehicle Accident,18-0225,2/2/18 11:19am,2/2/18 11:19am,Main Gate
Theft 2,18-0226,2/2/18 12:13pm,2/2/18 12:13pm,HU Hospital
Miscellaneous,18-0227,2/2/18 3:56pm,2/2/18 3:56pm,HU Hospital
Theft 2,18-0228,2/2/18 3:00pm,2/2/18 3:00pm,HU Service Center
Theft 2,18-0229,2/2/18 10:23pm,2/2/18 10:23pm,College Hall North
Sick Person,18-0230,2/3/18 3:33am,2/3/18 3:33am,College Hall North
Injured Person,18-0231,2/3/18 12:34pm,2/3/18 9:10am,Bethune Annex
Hazardous Water Leak,18-0232,2/3/18 1:01pm,2/3/18 1:01pm,Pharmacy Building
Damaged Property,18-0233,2/4/18 1:11pm,2/4/18 6:20am,HU Service Center
Hazardous Water Leak,18-0234,2/4/18 3:25pm,2/4/18 3:15pm,School Of Business
Theft from Auto,18-0235,2/4/18 3:20pm,2/4/18 3:20pm,300 Block College Street
Hazardous Water Leak,18-0236,2/4/18 4:47pm,2/4/18 4:47pm,Miner Building
Lost Property,18-0237,2/4/18 8:35pm,2/4/18 8:35pm,HU Hospital
Injured Person,18-0238,2/5/18 9:24am,2/5/18 9:24am,HU Service Center
Lost Property,18-0239,2/5/18 2:31pm,2/5/18 2:31pm,HU Service Center
Sick Person,18-0240,2/5/18 3:12pm,2/5/18 3:12pm,Drew Hall
Damaged Property,18-0241,2/5/18 4:05pm,2/5/18 4:00pm,Banneker South Lot
Fire Alarm Activation,18-0242,2/5/18 9:54pm,2/5/18 9:54pm,Stokes Library
Fire Alarm Activation,18-0243,2/6/18 11:27am,2/6/18 11:27am,Rankin Chapel
Miscellaneous,18-0244,2/6/18 12:42pm,2/6/18 12:42pm,Service Center
Theft 2,18-0245,2/6/18 1:30pm,2/6/18 1:30pm,HU Hospital
Lost Property,18-0246,2/6/18 2:30pm,2/5/18 2:30pm,On Campus
Fraud,18-0247,2/6/18 2:35pm,2/2/18 2:35pm,On Campus
Found Property,18-0248,2/6/18 4:55pm,2/6/18 4:40pm,Bethune Annex
Found Property,18-0249,2/6/18 5:41pm,2/6/18 5:40pm,Main Gate
Miscellaneous,18-0250,2/6/18 7:18pm,2/6/18 7:18pm,Plaza Towers
Miscellaneous,18-0251,2/7/18 7:43am,2/7/18 7:35am,Service Center
Hazardous Odor,18-0252,2/7/18  6:03pm,2/7/18  6:03pm,Founders Library
Sick Person,18-0253,2/7/18 6:46pm,2/7/18 6:45pm,HU Hospital
Damaged Property,18-0254,2/7/18 8:46pm,2/7/18 8:45pm,College St. NW
Sick Person,18-0255,2/7/18 9:30pm,2/7/18 9:30pm,Quadrangle Hall
Damaged Property,18-0256,2/8/18 12:12pm,2/8/18 12:10pm,A-2 Garage
Vehicle Accident,18-0257,2/8/18 2:43pm,2/8/18 1:31pm,HU Hospital
Vehicle Accident,18-0258,2/8/18 2:57pm,2/8/18 2:57pm,4th & Bryant Street
Injured Person,18-0259,2/8/18 3:27pm,2/8/18 3:27pm,Bethune Annex
Sick Person,18-0260,2/8/18 7:43pm,2/8/18 7:43pm,College Hall South
Injured Person,18-0261,2/8/18 9:34pm,2/8/18 9:34pm,Burr Gymnasium
Found Property,18-0262,2/9/18 3:15am,2/9/18 2:46am,Stokes Library
Sick Person,18-0263,2/9/18 4:50am,2/9/18 4:50am,Quadrangle Hall
Student Misconduct,18-0264,2/9/18 9:41am,2/9/18 9:40am,Howard Plaza Towers West
Sick Person,18-0265,2/9/18 10:21am,2/9/18 10:20am,WHUR
Vehicle Accident,18-0266,2/9/18 11:57am,2/9/18 11:57am,Service Center
Damaged Property,18-0267,2/9/18 2:15pm,2/9/18 2:15pm,HU Hospital
Theft from Auto,18-0268,2/9/18 6:48pm,2/9/18 6:48pm,Miner Lot
Theft from Auto,18-0269,2/9/18 6:49pm,2/9/18 6:49pm,Physic Building
Damaged Property,18-0270,2/10/18 1:20am,2/10/18 1:20am,C.B. Powell Building
Unlawful Entry,18-0271,2/10/18 3:09am,2/10/18 3:09am,Howard Plaza Towers West
Lost Property,18-0272,2/10/18 3:40pm,2/10/18 1:53pm,HU Hospital
Fire Alarm Activation,18-0273,2/10/18 4:48pm,2/10/18 4:48pm,College Hall South
Theft from Auto,18-0274,2/10/18 9:59pm,2/10/18 9:59pm,I-Lab
Fire Alarm Activation,18-0275,2/11/18 12:36am,2/11/18 12:36am,Chemistry Building
Damaged Property,18-0276,2/11/18 7:36am,2/11/18 7:15am,Burr Gymnasium
Damaged Property,18-0277,2/11/18 8:06am,2/11/18  8:06am,Burr Gymnasium
Threats to do bodily harm,18-0278,2/11/18 10:06pm,2/11/18 7:06pm,Stokes Library
Vehicle Accident,18-0279,2/12/18 12:31am,2/12/18 12:31am,Lower Campus
Damaged Property,18-0280,2/12/18 12:00pm,2/12/18 10:00am,Greene Stadium
Damaged Property,18-0281,2/12/18 1:41pm,2/11/18 12:01pm,West Campus
Found Property,18-0282,2/12/18 2:25pm,2/12/18 2:25pm,College Hall North
Hazardous Water Leak,18-0283,2/12/18 4:08pm,2/12/18 4:08pm,Chemistry Building
Harrassment,18-0284,2/12/18 5:05pm,2/12/18 4:45pm,Off Campus
Damaged Property,18-0285,2/12/18 6:35pm,2/12/18 6:18pm,Greene Stadium
Sick Person,18-0286,2/13/18 9:59am,2/13/18 9:59am,College Hall South
Injured Person,18-0287,2/13/18 11:07am,2/13/18 11:07am,Dental School
Armed Robbery,18-0288,2/13/18 5:47pm,2/13/18 4:00pm,Upper Campus
Lost Property,18-0289,2/13/18 6:15pm,2/13/18 6:15pm,Campus wide
Fire Alarm Activation,18-0290,2/14/18 7:15am,2/14/18 7:15am,Burr Gymnasium
Sick Person,18-0291,2/14/18 11:41am,2/14/18 11:41am,Quadrangle Hall
Simple Assault,18-0292,2/14/18 12:14pm,2/14/18 12:14pm,I-Lab
Simple Assault,18-0293,2/14/18 10:37pm,2/14/18 4:24pm,HU Hospital
Fire Alarm Activation,18-0294,2/15/18 1:59pm,2/15/18 1:59pm,Pharmacy Building
Found Property,18-0295,2/15/18 6:42am,2/15/18 6:30am,Medical Arts Building
Suspicious Odor,18-0296,2/15/18 9:22am,2/15/18 9:22am,Dental School
Attempt Suicide,18-0297,2/15/18 10:59am,2/15/18 10:42am,HU Hospital
Lost Property,18-0298,2/15/18 1:14pm,2/15/18 12:45pm,HU Hospital
Sick Person,18-0299,2/15/18 2:23pm,2/15/18 2:23pm,Blackburn Center
Sick Person,18-0300,2/15/18 2:59pm,2/15/18 2:39pm,HU Hospital
Sick Person,18-0301,2/15/18 4:28pm,2/15/18 4:28pm,Burr Gymnasium
Domestic Violence,18-0302,2/15/18 7:43pm,2/15/18 5:00pm,HU Hospital
Lost Property,18-0303,2/15/18 8:13pm,2/15/18 8:13pm,HU Service Center
Sick Person,18-0304,2/15/18 10:06pm,2/15/18 10:06pm,Cook Hall
Disorderly Conduct,18-0305,2/16/18 12:16am,2/16/18 12:16am,Business District
Hazardous Water Leak,18-0306,2/15/18 11:32pm,2/15/18 11:32pm,Architecture & Planning
ADW-Knife,18-0307,2/16/18 3:00am,2/16/18 3:00am,Engineering Building
Sick Person,18-0308,2/16/18 3:24am,2/16/18 3:24am,Cook Hall
Fire Alarm Activation,18-0309,2/16/18 7:37am,2/16/18 7:37am,Pharmacy Building
Suspicious Odor,18-0310,2/16/18 8:42am,2/16/18 8:42am,WHUT
Theft from Auto,18-0311,2/16/18 10:09am,2/16/18 10:09am,Burr Gymnasium
Theft 2,18-0312,2/16/18 12:30pm,2/16/18 12:00pm,HU Hospital
Theft 2,18-0313,2/16/18 2:24pm,2/16/18 2:07pm,HU Hospital
Injured Person,18-0314,2/16/18 4:18pm,2/16/18 4:18pm,2300 block 6th Street NW
Miscellaneous,18-0315,2/16/18 5:14pm,2/16/18 4:50pm,HU Service Center
Fire Alarm Activation,18-0316,2/17/18 1:05pm,2/17/18 1:05pm,Quadrangle Hall
Fire Alarm Activation,18-0317,2/17/18 12:36pm,2/17/18 12:36pm,College Hall South
Found Property,18-0318,2/18/18 9:01am,2/18/18 8:47am,Chemistry Building
Fire Alarm Activation,18-0319,2/18/18 1:52pm,2/18/18 1:52pm,College Hall North
Fire Alarm Activation,18-0320,2/18/18 5:04pm,2/18/18 5:04pm,Pharmacy Building
Suspicous Odor,18-0321,2/18/18 7:36pm,2/18/18 7:36pm,Drew Hall
Miscellaneous,18-0322,2/19/18 4:42am,2/19/18 5:06am,HURB 1
Student Misconduct,18-0323,2/19/18 7:36pm,2/19/18 7:20pm,C.B. Powell Building
Theft from Auto,18-0324,2/20/18 7:20am,2/20/18 7:20am,Burr Gymnasium
Theft 1,18-0325,2/20/18 7:56am,2/20/18 7:56am,Service Center
Disorderly Conduct,18-0326,2/20/18 9:47am,2/20/18 9:35am,Service Center
Theft 2,18-0327,2/20/18 2:26pm,2/20/18 1:27pm,HU Hospital
Fraud,18-0328,2/20/18 2:38pm,2/20/18 12:18pm,Mudd Building
Sick Person,18-0329,2/20/18 5:33pm,2/20/18 7:22pm,Architecture & Planning
Sick Person,18-0330,2/20/18 8:03pm,2/20/18 8:00pm,HU Hospital
Sick Person,18-0331,2/21/18 2:05am,2/21/18 2:05am,HU Hospital
Sick Person,18-0332,2/21/18 6:35am,2/21/18 6:35am,HU Hospital
Hazardous Water Leak,18-0333,2/21/18 9:44am,2/21/18 9:44am,Burr Gymnasium
Sick Person,18-0334,2/21/18 10:10am,2/21/18 10:08am,HU Hospital
Sick Person,18-0335,2/21/18 10:39am,2/21/18 10:38am,HU Hospital
Fire Alarm Activation,18-0336,2/21/18 1:07pm,2/21/18 7:20am,HU Hospital
Miscellaneous,18-0337,2/21/18 1:30pm,2/21/18 1:30pm,Drew Hall
Damaged Property,18-0338,2/21/18 1:43pm,2/21/18 1:43pm,Upper Campus
Sexual Assault,18-0339,2/21/18 2:17pm,2/21/18 2:00pm,On Campus
Theft 1,18-0340,2/21/18 2:29pm,2/21/18 2:29pm,HUSC
Sick Person,18-0341,2/21/18 5:03pm,2/21/18 5:03pm,HU Hospital
Student Misconduct,18-0342,2/21/18 6:12pm,2/21/18 6:12pm,5126 North Capitol St. NW
Fire Alarm Activation,18-0343,2/21/18 11:26pm,2/21/18 11:26pm,Pharmacy Building
Theft from Auto,18-0344,2/22/18 8:33am,2/22/18 8:33am,WHUT
Verbal Dispute,18-0345,2/22/18 8:43am,2/22/18 8:43am,C.B. Powell Building
