NATURES OF CRIMES,"CASENUMBERS","DATE/TIMEREPORTED",DATE/TIME OCCURRED,GENERAL LOCATION
Found Property,17-0103,1/19/2017 2:20pm,1/19/2017 2:20pm,I-Lab,Inactive
Fraud,17-0104,1/19/2017 5:18pm,1/19/2017 4: 50pm,Service Center,Active
Miscellaneous,17-0105,1/19/2017 4:51pm,1/19/2017 4: 50pm,Annex 1,Active
Fire Alarm Activation,17-0106,1/19/2017 6:23pm,1/19/2017 6:23pm,Slowe Hall,Inactive
Miscellaneous,17-0107,1/19/2017 11:50pm,1/19/2017 11:50pm,Bethune Annex,Inactive
Fire Alarm Activation,17-0108,1/20/2017 1:06pm,1/20/2017 1:06pm,Quadrangle Hall,Inactive
NO Report,17-0109,,,,
Student Misconduct,17-0110,1/20/2017 4:30pm,1/20/2017 6:30pm,Cook Hall,Active
Armed Robbery,17-0111,1/20/2017 9:13pm,1/20/2017 10:18pm,Ralph Bunch Building,Active
Recovered Property,17-0112,1/20/2017 10:07pm,1/20/2017 7:25pm,Bethune Hall,Inactive
Simple Assault,17-0113,1/20/2017 10:17pm,1/20/2017 10:20pm,Off Campus,Active
Miscellaneous,17-0114,1/21/2017 2:11am,1/20/2017 2:17pm,Drew Hall,Inactive
Theft 2,17-0115,1/21/2017 1:51pm,1/21/2017 1:53pm,College Hall South,Active
Theft 1,17-0116,1/21/2017 5:35pm,1/21/2017 5:45pm,College Hall South,Active
Sick Person,17-0117,1/22/2017 12:07am,1/22/2017 12:10am,College Hall North,Inactive
Sick Person,17-0118,1/22/2017 11:00am,1/22/2017 11:05am,Blackburn Center,Inactive
Sick Person,17-0119,1/23/2017 7:02pm,1/23/2017 7:00pm,HU Hospital,Inactive
Hazardous Elevator,17-0120,1/23/2017 7:04pm,1/23/2017 7:05pm,Drew Hall,Inactive
Found Property,17-0121,1/23/2017 7:35pm,1/23/2017 7:41pm,College Hall South,Inactive
Sick Person,17-0122,1/23/2017 6:33pm,1/23/2017 6:30pm,HU Hospital,Inactive
Sick Person,17-0123,1/23/2017 9:41pm,1/23/ 2017 9:45pm,Mudd Bldg.,Inactive
Theft from Auto,17-0124,1/23/2017 10:04pm,1/23/2017 10:04pm,Plaza Towers,Active
Miscellaneous,17-0125,1/23/2017 11:43pm,1/23/2017 10:15pm,HU Hospital,Inactive
Sick Person,17-0126,1/24/2017 12:24am,1/23/2017 11:15pm,HU Hospital,Inactive
Lost Property,17-0127,1/24/2017 12:35pm,1/24/2017 12:48pm,HU Hospital,Active
Sick Person,17-0128,1/24/2017 4:25pm,1/24/2017 4:26pm,HU Hospital,Inactive
Hazardous Water Leak,17-0129,1/24/2017 8:11pm,1/24/2017 8:17pm,Chemistry Buiding,Inactive
Sick Person,17-0130,1/25/2017 1:34am,1/25/2017 1:35am,HU Hospital,Inactive
Fire Alarm Activation,17-0131,1/25/2017 9:20am,1/25/2017 10:06am,Enterprise Tec.service,Inactive
Lost Property,17-0132,1/25/2017 11:10am,1/25/2017 11:39am,Dispatch,Active
Harassment,17-0133,1/25/2017 11:21am,1/25/2017 11:32am,Bethune Annex,Active
Lost Property,17-0134,1/25/2017 2:01pm,1/25/2017 2:48pm,West Campus,Active
Theft from Auto,17-0135,1/25/2017 2:53PM,1/25/2017 2:53pm,Carver Hall,Active
Found Property,17-0136,1/25/2017 9:35pm,1/25/2017 9:43pm,HU Hospital,Inactive
Miscellaneous,17-0137,1/26/2017 12:27pm,1/26/2017 12:39pm,HU Hospital,Inactive
Theft II,17-0138,1/26/2017 6:00pm,1/26/2017 6:22pm,Engineering Building,Active
Fire Alarm Activation,17-0139,1/26/2017 6:15pm,1/26/2017 6:50pm,College Hall South,Inactive
Hazardous Elevator,17-0140,1/26/2017 6:46pm,1/26/2017 7:15pm,Middle school,Inactive
Lost Property,17-0141,1/27/2017 4:29pm,1/27/2017 4:50pm,Slowe Hall,Inactive
Found Property,17-0142,1/27/2017 7:49PM,1/27/2017 7:06PM,HUH Child Care,Inactive
Harassment,17-0143,1/27/2017 9:18PM,1/27/2017 9:18PM,College Hall North,Active
Sick Person,17-0144,1/27/2017 10:03PM,1/272017 10:03PM,HUH Child Care,Inactive
Harassment,17-0145,1/27/2017 8:38PM,1/27/2017 8:00PM,Quadrangle Hall,Active
Lost Property,17-0146,1/28/2017 6:38PM,1/28/2017 6:07AM,HU Hospital,Inactive
Hazardous Odor,17-0147,1/28/2017 10:05AM,1/28/2017 9:30AM,HU Hospital,Inactive
Sick Person,17-0148,1/28/2017 4:44PM,1/28/2017 4:43PM,College Hall North,Inactive
Vandalism Miscellaneous,17-0149,1/28/2017 7:46PM,1/28/2017 7:50PM,Lower Campus 2112 8th St. N,Active
Credit Card Fraud,17-0150,1/28/2017 9:25PM,1/28/2017 6:30PM,HU Hospital,Active
Sick Person,17-0151,1/28/2017 9:55PM,1/28/2017 9:55PM,HU Hospital,Inactive
Student Misconduct,17-0152,1/29/2017 3:06AM,1/29/2017 3:08AM,Bethune Annex,Active
Theft from Auto,17-0153,1/29/2017 12:44PM,1/29/2017 12:44PM,Upper Campus,Active
Lost Property,17-0154,1/30/2017 11:02AM,1/30/2017 11:02AM,Howad Center,Inactive
Student Misconduct/Barring Notice,17-0155,1/30/2017 2:41PM,1/30/2017 2:41PM,Academic B,Active
Sick Person,17-0156,1/30/2017 5:27PM,1/30/2017 5:27PM,W ST. NW,Inactive
Lost Property,17-0157,1/30/2017 10:30PM,1/30/2017 9:50PM,BURR GYM,Inactive
Sick Person,17-0158,1/30/2017 11:03PM,1/30/2017 10:50PM,HU Hospital,Inactive
Theft 2,17-0159,1/30/2017 10:47PM,1/30/2017 10:50PM,Blackburn Center,Active
Sick Person,17-0160,1/31/2017 1:28PM,1/31/2017 1:30PM,College Hall North,Inactive
Theft 2,17-0161,1/31/2017 1:03pm,1/31/2017 1:03pm,Annex 1,Active
Fraud,17-0162,1/31/2017 3: 21PM,1/31/2017 3:21PM,HU Hospital,Active
Fire Alarm Activation,17-0163,1/31/2017 6:01PM,1/31/2017 5:55PM,College Hall South,Inactive
Found Property,17-0164,1/31/2017 10:09pm,1/31/2017 10:09pm,East Towers Parking Lot,Inactive
Fire Alarm Activation,17-0165,2/1/2017 12:11am,2/1/2017 12:12am,College Hall South,Inactive
Sick Person,17-0166,2/1/2017 4:44am,2/1/2017 4:44am,Cancer lot,Inactive
Sick Person,17-0167,2/1/2017 5:24AM,2/1/2017 03:30AM,HU Hospital,Inactive
Sick Person,17-0168,2/1/2017 05:39pm,2/1/2017 05:39pm,HU Hospital,Inactive
Lost Property,17-0169,2/5/2017 1:15PM,2/5/2017 11:50AM,HU Hospital,Inactive
Student Misconduct,17-0170,2/5/2017 6:44PM,2/5/2017 7:23PM,College Hall South,Active
Harassment,17-0171,2/5/2017 8:15PM,2/5/2017 8:24PM,I-Lab,Active
Theft II,17-0172,2/6/2017 10:34AM,2/6/2017 9:38AM,HU Hospital,Active
Harassment,17-0173,2/6/2017 11:46PM,2/3/2017 11:46PM,Burr Gymnasium,Active
Miscellaneous,17-0174,2/6/2017 1:50PM,2/6/2017 1:50PM,HU Hospital,Inactive
Attempted Carjacking,17-0175,2/6/2017 2:57PM,2/6/2017 2:50PM,Lower Campus,Active
Theft 2,17-0176,2/6/2017 3:55PM,2/6/2017 3:54PM,Off Campus,Inactive
Recovered Property,17-0177,2/6/2017 9:34PM,2/6/2017 9:38PM,Main Gate,Inactive
Sick Person,17-0178,2/6/2017 6:39PM,2/6/2017 5:37PM,HU Hospital,Inactive
Unlawful Entry,17-0179,2/6/2017 9:40PM,2/6/2017 9:40PM,Engineering Building,Active
Disorderly Conduct,17-0180,2/7/2017 11:55AM,2/7/2017 10:50AM,HU Hospital,Active
Stalking,17-0181,2/7/2017 1:23PM,2/7/2017 1:23PM,Law School,Active
Theft 2,17-0182,2/7/2017 3:03PM,2/7/2017 3:03PM,Fine Arts Building,Active
Theft 2,17-0183,2/7/2017 4:55PM,2/7/2017 4:30PM,Social Work,Active
Theft 1,17-0184,2/2/2017 10:25AM,2/2/2017 10:00AM,Biology Building,Active
Miscellaneous,17-0185,2/2/2017 11:10am,2/2/2017 9:05am,Law School,Inactive
Injured Person,17-0186,2/2/2017 11:30am,2/2/2017 11:00am,Banneker South Parking Lot,Active
Theft 2,17-0187,2/2/2017 11:41am,2/2/2017 11:41am,Bethune Annex,Active
Vehicle Accident,17-0188,2/8/2017 9:16am,2/8/2017 7:48am,A-1 Rear Parking Lot,Active
Unlawful Entry,17-0189,2/2/2017 1:51pm,2/2/2017 1:51pm,Engineering Building,Active
Fire Alarm Activation,17-0190,2/2/2017 7:52am,2/2/2017 7:52am,Quadrangle Hall,Inactive
Theft from Auto,17-0191,2/3/2017 1:44pm,2/3/2017 1:44pm,2300 block 6th St NW,Active
Miscellaneous,17-0192,2/4/2017 3:35pm,2/4/2017 3:35pm,6th Bryant St NW,Inactive
Harassment,17-0193,2/4/2017 4:05pm,2/4/2017 4:00pm,Cook Hall,Active
Fire,17-0194,2/4/2017 5:30pm,2/4/2017 5:30pm,Mudd Building,Active
Sick Person,17-0195,2/3/2017 12:01pm,2/3/2017 12:01pm,College Hall South,Inactive
Miscellaneous,17-0196,2/2/2017 4:52pm,2/2/2017 4:52pm,HU Hospital,Inactive
Threats,17-0197,2/8/2017 11:20am,2/8/2017 11:20am,Chemistry Building,Active
Theft 2,17-0198,2/8/2017 12:06pm,2/7/2017 9:00pm,Drew Hall,Active
Student Misconduct,17-0199,2/8/2017 9:55am,2/8/2017 9:55am,Bethune Annex,Active
Hazardous Elevator,17-0200,2/8/2017 12:13pm,2/8/2017 12:06pm,Law Library,Inactive
Theft 1,17-0201,2/8/2017 1:07pm,2/8/2017 11:10am,Engineering Building,Active
Injured Person,17-0202,2/8/2017 6:02pm,2/2/2017 7:35pm,Architecture & Planning,Active
Fire Alarm Activation,17-0203,2/8/2017 11:06pm,2/8/2017 10:55pm,Slowe Hall,Active
Injured Person,17-0204,2/8/2017 10:46pm,2/8/2017 10:46pm,Fine Arts,Active
Sick Person,17-0205,2/9/2017 6:17am,2/9/2017 5:35am,HU Hospital,Inactive
Vehicle Accident,17-0206,2/9/2017 8:10am,2/9/2017 8:10am,A-1 Rear Parking Lot,Active
Damaged Property,17-0207,2/9/2017 12:57pm,2/9/2017 12:50pm,Service Center,Inactive
Damaged Property,17-0208,2/9/2017 2:50pm,2/9/2017 2:50pm,A-1 Parking Lot,Inactive
Lost Property,17-0209,2/9/2017 5:09pm,2/7/2017 5:30pm,Wonder Plaza,Inactive
Threats,17-0210,2/10/2017 4:56pm,2/10/2017 4:56pm,Dental School,Active
Sick Person,17-0211,2/9/2017 11:17pm,2/9/2017 11:17pm,Bethune Annex,Inactive
Sick Person,17-0212,2/10/2017 2:44am,2/10/2017 2:44am,Howard Center Lot,Inactive
Theft 2,17-0213,2/10/2017 12:12pm,2/7/2017 10:05am,HU Hospital,Active
Miscellaneous,17-0214,2/10/2017 11:57pm,2/10/2017 11:57pm,Biology Building,Inactive
Damaged Property,17-0215,2/10/2017 12:54pm,2/10/2017 11:15am,Biology Building,Inactive
Lost Property,17-0216,2/10/2017 1:17pm,2/20/2017 12:45pm,Wonder Plaza,Inactive
Fire Alarm Activation,17-0217,2/10/2017 8:16pm,2/10/2017 8:16pm,Slowe Hall,Inactive
Sick Person,17-0218,2/10/2017 8:55pm,2/10/2017 8:32pm,HU Hospital,Inactive
Miscellaneous,17-0219,2/10/2017 7:48pm,2/10/2017 3:00pm,School of Business,Inactive
Unlawful Entry,17-0220,2/10/2017 7:27pm,2/10/2017 7:27pm,West Campus,Active
Simple Assault,17-0221,2/11/2017 3:45am,2/11/2017 3:45am,College Hall South,Active
Injured Person/APO,17-0222,2/11/2017 11:45pm,2/11/2017 10:20pm,HU Hospital,Active
Lost Property,17-0223,2/12/2017 12:35am,2/12/2017 12:00am,Ellingto Apartments,Inactive
Fire Alarm Activation,17-0224,2/12/2017 12:10am,2/12/2017 12:10am,College Hall North,Inactive
Injured Person,17-0225,2/12/2017 2:56pm,2/12/2017 2:56pm,Blackburn Center,Active
Fire Alarm Activation,17-0226,2/12/2017 5:55pm,2/12/2017 5:55pm,College Hall South,Inactive
Theft from Auto,17-0227,2/12/2017 6:28pm,2/12/2017 6:10pm,Service Center,Active
Sick Transport,17-0228,2/13/2017 9:12am,2/13/2017 9:12am,Student Health Clinic,Inactive
Burglary 2,17-0229,2/13/2017 9:45am,2/10/2017 9:00am,Engineering Building,Active
Lost Property,17-0230,2/13/2017 10:05am,2/10/2017 12:00pm,Dental School,Inactive
Theft 2,17-0231,2/13/2017 11:16am,2/13/2017 10:30am,Engineering Building,Active
Injured Person,17-0232,2/13/2017 12:07pm,2/13/2017 10:45am,Blackburn Center,Active
Theft from Auto,17-0233,2/13/2017 4:05pm,2/13/2017 5:45am,6th Street NW,Active
Sick Person,17-0234,2/13/2017 6:45pm,2/13/2017 6:45pm,Blackburn Center,Inactive
Sick Person,17-0235,2/13/2017 6:59pm,2/13/2017 6:55pm,HU Hospital,Inactive
Sick Person,17-0236,2/13/2017 8:32pm,2/13/2017 4:30pm,HU Hospital,Inactive
Vehicle Accident,17-0237,2/13/2017 8:06pm,2/13/2017 8:06pm,College Hall North,Active
Damaged Property,17-0238,2/13/2017 10:35pm,2/13/2017 10:35pm,Mudd Building,Inactive
Miscellaneous,17-0239,2/14/2017 8:51am,2/8/2017 3:20pm,HURB-1,Inactive
Vehicle Accident,17-0240,2/14/2017 9:04am,2/14/2017 9:00am,2400 block 6th St. NW,Active
Damaged Property,17-0241,2/14/2017 12:30pm,2/14/2017 7:15am,Service Center,Inactive
Disorderly Conduct,17-0242,2/14/2017 2:52pm,2/14/2017 2:52pm,HU Hospital,Active
Theft 2,17-0243,2/14/2017 5:24pm,2/8/2017 12:00pm,Blackburn Center,Active
Sick Person,17-0244,2/14/2017 6:14pm,2/14/2017 3:20pm,HU Hospital,INACTIVE
Theft from Auto,17-0245,2/14/2017 9:02pm,2/14/2017 9:00pm,6TH ST NW,ACTIVE
Sick Person,17-0246,2/15/2017 10:11am,2/15/2017 10:11am,College Hall South,Inactive
Student Misconduct,17-0247,2/15/2017 1:24pm,2/8/2017 7:03pm,Architecture & Planning,Active
Theft from Auto,17-0248,2/15/2017 4:49pm,2/15/2017 4:00pm,Gnome Building,Active
Sick Person,17-0249,2/15/2017 5:33pm,2/15/2017 8:12am,Howard University Hospital,Inactive
Hit & Run,17-0250,2/15/2017 7:01pm,2/15/2017 7:02pm,Lower Campus,Active
Burglary 2,17-0251,2/16/2017 9:47am,2/16/2017 9:51am,College of Dentistry,Active
Fire Alarm Activation,17-0252,2/16/2017 2:22pm,2/16/2017 2:22pm,HU Service Center,Inactive
Theft from Auto,17-0253,2/16/2017 3:37pm,2/16/2017 4:05pm,Drew Hall,Active
Sick Person,17-0254,2/16/2017 4:20pm,2/16/2017 4:20pm,HU Hospital,Inactive
Sick Person,17-0255,2/16/2017 5:35pm,2/16/2017 6:47pm,C.B. Powell Parking Lot,Inactive
Found Property,17-0256,2/16/2017 7:59pm,2/16/2017 7:40pm,Main Gate,Inactive
Found Property,17-0257,2/16/2017 10:11pm,2/17/2017 10:05pm,Main Gate,Inactive
Theft 2,17-0258,2/17/2017 11:18am,2/17/2017 12:06pm,Engineering Building,Active
Miscellaneous,17-0259,2/17/2017 2:37pm,2/17/2017 2:50pm,College Hall South,Inactive
Found Property,17-0260,2/17/2017 4:07pm,2/17/2017 3:34pm,HU Hospital,Inactive
Theft 2,17-0261,2/17/2017 7:15pm,2/17/2017 7:15pm,Biology Building,Active
Lost Property,17-0262,2/17/2017 9:35pm,2/17/2017 9:35pm,Blackburn Center,Inactive
Fire Alarm Activation,17-0263,2/17/2017 10:36pm,2/17/2017 10:36pm,Cook Hall,Inactive
Domestic Violence,17-0264,2/17/2017 11:22pm,2/17/2017 8:29pm,HU Hospital,Active
Vehicle Accident,17-0265,2/18/2017 2:42pm,2/18/2017 2:40pm,Adams Building,Active
Domestic Violence,17-0266,2/19/2017 12:55pm,2/19/2017 1:44pm,Service Center,Active
Damaged Property,17-0267,2/19/2017 5:09pm,2/19/2017 5:09pm,A-2 Garage,Inactive
Theft 2,17-0268,2/19/2017 8:12pm,2/19/2017 7:30pm,HU Hospital,Active
Theft 2,17-0269,2/19/2017 8:23pm,2/19/2017 8:23pm,College Hall South,Active
Sick Person,17-0270,2/19/17 10:25pm,2/19/17 10:30pm,HU Hospital,Inactive
Sick Person,17-0271,2/20/17 4:10pm,2/20/2017 4:15pm,Student Health Clinic,Inactive
Theft from Auto,17-0272,2/20/2017 4:03pm,2/20/2017 4:00pm,Georgia Avenue Lot,Active
Hazardous Elevator,17-0273,2/20/2017 6:52pm,2/20/2017 4:20pm,HU Hospital,Inactive
Armed Robbery,17-0274,2/20/2017 6:46pm,2/20/2017 6:46pm,Banneker Field,Active
Unlawful Entry,17-0275,2/20/2017 8:29pm,2/20/2017 4:00pm,Engineering Building,Active
Sick Person,17-0276,2/20/2017 9:56pm,2/20/2017 4:00pm,HU Hospital,Inactive
Fire Alarm Activation,17-0277,2/21/2017 12:00pm,2/21/2017 11:33am,HU Service Center,Inactive
Theft 2,17-0278,2/21/2017 1:38pm,2/21/2017 1:38pm,Plaza Towers,Active
Damaged Property,17-0279,2/21/2017 2:59pm,2/21/2017 4:59pm,C.B. Powell Building,Inactive
Injured Person,17-0280,2/21/2017 6:44pm,2/21/2017 6:40pm,HU Hospital,Active
Theft from Auto,17-0281,2/21/2017 9:39pm,2/21/2017 9:42pm,Lower Campus,Active
Destruction of Property,17-0282,2/21/2017 10:25pm,2/21/2017 10:30pm,Lower Campus,Active
Sick Person,17-0283,2/22/2017 10:20am,2/22/2017 1024am,Quadrangle Hall,Inactive
Harassment,17-0284,2/22/2017 11:21am,2/22/2017 11:21am,Slowe Hall,Active
Student Misconduct,17-0285,2/22/2017 12:29pm,2/22/2017 11:20am,Biology Building,Active
Miscellaneous,17-0286,2/22/2017 1:45pm,2/22/201712:15pm,HU Hospital,Inactive
Miscellaneous,17-0287,2/22/2017 11:40pm,2/22/2017 10:45pm,HU Hospital,Inactive
Student Misconduct,17-0288,2/23/2017 4:41am,2/23/2017 4:35am,Howard Plaza Towers,Active
Fire Alarm Activation,17-0289,2/23/2017 8:19am,2/23/2017 8:19am,Mudd Building,Inactive
Lost Property,17-0290,2/23/2017 10:09am,2/23/2017 10:09am,HU Hospital,Inactive
Harassment,17-0291,2/23/2017 11:43am,2/23/2017 9:25am,Off Campus,Inactive
Disorderly Conduct,17-0292,2/23/2017 2:13pm,2/23/2017 2:13pm,Blackburn Center,Active
Miscellaneous,17-0293,2/23/2017 3:27pm,2/23/2017 2:21pm,HU Hospital,Inactive
Student Misconduct,17-0294,2/23/2017 3:04pm,2/23/2017 3:55pm,Blackburn Center,Active
Sick Person,17-0295,2/23/2017 7:22pm,2/23/2017 6:15pm,Howard University Hospital,Inactive
NO Report,17-0296,,,,
Hazardous Elevator,17-0297,2/23/2017 7:22pm,2/23/2017 6:15pm,Quadrangle Hall,Inactive
Indecent Exposure,17-0298,2/24/2017 12:42am,2/24/2017 12:42am,Stokes Library,Active
Found Property,17-0299,2/24/2017 2;03am,2/24/2017 2:03am,Howard Center Lot,Inactive
Hit & Run,17-0300,2/24/2017 9: 03am,2/24/2017 9: 03am,College Hall North,Active
Sick Person,17-0301,2/24/2017 10:46am,2/24/2017 10:46am,Plaza Towers/East,Inactive
Fraud,17-0302,2/24/2017 11:21am,2/24/2017 11:21am,i-Lab,Active
Lost Property,17-0303,2/24/2017 5:13pm,2/24/2017 5:13pm,Biology Building,Inactive
Hazardous Water Leak,17-0304,2/24/2017 8:32pm,2/24/2017 8:44pm,i-Lab,Inactive
Miscellaneous,17-0305,2/25/2017 4:57am,2/25/2017 4:57am,Administration Building,Inactive
Injured Person,17-0306,2/25/2017 9:05am,2/25/2017 9:10am,Blackburn Center,Active
Fire Alarm Activation,17-0307,2/25/2017 3:02pm,2/25/2017 3:02pm,College Hall South,Inactive
Sick Person,17-0308,2/25/2017 3:20pm,2/25/2017 3:14pm,Drew Hall,Inactive
Student Misconduct,17-0309,2/25/2017 3:35pm,2/25/2017 3:34pm,Bethune Annex,Active
Loud Noise,17-0310,2/26/2017 12:45am,2/26/2017 12:42am,Off Campus,Active
