NATURES OF CRIMES,"CASENUMBERS",DATE/TIME REPORTED,"DATE/TIMEOCCURRED"
Damaged Property,19-0305,03/06/2019 8:07pm,03/06/2019 7:30pm,4th & College Street
Found Property,19-0306,03/06/2019 11:43pm,03/06/2019 11:43pm,Founders Library
Found Property,19-0307,03/07/2019 3:02am,03/07/2019 3:02am,Chemical Engineering Building
Found Property,19-0308,03/07/2019 5:02am,03/07/2019 5:02am,School of Business
Theft 2,19-0309,03/07/2019 11:52am,03/07/2019 11:52am,Off Campus
Harassment,19-0310,03/07/2019 11:33am,03/07/2019 2:00am,College Hall South
Harassment,19-0311,03/07/2019 1:04pm,03/07/2019 12:00pm,Wonder Plaza
Damaged Property,19-0312,03/07/2019 2:09pm,03/07/2019 2:09pm,HURB 1
Lost Property,19-0313,03/07/2019 2:27pm,03/05/2019 7:45pm,College Hall South
Fire Alarm Activation,19-0314,03/07/201 4:50pm,03/07/201 4:50pm,HUIRB Research Building
Threats to do Bodily Harm,19-0315,03/07/2019 6:36pm,03/07/2019 6:10pm,Howard Plaza Towers East
Sick Person,19-0316,03/07/2019 10:00pm,03/07/2019 10:00pm,Georgia Ave. & V Street
Found Property,19-0317,03/07/2019 10:48pm,03/07/2019 10:48pm,School of Business
Damaged Property,19-0318,03/08/2019 1:04am,03/08/2019 1:04am,Bethune Annex
Threats to do Bodily Harm,19-0319,03/08/2019 4:40am,03/08/2019 2:300am,Howard University Hospital
Lost Property,19-0320,03/08/2019 2:57pm,03/08/2019 2:57pm,Howard University Hospital
Found Property,19-0321,03/08/2019 3:54pm,03/08/2019 3:54pm,Founders Library
Theft From Auto,19-0322,03/08/2019 4:19pm,03/08/2019 3:30pm,Howard University Hospital
Injured Person,19-0323,03/08/2019 8:54pm,03/08/2019 3:45pm,Howard University Hospital
Hazardous Elevator,19-0324,03/00/2019 9:15pm,03/00/2019 9:15pm,Howard University Hospital
Injured Person,19-0325,03/09/2019 6:37am,03/09/2019 2:30am,Howard University Hospital
Lost Property,19-0326,03/09/2019 12:05pm,03/0-/2019 11:27am,Howard University Hospital
Miscellaneous,19-0327,03/09/2019 11:36am,03/09/2019 1:30am,Howard Plaza Towers West
Indecent Exposure,19-0328,03/10/2019 1:45pm,03/10/2019 1:30pm,Howard University Hospital
Fire Alarm Activation,19-0329,03/10/2019 4:19pm,03/10/2019 4:19pm,College of Dentistry
Fire Alarm Activation,19-0330,03/10/2019 7:24pm,03/10/2019 7:24pm,Bethune Annex
Hazardous Water Leak,19-0331,03/11/2019 7:32am,03/11/2019 7:32am,College of Dentistry
Sick Person,19-0332,03/11/2019 10:04pm,03/11/2019 10:04pm,Howard University Hospital
Found Property,19-0333,03/11/2019 10:34pm,03/11-/2019 10:26pm,Mudd Building
Sick Person,19-0334,03/12/2019 2:11am,03/12/2019 2:11am,Howard Plaza Towers West
Damaged Property,19-0335,03/12/2019 2:39am,03/12/2019 2:30am,College of Dentistry
