"",,,,,
Sick Person,13-0078,01-19-13/1412,01-19-13/0800,Quadrangle Hall,Inactive
Student Misconduct,13-0079,01-19-13/2215,01-19-13/2210,Bethune Annex,Active
Theft II,012-13,01-19-13/2125,01-19-13/2121,HU Hospital,Active
Student Misconduct,13-0080,01-20-13/0511,01-20-13/0400,Carver Hall,Inactive
Robbery Fear,13-0081,01-20-13/2030,01-20-13/2030,500 Blk Gresham Pl.,Active
Threat to do Bodily Harm,13-0082,01-21-13/0325,01-21-13/0130,Plaza Towers,Active
Alarm Activation,13-0083,01-22-13/0039,01-22-13/0029,Meridian Hill,Inactive
Lost Property,13-0084,01-22-13/0800,01-22-13/0800,Unknown,Inactive
Miscellaneous,13-0085,01-22-13/0156,01-22-13/0045,Carver Hall,Inactive
Sick Person,13-0086,01-22-13/1235,01-22-13/1146,Bethune Annex,Inactive
Sick Transport,13-0087,01-22-13/1240,01-22-13/1149,Quadrangle Hall,Inactive
Sick Person,13-0088,01-22-13/1345,01-22-13/1345,C.B. Powell Building,Inactive
Lost Property,13-0089,01-22-13/1615,01-22-13/1050,Meridian Hill,Inactive
Hazardous Water`,13-0090,01-22-13/1930,01-22-13/1845,Admin. Building,Inactive
Fire Alarm Activation,13-0091,01-23-13/1400,01-23-13/1400,Slowe Hall,Inactive
Theft II,13-0092,01-23-13/1447,01-23-13/1400,School of Business,Active
Hazardous Water,13-0093,01-23-13/1829,01-23-13/1815,Law School,Inactive
Destruction of Property,13-0094,01-24-13/0127,01-24-13/0036,Locke Hall,Active
Miscellaneous,13-0095,01-24-13/1035,01-23-13/1900,Carver Hall,Active
Sick Transport,13-0096,01-24-13/1116,01-24-13/1116,Student Health Center,Inactive
Lost Property,13-0097,01-24-13/1350,01-24-13/1350,Unknown,Inactive
Fire Alarm Activation,13-0098,01-24-13/2010,01-24-13/2010,Meridian Hill,Inactive
Stolen Auto,13-0099,01-24-13/2330,01-24-13/2145,300 Block Elm St.,Active
Unlawful Entry,13-0100,01-25-13/0845,01-25-13/0520,Slowe Hall,Active
Sick Transport,13-0101,01-25-13/1415,01-25-13/1420,Student Health Center,Inactive
Miscellaneous,13-0102,01-25-13/1830,01-25-13/1520,"308 Florida Ave.,NW",Inactive
Hazardous Water,13-0103,01-25-13/1900,01-25-13/1830,Howard Center,Inactive
Sick Transport,13-0104,01-25-13/0330,01-25-13/0325,434 Kenyon St. NW,Inactive
Theft II,13-0105,01-26-13/0330,01-26-13/0325,434 Kenyon St.NW,Active
Noise at Nite,13-0106,01-26-13/1600,01-26-13/1600,434 Kenyon St.NW,Inactive
Recov. Property,13-0107,01-26-13/1255,01-26-13/1300,unknown,Inactive
Fire Alarm Activation,13-0108,01-26-13/1307,01-26-13/1307,Plaza Towers,Inactive
Fire Alarm Activation,13-0109,01-26-13/1500,01-26-13/1410,Slowe Hall,Inactive
Miscellaneous,13-0110,01-26-13/1500,01-26-13/0820,West Campus,Inactive
Miscellaneous,13-0111,01-26-13/1900,01-26-13/1646,Corner of 6th St.NW,Inactive
Student Misconduct,13-0112,01-26-13/1803,01-26-13/1755,Drew Hall,Inactive
APO,13-0113,01-26-13/1750,01-26-13/1750,308 Florida Ave NW,Active
Miscellaneous,13-0114,01-26-13/1918,01-26-13/1918,Meridian Hill,Inactive
Miscellaneous,13-0115,01-27-13/0126,01-27-13/0039,Drew Hall,Inactive
Lost Property,13-0116,01-27-13/1100,01-27-13/0215,770 Gresham St.,Inactive
Damadged Property,13-0117,01-27-13/1510,01-27-13/1500,C.B. Powell Bldg.,Inactive
Lost Property,13-0118,01-27-13/1700,01-27-13/0800,Unknown,Inactive
Sick Person,13-0119,01-28-13/1150,01-28-13/1135,Blackburn Center,Inactive
Sick Transport,13-0120,01-28-13/1435,01-28-13/1420,Student Health,Inactive
Sick Transport,13-0121,01-28-13/1800,01-28-13/1730,Student Health,Inactive
Sick Person,13-0122,01-28-13/1955,01-28-13/1930,Plaza Towers,Inactive
Damaged Vehicle,016-13,01-28-13/1700,01-28-13/1700,HUH A1 Garage,Inactive
Auto Accident,13-0123,01-29-13/0735,01-29-13/0735,2400 blk 16th St.,Active
Burglary II,13-0124,01-29-13/0957,01-29-13/0940,C.B. Powell Bldg.,Active
Lost Property,13-0125,01-29-13/0800,01-29-13/0800,Kenyon St. NW,Inactive
Theft II,13-0126,01-29-13/2145,01-29-13/2045,Quadrangle Hall,Active
Lost Property,13-0127,01-29-13/2152,01-29-13/2030,Unknown,Inactive
Sick Person,13-0128,01-30-13/2400,01-30-13/2400,Quadrangle Hall,Inactive
Sick Transport,13-0129,01-30-13/0905,01-30-13/0905,Student Health Center,Inactive
Lost Property,13-0130,01-30-13/0900,01-30-13/0530,Checkers Resturant,Inactive
Sick Transport,13-0131,01-30-13/0900,01-30-13/0903,Student Health Center,Inactive
Lost Property,13-0132,01-30-13/12:29,01-30-13/1100,Locke Hall,Inactive
Fire Alarm Activation,13-0133,01-30-13/1253,01-30-13/1250,School of Pharmacy,Inactive
Harassment,13-0134,01-30-13/1400,01-30-13/1400,Service Center,Active
Theft from Auto,13-0135,01-30-13/1500,01-30-13/1445,Miner Parking Lot,Active
Lost Property,13-0136,01-30-13/1700,01-30-13/1110,Greene Stadium,Inactive
Student Misconduct,13-0137,01-30-13/1810,01-30-13/1630,George Mason Univ.,Inactive
Sick Transport,13-0138,01-30-13/1900,01-30-13/1800,Student Health Center,Inactive
Sick Person,13-0139,01-30-13/2030,01-30-13/1900,Plaza Towers,Inactive
Injured Person,13-0140,01-30-13/2140,01-30-13/2030,Dental School,Inactive
Sick Person,13-0141,01-31-13/0515,01-31-13/0502,Bethune Annex,Inactive
Injured Person,13-0142,01-31-13/1150,01-31-13/2145,Bryant St & 4th St,Inactive
Theft from Auto,13-0143,01-31-13/1441,01-31-13/1436,Miner Lot,Active
Theft from Auto,13-0144,01-31-13/2000,01-31-13/1845,400 blk College St.,Active
Injured Person,13-0145,02-01-13/0015,01-31-13/2320,Meridian Hill,Inactive
Miscellaneous,13-0146,02-01-13/0245,01-31-13/1230,14th Euclid St,Inactive
Miscellaneous,13-0147,02-01-13/0400,02-01-13/0209,Plaza Towers,Inactive
Sick Transport,13-0148,02-01-13/0930,02-01-13/0915,Student Health,Inactive
Sick Transport,13-0149,02-01-13/0930,02-01-13/0915,Student Health,Inactive
Sick Transport,13-0150,02-01-13/1630,02-01-13/1500,Student Health,Inactive
Disorder Conduct,13-0151,02-01-13/2045,02-01-13/1950,Fine Arts Bldg.,Active
Found Property,13-0152,02-01-13/2330,02-01-13/2330,Found Property,Inactive
Alcohol Violation,13-0153,02-02-13/0130,02-02-13/0055,Drew Hall,Active
Auto Accident,13-0154,02-02-13/0045,02-02-13/0045,"Georgia  Ave., & Upshur",Active
Simple Assault,13-0155,02-02-13/1100,02-02-13/0000,Masonic Temple,Inactive
Sick Person,13-0156,02-02-13/1345,02-02-13/1315,Blackburn Center,Inactive
Fire Alarm Activation,13-0157,02-02-13/1610,02-02-13/1605,Slowe Hall,Inactive
Noise at Nite,13-0158,02-03-13/0114,02-03-13/0114,57 Franklin St. NE,Inactive
Power Outage,13-0159,02-03-13/1230,02-03-13/1142,Law School,Inactive
Miscellaneous,13-0160,02-03-13/1535,02-03-13/1336,Plaza Towers,Inactive
Sick Person,13-0161,02-03-13/1500,02-03-13/1345,Plaza Towers,Inactive
Student Misconduct,13-0162,02-03-13/1700,02-03-13/1456,Cook Hall,Inactive
Student Misconduct,13-0163,02-04-13/1240,02-04-13/1150,Carver Hall,Inactive
Sick Transport,13-0164,02-04-13/1245,02-04-13/1224,Student Health,Inactive
Found Property,13-0165,02-04-13/1747,02-04-13/1740,HUSC,Inactive
Lost Property,13-0166,02-04-13/2130,12-22-12/,Unknown,Inactive
Sick Person,13-0167,02-05-13/0735,02-04-13/0645,Burr Gymnasium,Inactive
Destructon of Property,13-0168,02-04-13/2212,02-02-13/1900,Blackburn Center,Active
Sick Transport,13-0169,02-05-13/1355,02-05-13/1355,Slowe Hall,Inactive
Lost Property,13-0170,02-05-13/1500,02-05-13/1800,Quadrangle Hall,Inactive
Theft from Auto,13-0171,02-05-13/1921,02-05-13/1914,Greene Stadium,Active
Theft from Auto,13-0172,02-05-13/1921,02-05-13/1914,Greene Stadium,Active
Miscellaneous/Fire Act.,13-0173,02-05-13/2330,02-05-13/2330,Meridian Hill,Inactive
Armed Robbery,13-0174,02-05-13/2357,02-05-13/2354,Carver Hall,Active
Sick Transport,13-0175,02-06-13/1100,02-06-13/1040,Student Health,Inactive
Simple Assault,13-0176,02-06-13/1110,02-06-13/1100,Blackburn Center,Active
Student Misconduct,13-0177,02-06-13/1530,02-06-13/1530,Founders Library,Inactive
Theft from Auto,13-0178,02-06-13/1725,02-06-13/1725,Burr Gymnasiium,Active
Miscellaneous,13-0179,02-06-13/1650,02-06-13/1650,9th & V St. NW,Inactive
Miscellaneous,13-0180,02-06-13/1800,02-06-13/1545,Stokes Library,Inactive
Pos. w/Distribute,022-13,02-06-13/1730,02-06-13/1730,HU Hospital,Active
Simple Assault,12-0181,02-07-13/1145,02-07-13/1730,Plaza Towers,Active
Stuck Elevator,12-0182,02-07-13/0300,02-07-13/0104,Quadrangle Hall,Inactive
Lost Property,12-0183,02-07-13/1200,02-07-13/1835,Meridian Hill,Inactive
Lost Property,12-0184,02-07-13/1215,02-07-13/1100,Starbucks Shop,Inactive
Lost Property,12-0185,02-07-13/1350,02-07-13/1321,Starbucks Shop,Inactive
Stalking,12-0186,02-07-13/1800,02-07-13/1830,Social Work,Active
Damaged Property,12-0187,02-07-13/1930,02-07-13/1755,600 W St. NW,Inactive
Fire Alarm Activation,12-0188,02-07-13/0800,02-07-13/0800,Slowe Hall,Inactive
Disorderly Conduct,023-13,02-07-13/1627,02-07-13/1627,HU Hospital,Active
Student Misconduct,13-0189,02-08-13/0800,02-08-13/0800,Slowe Hall,Inactive
Miscellaneous,13-0190,02-08-13/0800,02-08-13/0800,Quadrangle Hall,Inactive
Damaged Property,13-0191,02-08-13/0800,02-08-13/0800,West Campus,Inactive
Theft from Auto,13-0192,02-08-13/1823,02-08-13/1810,654 Girard St. NW,Active
Sick Transport,13-0193,02-09-13/0100,02-09-13/0037,Slowe Hall,Inactive
Miscellaneous,13-0194,02-09-13/0347,02-09-13/0200,4th Howard Pl.,Inactive
Injured Person,13-0195,02-09-13/0730,02-09-13/0657,Service Center,Inactive
Sick Student,13-0196,02-09-13/0930,02-09-13/0915,Quadrangle Hall,Inactive
Lost Property,13-0197,02-10-13/0140,02-10-13/1830,I-Lab,Inactive
Disorderly Noise at Nite,13-0198,02-10-13/0150,02-10-13/0137,416 Elm St. NW,Inactive
Injured Person,13-0199,02-10-13/1950,02-10-13/1950,Plaza Towers,Inactive
Suspicious Odor,13-0200,02-11-13/2344,02-11-13/2250,Meridian Hill,Inactive
Student Misconduct,13-0201,02-11-13/2300,02-11-13/2230,Bethune Annex,Inactive
Theft II,13-0202,02-11-13/2205,02-11-13/2145,Quadrangle Hall,Active
Theft I,024-13,02-11-13/0900,02-11-13/0900,HU Hospital,Active
Found Property,13-0203,02-12-13/0815,02-12-13/0740,South Banneker,Inactive
Alarm Activation,13-0204,02-12-13/0924,02-12-13/0831,Carnegie Bldg.,Inactive
Suspicious Odor,13-0205,02-12-13/0900,02-12-13/0830,Dental School,Inactive
Lost Property,13-0206,02-12-13/1149,02-12-13/0935,Douglass Hall,Inactive
Miscellaneous,13-0207,02-12-13/0800,02-12-13/0800,McDonalds,Inactive
Sick Person,13-0208,02-12-13/1415,02-12-13/1405,600 W St. NW,Inactive
Sick Transport,13-0209,02-12-13/1600,02-12-13/1400,Student Health,Inactive
Disorderly Conduct,13-0210,02-12-13/1838,02-12-13/1641,Main Yard,Inactive
Student Misconduct,13-0211,02-12-13/2200,02-12-13/2100,Drew Hall,Inactive
Sick Transport,13-0212,02-13-13/1029,02-13-13/1020,Student Health,Inactive
Sick Transport,13-0213,02-13-13/1149,02-13-13/1120,Student Health,Inactive
Miscellaneous,13-0214,02-13-13/1450,02-13-13/1300,Locke Hall,Inactive
Theft I,13-0215,02-13-13/1500,02-13-13/1000,Cook Hall,Active
Theft II,13-0216,02-13-13/1935,02-13-13/1913,6th & Girard St NW,Active
Miscellaneous,13-0217,02-13-13/2330,02-13-13/2230,Bethune Annex,Inactive
Theft II,13-0218,02-14-13/1001,02-14-13/0900,Mudd Building,Active
Sick Person,13-0219,02-14-13/1600,02-14-13/1600,Mudd Building,Inactive
Fire Alarm,13-0220,02-14-13/2030,02-14-13/1915,Carver Hall,Inactive
Sick Person,13-0221,02-14-13/2330,02-14-13/2313,Stokes Library,Inactive
Suspicious Odor,13-0222,02-15-13/1155,02-15-13/1115,Blackburn Center,Inactive
Fire Alarm Activation,13-0223,02-15-13/1145,02-15-13/1145,Meridian Hill,Inactive
Damaged Property,13-0224,02-15-13/1630,02-15-13/1600,Howard Center,Inactive
Alarm Activation,13-0225,02-15-13/2050,02-15-13/2050,Meridian Hill,Inactive
Lost Property 13-0226,,02-15-13/2211,02-15-13/1500,Starbucks Café,Inactive
Miscellaneous 13-0227,,02-16-13/0800,02-16-13/0800,Plaza Towers,Inactive
Poss. Of Open Container 13-0228,,02-16-13/0800,02-16-13/0800,China Wonder,Inactive
Damaged Property 13-0229,,02-16-13/0048,02-16-13/2315,3000 blk Warder,Inactive
Sick Person 13-0230,,02-16-13/0121,02-16-13/0009,2300 blk Ga. Ave,Inactive
Theft II 13-0231,,02-16-13/0333,02-16-13/0100,440 Irving St. NW,Active
Theft II 13-0232,,02-16-13/0348,02-16-13/0130,Masonic Temple,Inactive
Fire Alarm Activation 13-0233,,02-16-13/0907,02-16-13/0905,Meridian Hill,Inactive
Stolen Property 13-0234,,02-16-13/1255,02-16-13/0130,440 Irving St. NW,Active
Injured Person 13-0235,,02-16-13/1900,02-16-13/1600,2200 blk 10th St.,Inactive
Miscellaneous 13-0236,,02-17-13/0800,02-17-13/0800,Slowe Hall,Inactive
Injured Person 13-0237,,02-17-13/0252,02-17-13/0213,Unknown,Inactive
Miscellaneous 13-0238,,02-18-13/0500,02-18-13/0530,Meridian Hill,Inactive
Miscellaneous 13-0239,,02-18-13/1045,02-18-13/0800,Engineering Bldg,Inactive
Sick Person 13-0240,,02-18-13/0800,02-18-13/0800,Burr Gymasium,Inactive
Theft from Auto 13-0241,,02-18-13/0200,02-18-13/0200,9th & Barry St.,Active
Alarm Activation 13-0242,,02-18-13/1834,02-18-13/2230,Meridian Hill,Inactive
Sick Transport 13-0243,,02-19-13/1040,02-19-13/1010,Meridian Hill,Inactive
Miscellaneous 13-0244,,02-19-13/1300,02-19-13/1540,2200 blk 6th St.,Inactive
Sick Transport 13-0245,,02-19-13/1320,02-19-13/1300,Student Health,Inactive
Hazardous Water 13-0246,,02-19-13/2045,02-19-13/2047,Dental School,Inactive
Miscellaneous 13-0247,,02-20-13/0800,02-20-13/0800,Drew Hall,Inactive
Damaged Property 13-0248,,02-20-13/0800,02-20-13/0800,Bethune Lot,Inactive
Sick Person 13-0249,,02-20-13/1200,02-20-13/1120,2600 blk 6th St,Inactive
Poss. Of Marjuana/Student Mi 13-0250,,02-20-13/1335,02-20-13/1308,Carver Hall,Active
Student Misconduct 13-0251,,02-20-13/1325,02-20-13/1245,Bethune Annex,Inactive
Suspicious Odor 13-0252,,02-20-13/1415,02-20-13/1330,C.B. Powell Bldg.,Inactive
False Fire Alarm Activation 13-0253,,02-20-13/0800,02-20-13/0800,Meridian Hill,Inactive
Student Misconduct 13-0254,,02-20-13/1800,02-20-13/1900,Bryant St. NW,Inactive
Damaged Property 13-0255,,02-20-13/2145,02-20-13/2115,2225 Ga. Ave. NW,Inactive
Sick Person 13-0256,,02-21-13/0330,02-21-13/0300,HU Hospital,Inactive
Sick Person 13-0257,,02-21-13/0430,02-21-13/0349,Slowe Hall,Inactive
Auto Accident 13-0258,,02-21-13/1230,02-21-13/1230,800 blk of Berry Pl.,Active
Miscellaneous 13-0259,,02-21-13/1731,02-21-13/1630,9th & V St. NW,Inactive
Sick Person,13-0260,02-21-13/1900,02-21-13/1820,Bethune Annex,Inactive
Sick Person,13-0261,02-22-13/1015,02-22-13/0800,Quadrangle Hall,Inactive
Sick Transport,13-0262,02-22-13/1155,02-22-13/1155,Student Health,Inactive
Sick Transport,13-0263,02-22-13/1300,02-22-13/1300,Student Health,Inactive
Lost Property,13-0264,02-22-13/1305,02-22-13/0600,between HUH/ Mudd Bldg,Inactive
Injured Person,13-0265,02-23-13/0230,02-23-13/0140,Cook Hall,Inactive
Student Misconduct,13-0266,02-23-13/2157,02-23-13/2059,Cook Hall,Active
Lost Property,13-0267,02-24-13/1228,02-24-13/1130,Florida Ave. NW,Inactive
Sick Person,13-0268,02-24-13/0800,02-24-13/0800,Quadrangle Hall,Inactive
Student Misconduct,13-0269,02-24-13/0800,02-24-13/0800,Quadrangle Hall,Inactive
Sick Transport,13-0270,02-25-13/0932,02-25-13/0920,Student Health Center,Inactive
Sick Transport,13-0271,02-25-13/0105,02-25-13/1240,Student Health Center,Inactive
Sick Transport,13-0272,02-25-13/0105,02-25-13/1240,Student Health Center,Inactive
Sick Person,13-0273,02-25-13/1300,02-25-13/1313,C.B. Powell Building,Inactive
Sick Transport,13-0274,02-25-13/1400,02-25-13/1400,Student Health Center,Inactive
Miscellaneous,13-0275,02-25-13/1713,02-25-13/1624,Quadrangle Hall,Inactive
Student Misconduct,13-0276,02-25-13/1715,02-25-13/1509,Bethune Annex,Inactive
Theft II,13-0277,02-25-13/1920,02-25-13/1420,Quadrangle Hall,Active
Sick Person,13-0278,02-25-13/2053,02-25-13/1955,Burr Gymnasium,Inactive
Lost Property,13-0279,02-25-13/2320,02-25-13/2248,Unknown,Inactive
Alarm Activation,13-0280,02-25-13/0200,02-25-13/2320,Meridian Hill,Inactive
Disorderly Conduct,13-0281,02-26-13/0800,02-26-13/0800,Childers Lot,Active
Lost Property,13-0282,02-26-13/1705,02-26-13/1530,McDonalds,Inactive
Destruction of Property,033-13,02-26-13/0232,02-26-13/0230,HUH/front door,Active
Sick Transport,13-0283,02-27-13/1040,02-27-13/0957,Student Health,Inactive
Lost Property,13-0284,02-27-13/1245,02-23-13/1800,HURB-1,Inactive
Suspicious Person,13-0285,02-27-13/1215,02-27-13/1110,Engineering Bldg.,Inactive
Suspicious Package,13-0286,02-28-13/0800,02-28-13/0800,Admin. Building,inactive
Sick Transport,13-0287,02-28-13/0800,02-28-13/0800,Student Health,inactive
Injured Student,13-0288,02-28-13/0142,02-28-13/2027,Physic building,inactive
Fire Alarm Activation,13-0289,02-28-13/1215,02-28-13/1203,Meridiain Hill,inactive
Suspicious Odor,13-0290,02-28-13/1500,02-28-13/1420,Howard Center,inactive
Theft from Auto,13-0291,02-28-13/0800,02-28-13/0800,Engineering Building,Active
Unlawful Entry,13-0292,02-28-13/0800,02-28-13/0800,Chemistry Building,inactive
Auto Accident,13-0293,02-28-13/2215,02-28-13/2215,Bryant Street Lot,Active
Auto Accident,13-0294,03-01-13/0800,03-01-13/0802,Georgia & Gresham,Active
Sick Person,13-0295,03-01-13/1547,03-01-13/1544,Locke Hall,Inactive
Sick Person,13-0296,03-01-13/2150,03-01-13/1940,Pharmacy Bldg.,Inactive
Student Misconduct,13-0297,03-01-13/2107,03-01-13/1954,Meridian Hill,Active
Injured Person,13-0298,03-01-13/0800,03-01-13/0800,Bethune Annex,Inactive
Unlawful Entry,13-0299,03-02-13/1520,03-02-13/1430,Stokes Library,Active
Student Misconduct,13-0300,03-02-13/1946,03-02-13/1816,Drew Hall,Active
Lost Property,13-0301,03-02-13/2200,03-02-13/2130,Burr Gymnasium,Inactive
Found Property,13-0302,03-02-13/2316,03-02-13/2300,Burr Gymnasium,Inactive
Student Misconduct,13-0303,03-02-13/0800,03-02-13/0800,Drew Hall,Active
Possession of Marijuana,13-0304,03-03-13/0535,03-03-13/2315,Plaza Towers,Active
Noise At Nite,13-0305,03-03-13/0800,03-03-13/0800,Adams St. NW,Inactive
Theft from Auto,13-0306,03-03-13/1920,03-03-13/1745,Childers Lot,Active
Theft from Auto,13-0307,03-03-13/1735,03-03-13/1735,6th St. Girard NW,Active
Student Misconduct,13-0308,03-03-13/2143,03-03-13/2105,Drew Hall,Active
Use of Force,13-0309,03-03-13/0800,03-03-13/0800,Georgia & Howard,Active
Simple Assault,13-0310,03-03-13/2225,03-03-13/2215,2800 blk of 16th St,Active
Sick Transport,13-0311,03-04-13/0540,03-04-13/0539,Quadrangle Hall,Inactive
Sick Transport,13-0312,03-04-13/0710,03-04-13/0625,6th & Howard Pl,Inactive
False Fire Alarm,13-0313,03-04-13/1045,03-04-13/1025,Meridian Hill,Inactive
Found Property,13-0314,03-04-13/1230,03-04-13/1235,Ronkin Chapel,Inactive
Injured Person,13-0315,03-04-13/2018,03-04-13/1706,Burr Gymnasium,Inactive
APO,033-193,03-04-13/1545,03-04-13/1545,HU Hospital,Active
Hazardous Odor,13-0316,03-05-13/1105,03-05-13/1045,Stokes Library,Inactive
Alarm Activation,13-0317,03-05-13/1935,03-05-13/1735,Dental School,Inactive
Theft I,13-0318,03-05-13/2100,03-05-13/2025,Burr Gymnasium,Active
Theft II,13-0319,03-05-13/2230,03-05-13/2000,Fine Arts Bldg.,Active
Sick Person,13-0320,03-06-13/0330,03-06-13/0309,Quadrangle Hall,Inactive
Fire Alarm Activation,13-0321,03-06-13/0815,03-06-13/0715,Carnegie Bldg.,Inactive
Sick Transport,13-0322,03-06-13/1025,03-06-13/0911,Plaza Towers,Inactive
Student Misconduct,13-0323,03-06-13/1441,03-06-13/1438,Plaza Towers,Active
Student Misconduct,13-0324,03-06-13/2130,03-06-13/2020,Meridian Hill,Active
Damaged Property,13-0325,03-07-13/0836,03-07-13/0836,Mudd Bldg.,Inactive
Fire Alarm Activation,13-0326,03-07-13/1320,03-07-13/1305,Meridian Hill Inactive
Miscellaneous,13-0327,03-07-13/1616,03-07-13/1500,Bethune Annex Inactive
Fire,13-0328,03-07-13/1825,03-07-13/1657,Quadrangle Hall Active
Theft from Auto,13-0329,03-07-13/1600,03-07-13/1600,500 blk Gresham Active
Miscellaneous,13-0330,03-07-13/0645,03-07-13/0600,Fine Arts Bldg. Inactive
Injured Person,13-0331,03-08-13/1330,03-08-13/1025,Childers Lot Inactive
Injured Person,13-0332,03-08-13/1340,03-08-13/1055,Cramton Auditorium Inactive
Vehicle Accident,13-0333,03-08-13/1415,03-08-13/1410,Mackey Lot Inactive
Sick Person,13-0334,03-08-13/1453,03-08-13/1420,6th & Howard Pl Inactive
Unlawful Entry,13-0335,03-08-13/1500,03-08-13/1410,Stokes Library Active
Unlawful Entry,13-0336,03-08-13/1500,03-08-13/1300,Academic A Active
Unlawful Entry,13-0337,03-08-13/1900,03-08-13/1802,Greene Stadium Active
Sick Person,13-0338,03-08-13/2145,03-08-13/2110,Drew Hall Inactive
Theft from Auto,13-0339,03-08-13/2301,03-08-13/2220,Childers Lot Active
Theft from Auto,13-0340,03-08-13/2301,03-08-13/2220,Childers Lot Active
Hazardous Elevator,13-0341,03-09-13/0226,03-09-13/0120,Howard Plaza East Inactive
Theft II,13-0342,03-09-13/0630,03-09-13/0400,Carver Hall Active
