NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED",GENERAL LOCATION
Sick Transport,16-0055,01-15-16/2003,01-15-16/2003,quadrangle Hall,Inactive
Sick Person,16-0056,01-15-16/2159,01-15-16/2157,quadrangle Hall,Inactive
Destruction of Property,16-0057,01-15-16/0105,01-15-16/0104,Plaza Towers,Active
Sick Person,16-0058,01-16-16/0905,01-16-16/0905,Quadrangle Hall,Inactive
Sick Person,16-0059,01-16-16/1452,01-16-16/1451,College Hall North,Inactive
Fire Alarm Activation,16-0060,01-16-16/1824,01-16-16/1824,College Hall North,Inactive
Student Misconduct,16-0061,01-16-16/1843,01-16-16/1843,College Hall North Active
Damaged Property,16-0062,01-16-16/2337,01-16-16/2337,Quadrangle Hall Inactive
Fire Alarm Activation,16-0063,01-17-16/0245,01-17-16/0240,Plaza Towers Inactive
Fire Alarm Activation,16-0064,01-17-16/1824,01-17-16/0926,Pharmacy Building Inactive
Lost Property,16-0065,01-17-16/1541,01-17-16/1518,College Hall South Inactive
Recovered Property,16-0066,01-17-16/2305,01-17-16/2252,Drew Hall Inactive
Fire Alarm Activation,16-0067,01-17-16/2330,01-17-16/2330,College Hall North Inactive
Sick Person,16-0068,01-17-16/0536,01-17-16/0536,HU Hospital Inactive
Alarm Activation,16-0069,01-18-16/0153,01-17-17/0153,Pharmacy Building Inactive
Sick Person,16-0070,01-19-16/0120,01-19-16/0120,Plaza Towers Inactive
Hazardous Odor,16-0071,01-19-16/0851,01-19-16/0850,Enterprise Tec. Sesrvice Inactive
Sick Person,16-0072,01-19-16/1146,01-19-16/1145,Douglass Hall Inactive
Fire Alarm Activation,16-0073,01-19-16/2143,01-19-16/22141,Slowe Hall Inactive
NO REPORT,16-0074,01-19-16/,01-19-16/,
Suspicious Odor,16-0075,01-20-16/0140,01-20-16/0114,Slowe Hall Inactive
Student Misconduct,16-0076,01-19-16/1457,01-19-16/1457,Main Gate Active
Vehicle Accident,16-0077,01-20-16/1022,01-20-16/1022,Quadrangle Hall Active
Lost Property,16-0078,01-20-16/1745,01-20-16/1730,Off Campus Inactive
Lost Property,16-0079,01-20-16/1822,01-20-16/1821,Bethune Hall Annex Inactive
Damaged Property,16-0080,01-20-16/1830,01-20-16/1809,East Towers Parking Lot Inactive
Vehicle Accident,16-0081,01-20-16/1943,01-20-16/1943,2400 block of 6th Howard Pl. NWActive
Vehicle Accident,16-0082,01-20-16/2016,01-20-16/2016,2400 block of 6th Howard Pl. NWActive
NO REPORT,16-0083,01-20-16/,01-20-16/,
Hazardous Water Leak,16-0084,01-20-16/2059,01-20-16/1921,Engineering Building Inactive
Student Misconduct,16-0085,01-20-16/2257,01-20-16/2241,Cook Hall Active
Damaged Property,16-0086,01-21-16/1219,01-21-16/1214,Mudd Building Inactive
Theft from Auto,16-0087,01-21-16/1420,01-21-16/1414,Plaza Towers Active
Lost Property,16-0088,01-21-16/1636,01-21-16/1636,Bethune Hall Annex Inactive
Student Misconduct,16-0089,01-21-16/2034,01-21-16/2034,Plaza Towers Active
Lost Property,16-0090,01-21-16/2215,01-21-16/2145,Architecture & Planning Inactive
Threats,16-0091,01-21-16/2108,01-21-16/2104,College Hall North Active
Student Misconduct,16-0092,01-21-16/2314,01-21-16/2250,College Hall South Active
Sick Person,16-0093,01-22-16/0303,01-22-16/0245,HU Hospital Inactive
Miscellaneous,16-0094,01-22-16/1335,01-22-16/1333,Drew Hall,Inactive
Fire Alarm Activation,16-0095,01-22-16/1553,01-22-16/1532,Bethune Hall Annex,Inactive
Sick Transport,16-0096,01-22-16/1627,01-22-16/1540,Quadrangle Hall,Inactive
Student Misconduct,16-0097,01-22-16/1655,01-22-16/1654,College Hall South,Active
Student Misconduct,16-0098,01-22-16/1816,01-22-16/1745,College Hall South,Active
Fire Alarm Activation,16-0099,01-22-16/1713,01-22-16/1655,College Hall South,Inactive
Student Misconduct,16-0100,01-22-16/2000,01-22-16/1948,Slowe Hall,Active
Sick Transport,16-0101,01-23-16/0300,01-23-16/0259,Bethune Hall Annex,Inactive
Damaged Property,16-0102,01-23-16/0333,01-23-16/0333,Childers Lot,Inactive
Sick Transport,16-0103,01-23-16/2130,01-23-16/2113,Quadrangle Hall,Inactive
Simple Assault,16-0104,01-24-16/1312,01-24-16/1305,Cook Hall,Active
Sick Transport,16-0105,01-24-16/1303,01-24-16/1303,Quadrangle Hall,Inactive
Loud Noise,16-0106,01-25-16/0118,01-25-16/0118,Off Campus,Inactive
Credit Card Fraud,16-0107,01-25-16/1351,01-25-16/1351,College Hall North,Active
Sick Transport,16-0108,01-25-16/1630,01-25-16/1630,College Hall North,Inactive
Sick Person,16-0109,01-25-16/1900,01-25-16/1848,Plaza Towers,Inactive
Armed Robbery,16-0110,01-25-16/2039,01-25-16/2039,Off Campus,Active
Theft from Auto,16-0111,01-26-16/1325,01-26-16/1311,Upper Campus,Active
Fire Alarm Activation,16-0112,01-26-16/2337,01-26-16/2328,College Hall South,Inactive
Sick Person,16-0113,01-27-16/0012,01-27-16/0012,HU Hospital,Inactive
Miscellaneous,16-0114,01-27-16/1630,01-23-16/1900,Off Campus,Inactive
Damaged Property,16-0115,01-27-16/1725,01-27-16/1713,School of Business,Inactive
Fire Alarm Activation,16-0116,01-28-16/1008,01-28-16/1004,College Hall South,Inactive
Hazardous Water Leak,16-0117,01-28-16/1136,01-28-16/1136,Howard Center,Inactive
Sick Person,16-0118,01-29-16/0023,01-29-16/0022,Plaza Towers,Inactive
Lost Property,16-0119,01-29-16/0113,01-29-16/0110,Georgia Ave. NW,Inactive
NO REPORT,16-0120,01-29-16/,01-29-16/,,
Sexual Assault,16-0121,01-29-16/1335,01-28-16/1202,Off Campus,Active
NO REPORT,16-0122,01-29-16/,01-29-16/,,
NO REPORT,16-0123,01-29-16/,01-29-16/,,
NO REPORT,16-0124,01-29-16/,01-29-16/,,
Fire Alarm Activation,16-0122,01-29-16/1422,01-29-16/1421,School of Divinity,Inactive
Domestic Violence,16-0126,01-29-16/1745,01-29-16/1714,Off Campus,Active
Fire Alarm Activation,16-0127,01-29-16/2052,01-29-16/1948,College Hall South,Inactive
Injured Person,16-0128,01-30-16/1253,01-30-16/2347,HU Hospital,Active
NO REPORT,16-0129,,,,
NO REPORT,16-0130,,,,
Fire Alarm Activation,16-0131,01-30-16/2102,01-30-16/2100,College Hall North,Inactive
Sick Person,16-0132,01-31-16/0019,01-31-16/0017,College Hall North,Inactive
Hazardous Water Leak,16-0133,02-01-16/0835,01-27-16/1100,2731 Georgia Avenue NW,Inactive
Fire Alarm Activation,16-0134,02-01-16/0846,02-01-16/0846,College Hall North,Inactive
Sick Person,16-0135,02-01-16/1549,02-01-16/1600,Quadrangle Hall,Inactive
Hazardous Water Leak,16-0136,02-01-16/1810,02-01-16/1750,Plaza Towers,Inactive
Sick Person,16-0137,02-01-16/1911,02-01-16/1911,Bethune Annex,Inactive
Injured Person,16-0138,02-02-16/0958,02-02-16/0948,Pharmacy Building,Active
Unlawful Entry,16-0139,02-02-16/1159,02-02-16/1150,Bethune Annex,Active
Theft from Auto,16-0140,02-02-16/1247,02-02-16/1115,Greene Stadium,Active
Theft from Auto,16-0141,02-02-16/1705,02-02-16/1645,School of School,Active
Destruction of Property,16-0142,02-02-16/1928,02-02-16/1923,Miner Building,Active
Destruction of Property,16-0143,02-02-16/2237,02-02-16/2225,Childers Lot,Active
Miscellaneous,16-0144,02-02-16/0047,02-02-16/0045,College Hall North,Inactive
Student Misconduct,16-0145,02-03-16/0118,02-03-16/0118,College Hall South,Active
Hazardous Water Leak,16-0146,02-03-16/0550,02-03-16/0542,College Hall North,Inactive
Fire Alarm Activation,16-0147,02-03-16/1050,02-03-16/1050,Mudd Building,Inactive
Damaged Property,16-0148,02-03-16/1135,02-03-16/1132,Service Center,Inactive
Fire Alarm Activation,16-0149,02-03-16/1840,02-03-16/1830,Mudd Building,Inactive
Theft from Auto,16-0150,02-03-16/2044,02-03-16/2040,Childers Lot,Active
Injured Person,16-0151,02-03-16/2330,02-03-16/2330,Quadrangle Hall,Active
Sick Person,16-0152,02-04-16/0522,02-04-16/0522,Quadrangle Hall,Inactive
Recovered Property,16-0153,02-04-16/1230,02-04-16/1228,Miner Building,Inactive
Hit and Run,16-0154,02-04-16/1450,02-04-16/1403,Upper Campus,Active
Lost Property,16-0155,02-04-16/1655,02-04-16/1648,Plaza Towers,Inactive
Student Misconduct,16-0156,02-04-16/1813,02-04-16/1813,Plaza Towers,Active
Theft from Auto,16-0157,02-04-16/2130,02-04-16/2045,Greene Stadium,Active
Threats,16-0158,02-04-16/2342,02-04-16/2341,Plaza Towers,Active
Hazardous Water Leak,16-0159,02-05-16/0340,02-05-16/0325,Architecture & Planning,Inactive
Vehicle Accident,16-0160,02-05-16/1110,02-05-16/1055,Mudd Building,Active
Miscellaneous,16-0161,02-05-16/1430,02-05-16/1426,Blackburn Center,Inactive
Simple Assault,16-0162,02-05-16/1645,02-05-16/1645,College Hall North,Active
Sick Person,16-0163,02-05-16/1939,02-05-16/1929,Plaza Towers,Inactive
Missing Person,16-0164,02-05-16/1507,02-05-16/1430,Dental School,Active
Loud Noise,16-0165,02-06-16/0126,02-06-16/0126,Off Campus,Inactive
Theft from Auto,16-0166,02-05-16/1345,02-05-16/1345,Chemistry Building,Active
Miscellaneous,16-0167,02-06-16/1348,02-06-16/1310,Blackburn Center,Inactive
NO REPORT,16-0168,02-07-16/,02-07-16/,,
Fire,16-0169,02-07-16/0945,02-07-16/0945,Lower Campus,Active
Miscellaneous,16-0170,02-07-16/1018,02-07-16/1017,Wonder Plaza,Inactive
Fire Alarm Activation,16-0171,02-07-16/2255,02-07-16/2255,Slowe Hall,Inactive
Injured Person,16-0172,02-08-16/0023,02-08-16/0023,Quadrangle Hall,Active
NO REPORT,16-0173,02-08-16/,02-08-16/,,
Sick Transport,16-0174,02-08-16/0356,02-08-16/0350,Plaza Towers,Inactive
Hazardous Elevator,16-0175,02-08-16/0551,02-08-16/0551,Middle School,Inactive
Sick Person,16-0176,02-08-16/0634,02-08-16/0634,Plaza Towers,Inactive
Armed Robbery,16-0177,02-08-16/0936,02-08-16/0936,Off Campus,Active
Possession of Marijuana,16-0178,02-08-16/1230,02-08-16/1101,Drew Hall,Active
Damaged Property,16-0179,02-08-16/1313,02-08-16/1313,Miner Lot,Inactive
Damaged Property,16-0180,02-08-16/1434,02-08-16/1430,Childers Lot,Inactive
NO REPORT,16-0181,02-08-16/,02-08-16/,,
Theft from Auto,16-0182,02-08-16/1704,02-08-16/1651,Childers Lot,Active
NO REPORT,16-0183,02-08-16/,02-08-16/,,
Theft from Auto,16-0184,02-08-16/2125,02-08-16/2125,Physic Building,Active
Theft from Auto,16-0185,02-08-16/2300,02-08-16/2259,Childers Lot,Active
Found Property,16-0186,02-08-16/2340,02-08-16/2305,Burr Gymnsaium,Inactive
Destruction of Property,16-0187,02-08-16/2313,02-08-16/2254,Plaza Towers,Active
Theft from Auto,16-0188,02-08-16/1210,02-08-16/2355,Fine Arts Building,Active
Destruction of Property,16-0189,02-09-16/0041,02-09-16/0010,Fine Arts Building,Active
Simple Assault,16-0190,02-08-16/2345,02-08-16/2339,Slowe Hall,Active
Destruction of Property,16-0191,02-09-16/0042,02-09-16/0010,Fine Arts Building,Active
Destruction of Property,16-0192,02-09-16/0552,02-09-16/0552,Founders Library,Active
Destruction of Property,16-0193,02-08-16/1800,02-09-16/1033,Childers Lot,Active
Miscellaneous,16-0194,02-09-16/2110,02-09-16/2105,Off Campus,Inactive
Sick Person,16-0195,02-09-16/2010,02-09-16/210,Quadrangle Hall,Inactive
Destruction of Property,16-0196,02-09-16/2037,02-09-16/2030,Off Campus,Inactive
Theft from Auto,16-0197,02-10-16/0915,02-10-16/0915,East Towers Lot,Active
Suspicious Odor,16-0198,02-10-16/0938,02-10-16/0930,Slowe Hall,Inactive
Possession of Marijuana,16-0199,02-10-16/1229,02-10-16/1220,Upper Campus,Active
Lost Property,16-0200,02-10-16/1400,02-10-16/1330,Blackburn Center,Inactive
Destruction of Property,16-0201,02-10-16/1555,02-10-16/1555,HU Hospital,Active
Destruction of Property,16-0202,02-10-16/1654,02-10-16/1654,HU Hospital,Active
Hazardous Water Leak,16-0203,02-10-16/1922,02-10-16/1922,Mudd Building,Inactive
Theft from Auto,16-0204,02-10-16/2225,02-10-16/2207,Childers Lot,Active
Theft from Auto,16-0205,02-10-16/2346,02-10-16/2346,A1 Rear Parking Lot,Active
Miscellaneous,16-0206,02-10-16/2352,02-10-16/2348,Plaza Towers,Inactive
Suspicious Odor,16-0207,02-11-16/0121,02-11-16/0116,Plaza Towers,Active
Sick Person,16-0208,02-10-16/2337,02-10-16/2302,Fine Arts Building,Inactive
Miscellaneous,16-0209,02-11-16/0740,02-11-16/0731,Dental School,Inactive
NO REPORT,16-0210,02-11-16/,02-11-16/,,
Sick Transport,16-0211,02-11-16/1307,02-11-16/1307,Bethune Hall Annex,Inactive
Suspicious Package,16-0212,02-11-16/1447,02-11-16/1445,College Hall South,Active
Fire Alarm Activation,16-0213,02-12-16/0039,02-12-16/0038,Stokes Library,Inactive
Damaged Property,16-0214,02-12-16/0259,02-12-16/0259,HUSC,Inactive
Burglary 2,16-0215,02-12-16/1119,02-12-16/1117,Academic Support Building B,Active
Fire Alarm Activation,16-0216,02-12-16/1202,02-12-16/1202,C.B. Powell Building,Inactive
Sick Transport,16-0217,02-12-16/1335,02-12-16/1334,Bethune Hall Annex,Inactive
Fire Alarm Activation,16-0218,02-12-16/1441,02-12-16/1441,College Hall North,Inactive
Student Misconduct,16-0219,02-12-16/2245,02-12-16/2230,Chemistry Building,Active
Fire Alarm Activation,16-0220,02-13-16/0921,02-13-16/0919,Cook Hall,Inactive
Loud Noise,16-0221,02-14-16/0050,02-14-16/0050,Howard Plaza Towers,Inactive
Lost Property,16-0222,02-14-16/1941,02-14-16/1847,On Campus,Inactive
Vehicle Accident,16-0223,02-15-16/0700,02-15-16/0600,500 block of College Street NW,Active
Injured Person,16-0224,02-15-16/1747,02-15-16/1740,Quadrangle Hall,Active
Fire Alarm Activation,16-0225,02-15-16/2019,02-15-16/2019,East Campus,Inactive
Injured Person,16-0226,02-15-16/2155,02-15-16/2153,Drew Hall,Active
Miscellaneous,16-0227,02-16-16/1120,02-16-16/1118,College Hall North,Inactive
Simple Assault,16-0228,02-16-16/2002,02-16-16/1955,Off Campus,Inactive
Suspicious Odor,16-0229,02-16-16/2335,02-16-16/2335,Howard Plaza Towers,Active
Harassment,16-0230,02-17-16/0659,02-17-16/0659,College Hall North,Active
Damaged Property,16-0231,02-17-16/0940,02-17-16/0940,Founders Lot,Inactive
Sick Person,16-0232,02-17-16/1301,02-17-16/1256,College Hall South,Inactive
Destruction of Property,16-0233,02-17-16/1648,02-17-16/1648,Childers Lot,Active
NO REPORT,16-0234,02-17-16/,02-17-16/,,
Credit Card Fraud,16-0235,02-17-16/1900,02-17-16/1827,Howard Plaza Towers,Active
Theft 2,16-0236,02-17-16/2005,02-17-16/2005,Blackburn Center,Active
Student Misconduct,16-0237,02-17-16/1804,02-17-16/1800,College Hall South,Active
Sick Person,16-0238,02-18-16/0034,02-18-16/0033,College Hall North,Inactive
Sick Transport,16-0239,02-18-16/0130,02-18-16/0126,Quadrangle Hall,Inactive
Burglary 1,16-0240,02-18-16/0144,02-18-16/0144,Off Campus,Inactive
Fire,16-0241,02-18-16/0314,02-18-16/0313,College Hall South,Active
Theft from Auto,16-0242,02-18-16/0838,02-18-16/0837,Lower Campus,Active
Lost Property,16-0243,02-18-16/1355,02-18-16/1353,Lower Campus,Inactive
Sick Person,16-0244,02-18-16/2204,02-18-16/2204,College Hall South,Inactive
Hazardous Elevator,16-0245,02-19-16/0133,02-19-16/0132,College Hall South,Inactive
Theft from Auto/Destruction of Property,16-0246,02-19-16/0839,02-19-16/0839,Childers Lot,Active
Sick Person,16-0247,02-19-16/0953,02-19-16/0953,Slowe Hall,Inactive
Vehicle Accident,16-0248,02-19-16/1155,02-19-16/1151,Howard Plaza Towers,Active
Sick Person,16-0249,02-19-16/1412,02-19-16/1412,Blackburn Center,Inactive
Hazardous Elevator,16-0250,02-19-16/1801,02-19-16/1750,Annex 1,Inactive
Student Misconduct,16-0251,02-19-16/2115,02-19-16/2053,College Hall South,Active
Sick Person,16-0252,02-20-16/0036,02-20-16/0035,Quadrangle Hall,Inactive
Fire Alarm Activation,16-0253,02-20-16/0242,02-20-16/0242,College Hall South,Inactive
Loud Noise,16-0254,02-20-16/0352,02-20-16/0351,Off Campus,Active
Fire Alarm Activation,16-0255,02-20-16/0539,02-20-16/0529,HURB Research Building,Inactive
Sick Person,16-0256,02-20-16/0840,02-20-16/0838,Howard Plaza Towers,Inactive
Hazardous Water Leak,16-0257,02-20-16/1731,02-20-16/1730,Howard Center,Inactive
Found Property,16-0258,02-20-16/1956,02-20-16/1945,Burr Gymnasium,Inactive
Sick Person,16-0259,02-21-16/1620,02-21-16/0335,College Hall North,Inactive
NO REPORT,16-0260,02-21-16/,02-21-16/,,
Fire Alarm Activation,16-0261,02-22-16/1237,02-22-16/1224,College Hall South,Inactive
NO REPORT,16-0262,02-22-16/,02-22-16/,,
Hazardous Elevator,16-0263,02-22-16/0935,02-22-16/0932,Howard Plaza Towers,Inactive
Theft 2,16-0264,02-22-16/2004,02-22-16/1956,Off Campus,Inactive
Miscellaneous,16-0265,02-22-16/2125,02-22-16/2121,Slowe Hall,Inactive
Unlawful Entry,16-0266,02-23-16/0213,02-23-16/0213,Founders Library,Active
Miscellaneous,16-0267,02-23-16/1137,02-23-16/1137,College Hall North,Inactive
Destruction of Property,16-0268,02-23-16/1706,02-23-16/1705,Lower Campus,Active
Theft from Auto,16-0269,02-23-16/1645,02-23-16/1640,501 Bryant Street NW,Inactive
Theft from Auto,16-0270,02-23-16/2019,02-23-16/1955,Greene Stadium,Active
Miscellaneous,16-0271,02-23-16/2315,02-23-16/2315,College Hall North,Inactive
Fire,16-0272,02-24-16/0038,02-24-16/0036,College Hall South,Active
Hazardous Water Leak,16-0273,02-24-16/0520,02-24-16/0520,HUSC,Inactive
Sick Transport,16-0274,02-24-16/0637,02-24-16/0637,Bethune Hall Annex,Inactive
Fire Alarm Activation,16-0275,02-24-16/1803,02-24-16/1803,Wonder Plaza,Inactive
Hazardous Water Leak,16-0276,02-24-16/1905,02-24-16/1856,Mudd Building,Inactive
Hazardous Water Leak,16-0277,02-24-16/1836,02-24-16/1836,C.B. Powell Building Lot,Inactive
Hazardous Water Leak,16-0278,02-24-16/2013,02-24-16/2013,Bethune Hall Annex,Inactive
Sick Person,16-0279,02-24-16/1933,02-24-16/1930,Pharmacy Building,Inactive
Fire Alarm Activation,16-0280,02-25-16/1618,02-25-16/1617,Wonder Plaza,Inactive
Student Misconduct,16-0281,02-25-16/1754,02-25-16/1750,College Hall South,Active
Lost Property,16-0282,02-25-16/1908,02-25-16/1908,Upper Campus,Inactive
Theft from Auto,16-0283,02-25-16/2004,02-25-16/1840,Childers Lot,Active
Miscellaneous,16-0284,02-24-16/2000,02-24-16/1543,College Hall South,Inactive
Fire Alarm Activation,16-0285,02-26-16/0007,02-26-16/0007,Wonder Plaza,Inactive
Hazardous Elevator,16-0286,02-27-16/1331,02-27-16/1331,Annex 2,Inactive
Fire Alarm Activation,16-0287,02-27-16/1616,02-27-16/1616,College Hall North,Inactive
Verbal Doispute,16-0288,02-28-16/0256,02-28-16/0255,College Hall South,Active
Fire Alarm Activation,16-0289,02-28-16/1345,02-28-16/1340,Wonder Plaza,Inactive
Sick Person,16-0290,02-29-16/0050,02-29-16/0040,Quadrangle Hall,Inactive
Sick /Missing Person,16-0291,02-29-16/0106,02-29-16/0053,College Hall South,Inactive
Fire Alarm Activation,16-0292,02-29-16/0644,02-29-16/0640,College Hall North,Inactive
Sick Transport,16-0293,02-29-16/0824,02-29-16/0751,College Hall North,Inactive
Theft 2,16-0294,02-29-16/1827,02-29-16/1821,Quadrangle Hall,Active
Unlawful Entry,16-0295,02-29-16/2009,02-29-16/2009,Bethune Hall Annex,Active
Injured Person,16-0296,02-29-16/0009,02-29-16/0009,HU Hospital,Active
Fire Alarm Activation,16-0297,03-01-16/0239,03-01-16/0235,Slowe Hall,Inactive
Theft 2,16-0298,03-01-16/0905,03-01-16/0905,Slowe Hall,Active
Sexual Assault,16-0299,03-01-16/1151,03-01-16/1151,College Hall South,Active
Miscellaneous,16-0300,03-01-16/1405,03-01-16/1405,College Hall North,Inactive
Theft 2,16-0301,03-01-16/2112,03-01-16/2107,College Hall South,Active
Sick Transport,16-0302,03-01-16/2107,03-01-16/2106,Howard Plaza Towers,Inactive
Theft from Auto,16-0303,03-01-16/2231,03-01-16/2229,Greene Stadium,Active
Injured Person,16-0304,03-01-16/2311,03-01-16/2311,Quadrangle Hall,Inactive
NO REPORT,16-0305,03-02-16/,03-02-16/,,
Miscellaneous,16-0306,03-02-16/1103,03-02-16/1103,Blackburn Center,Inactive
Theft from Auto,16-0307,03-02-16/1951,03-02-16/1949,Childers Lot,Active
Damaged Property,16-0308,03-02-16/2140,03-02-16/2132,Fine Arts Building,Inactive
Theft from Auto,16-0309,03-02-16/2338,03-02-16/2315,Childers Lot,Active
Sick Person,16-0310,03-03-16/1112,03-03-16/1113,College Hall North,Inactive
Miscellaneous,16-0311,03-03-16/1231,03-03-16/1134,College Hall South,Inactive
Miscellaneous,16-0312,03-03-16/1353,03-03-16/1350,College Hall North,Inactive
Lost Property,16-0313,03-03-16/1504,03-03-16/1504,Blackburn Center,Inactive
Fire Alarm Activation,16-0314,03-04-16/0116,03-04-16/0057,College Hall North,Inactive
Hazardous Elevator,16-0315,03-04-16/0854,03-04-16/0851,HURB-1,Inactive
Student Misconduct,16-0316,03-04-16/1659,03-04-16/1605,College Hall North,Active
Sick Person,16-0317,03-05-16/0047,03-05-16/0047,Quadrangle Hall,Inactive
Loud Noise,16-0318,03-05-16/0129,03-05-16/0128,2427 Otis Street NE,Active
Damaged Property,16-0319,03-05-16/1017,03-05-16/1014,9th and Barry NW,Inactive
Hazardous Elevator,16-0320,03-05-16/1712,03-05-16/1700,Howard Plaza Towers,Inactive
Loud Noise,16-0321,03-06-16/0149,03-06-16/0149,63 Gallitan Place NW,Active
Fire Alarm Activation,16-0322,03-06-16/0440,03-06-16/0437,Howard Plaza Towers,Inactive
NO REPORT,16-0323,03-07-16/,03-07-16/,,
NO REPORT,16-0324,03-07-16/,03-07-16/,,
Theft from Auto,16-0325,03-07-1450,03-07-16/1444,Mudd Building,Active
Missing Person,16-0326,03-07-16/1647,03-07-16/1647,College of Denistry,Active
Theft 2,16-0327,03-07-16/1740,03-07-16/1652,Howard Plaza Towers,Active
Theft from Auto,16-0328,03-08-16/0032,03-08-16/0004,Burr Gymnasium,Active
Miscellaneous,16-0329,03-08-16/0900,03-08-16/0859,Service Center,Inactive
Injured Person,16-0330,03-08-16/1456,03-08-16/1454,Upper Campus,Active
Injured Person,16-0331,03-08-16/1456,03-08-16/1454,Upper Campus,Active
Lost Property,16-0332,03-08-16/1730,03-08-16/1530,Douglass Hall,Inactive
Theft from Auto,16-0333,03-09-16/2159,03-09-16/2159,500 block Gresham Place,Active
Theft from Auto,16-0334,03-09-16/1218,03-09-16/1218,531 College Street NW,Active
Found Property,16-0335,03-09-16/1530,03-09-16/1520,Greene Stadium,Inactive
Sick Transport,16-0336,03-09-16/1635,03-09-16/1543,C.B. Powell Building,Inactive
Aggravated Assaulted/Domestic Violence,16-0337,03-09-16/1700,03-09-16/1643,College Hall South,Active
Lost Property,16-0338,03-10-16/1942,03-10-16/1941,Burr Gymnasium,Inactive
Damaged Property,16-0339,03-10-16/0039,03-10-16/0039,A-1 Rear Parking Lot,Inactive
Sick Person,16-0340,03-10-16/0250,03-10-16/0246,HUH,Inactive
Hazardous Elevator,16-0341,03-10-16/0828,03-10-16/0815,Plaza Towers,Inactive
"",16-0342,,,,
Theft 2,16-0343,03-10-16/0929,03-10-16/0928,Quadrangle Hall,Active
Miscellaneous,16-0344,03-10-16/1419,03-10-16/1419,College Hall North,Inactive
Damaged Property,16-0345,03-11-16/1615,03-11-16/1615,Off Campus,Inactive
Lost Property,16-0346,03-11-16/2142,03-11-16/2142,Off Campus,Inactive
Simple Assault/Domestic Violence,16-0347,03-11-16/0453,03-11-16/0453,Plaza Towers,Active
Sick Person,16-0348,03-11-16/0550,03-11-16/0550,HUH,Inactive
Credit Card Fraud,16-0349,03-11-16/1618,03-11-16/1521,Quadrangle Hall,Active
Hazardous Water Leak,16-0350,03-12-16/0902,03-12-16/0902,Mudd Building,Inactive
Unlawful Entry,16-0351,03-13-16/0511,03-13-16/0508,College Hall South,Active
Fire Alarm Activation,16-0352,03-14-16/0338,03-14-16/0338,Chemistry Building,Inactive
Suspicious Odor,16-0353,03-14-16/1209,03-14-16/1205,Slowe Hall,Active
Theft from Auto,16-0354,03-15-16/2018,03-15-16/1825,Public Space,Inactive
Vehicle Accident,16-0355,03-15-16/2332,03-15-16/2320,Busines District,Active
Loud Noise,16-0356,03-17-16/0230,03-17-16/0215,Off Campus,Active
Vehicle Accident,16-0357,03-17-16/1043,03-17-16/1043,Annex 2,Active
Injured Person,16-0358,03-18-16/1709,03-18-16/1701,Off Campus,Active
Fire Alarm Activation,16-0359,03-19-16/1336,03-19-16/1336,Cook Hall,Inactive
