NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED",GENERAL LOCATION
Disorderly,14-0074,01-26-14/0427,01-26-14/0434,Bethune Annex,Inactive
Fire Alarm Activation,14-0075,01-26-14/1109,01-26-14/1106,Cook Hall,Inactive
Hazardous Water Leak,14-0076,01-26-14/1524,01-26-14/1549,Burr Gymnasium,Inactive
Sexual Assault,14-0077,01-27-14/1117,00/00/2013,C.B. Powell Building,Active
Lost Property,14-0078,01-27-14/1149,01-27-14/1149,West Campus,Inactive
Fire Alarm Activation,14-0079,01-27-14/1352,01-27-14/1350,Enterprise Tec. Service,Inactive
Sexual Assault,14-0080,01-27-14/1525,10/00/2013,Douglass Hall,Active
Sick Person,14-0081,01-27-14/2208,01-27-14/2205,Burr Gymnasium,Inactive
Suspicious Odor,14-0082,01-27-14/2302,01-27-14/1055,Meridian Hill,Inactive
Vehicle Accident,14-0083,01-28-14/0905,01-28-14/0906,"2200 blk Ga. Ave., NW",Active
Hazardous Elevator,14-0084,01-28-14/0936,01-28-14/0910,East Towers Lot,Inactive
Sick Transport,14-0085,01-28-14/1537,01-28-14/1601,C.B. Powell Building,Inactive
Hazardous Odor,14-0086,01-28-14/1806,01-28-14/1910,Sub-Station,Inactive
Sick Person,14-0087,01-28-14/2130,01-28-14/2127,Bethune Annex,Inactive
Alarm Activation,14-0088,01-28-14/2221,01-28-14/2221,Quadrangle Hall,Inactive
Sexual Assault,14-0089,01-28-14/2348,01-28-14/2348,6515 Belcrest Rd.,Inactive
Sick Person,14-0090,01-29-14/0829,01-29-14/0829,Biology Building,Inactive
Injured Person,14-0091,01-29-14/1013,01-29-14/1000,School of Business,Inactive
Theft II,14-0092,01-29-14/1648,01-28-14/2000,Crandall Hall,Active
Sick Person,14-0093,01-29-14/1651,01-29-14/1651,Wheatley Hall,Inactive
Miscellaneous,14-0094,01-29-14/1803,01-29-14/1803,Bethune Annex,Active
Damaged Property,14-0095,01-29-14/1935,01-29-14/1330,2300 Blk Georgia Ave,Inactive
Hazardous Elevator,14-0096,01-30-14/0059,01-30-14/0001,Meridian Hill,Inactive
Hazardous Water Leak,14-0097,01-30-14/1407,01-30-14/1407,Dental School,Inactive
Lost Property,14-0098,01-30-14/2030,01-30-14/1600,Quadrangle,Inactive
Sick Transport,14-0099,01-30-14/2121,01-30-14/2110,Fine Arts,Inactive
Sick Person,14-0100,01-31-14/0052,01-31-14/0050,Drew Hall,Inactive
Destrruction of Property,14-0101,01-31-14/1029,01-31-14/0845,Adams Building,Active
Lost Property,14-0102,01-31-14/1210,01-31-14/1210,9th St. Lot,Active
Armed Robbery,14-0103,01-31-14/1307,01-30-14/1155,500 Block Gresham,Active
Damaged Property,14-0104,01-31-14/1337,01-30-14/1400,6th & Bryant St.,Active
Found Property,14-0105,01-31-14/2148,01-31-14/2148,Main Gate,Inactive
Injured Person,14-0106,01-31-14/2328,01-31-14/2328,Quadrangle,Inactive
Sick Transport,14-0107,02-01-14/1311,02-01-14/1311,Quadrangle,Inactive
Loud Noise,14-0109,02-02-14/0135,02-02-14/0135,Plaza Towers,Inactive
Sick Person,14-0110,02-02-14/0303,02-02-14/0307,Quadrangle Hall,Inactive
Recovered Property,14-0111,02-02-14/0238,02-02-14/0253,4th  St. NW,Inactive
Miscellaneous,14-0112,02-02-14/0857,02-02-14/0857,Plaza Towers,Inactive
Simple Assault,14-0113,02-02-14/1801,02-02-14/1845,Meridian Hill,Active
Lost Property,14-0114,02-02-14/2215,02-02-14/2240,Carver Hall,Inactive
Fire Alarm Activation,14-0114,02-03-14/1122,02-03-14/1117,Douglass hall,Inactive
Lost Property,14-0115,02-03-14/1424,02-03-14/1340,Fine Arts,Inactive
Sick Person,14-0116,02-03-14/1929,02-03-14/1929,Burr Gym,Inactive
Student Misconduct,14-0117,02-03-14/1951,02-03-14/1950,Meridian Hill,Active
Fire Alarm Activation,14-0118,02-04-14/0043,02-04-14/0043,Meridian Hill,Inactive
Simple Assault,14-0119,02-04-14/1124,02-04-14/1124,500 Block Bryant St.,Active
Theft II,14-0120,02-04-14/1411,02-04-14/1400,Fine Arts,Active
Fire Alarm Activation,14-0121,02-04-14/2342,02-04-14/2342,Meridian Hill,Inactive
Lost Property,14-0122,02-05-14/0903,01-30-14/2000,I-Lab,Inactive
Lost Property,14-0123,02-05-14/1551,02-05-14/1145,Blackburn Center,Inactive
Sick Person,14-0124,02-05-14/1644,02-05-14/1644,School of Business,Inactive
Theft II,14-0125,02-05-14/1946,02-05-14/1930,School of Business,Active
Theft II,14-0126,02-05-14/2128,02-05-14/2128,Carver Hall,Active
Hazardous Water Leak,14-0127,02-06-14/0216,02-06-14/0216,Social Work,Inactive
Sick Person,14-0128,02-06-14/1956,02-06-14/1925,Blackburn Center,Inactive
Lost Property,14-0129,02-06-14/2221,02-06-12/2200,Rankin Chapel,Inactive
Found Property,14-0131,02-07-14/0844,02-07-14/0844,Howard U Service Center,Inactive
Suspicious Odor,14-0132,02-08-14/0434,02-08-14/0420,Truth Hall,Inactive
Fire Alarm Activation,14-0133,02-08-14/1821,02-08-14/1800,Slowe Hall,Inactive
Suspicious Odor,14-0134,02-08-14/2216,02-08-14/2216,Bethune Annex,Inactive
Sick Person,14-0135,02-09-14/1558,02-09-14/1550,Quadrangle,Inactive
Sick Transport,14-0136,02-10-14/0416,02-10-14/0416,Drew Hall,Inactive
Fire Alarm Activation,14-0137,02-10-14/1008,02-10-14/1008,Meridian Hill,Inactive
Lost Property,14-0138,02-10-14/1131,02-09-14/1930,Burr Gym,Inactive
Lost Property,14-0139,02-10-14/1457,02-10-14/1434,West Campus,Inactive
Miscellaneous,14-0140,02-10-14/2133,02-10-14/2133,Howard Plaza West,Inactive
Damaged Property,14-0141,02-11-14/0919,20-10-14/0745,Founders Library,Active
Lost Property,14-0142,02-11-14/1042,02-11-14/1042,Carver Hall,Inactive
Theft II,14-0143,02-11-14/0143,02-10-14/0930,Blackburn Center,Active
Sick Transport,14-0144,02-12-14/0008,02-12-14/0008,Bethune Annex,Inactive
Sick Transport,14-0145,02-12-14/1045,02-12-14/1000,Student Health Center,Inactive
Fire Alarm Activation,14-0146,02-12-14/1205,02-12-14/1205,Meridian Hill,Inactive
Theft I,14-0147,02-12-14/1829,02-12-14/1810,C B Powell,Active
Damaged Property,14-0148,02-12-14/1950,02-12-14/1930,Georgia &Howard Pl,Inactive
Lost Property,14-0149,02-12-14/2134,02-12-14/2134,Law Library,Inactive
Sick Transport,14-0150,02-13-14/0232,02-13-14/0040,Quadrangle,Inactive
Fire Alarm Activation,14-0151,02-13-14/0318,02-13-14/0315,Meridian Hill,Inactive
Fire Alarm Activation,14-0152,02-13-14/2116,02-13-14/2116,Meridian Hill,Inactive
Found Property,14-0153,02-14-14/1607,02-14-14/1550,Business District,Inactive
Student Misconduct,14-0154,02-14-14/1855,02-14-14/1855,Engineering Building,Inactive
Hazardous Water Leak,14-0155,02-14-14/1953,02-14-14/1950,Annex 1,Inactive
Fire Alarm Activation,14-0156,02-14-14/2108,02-14-14/2112,Meridian Hill,Inactive
Sick Person,14-0157,02-14-14/2223,02-14-14/2235,Plaza Towers,Inactive
Fire Alarm Activation,14-0158,02-15-14/0009,02-15-14/0045,Meridian Hill,Inactive
Sick Transport,14-0159,02-15-14/0431,02-15-14/0436,Drew Hall,Inactive
Unlawful Entry,14-0160,02-15-14/0822,02-15-14/0745,Fine Arts Building,Active
Fire Alarm Activation,14-0161,02-15-14/1254,02-15-14/1254,Meridian Hill,Inactive
Fire Alarm Activation,14-0162,02-16-14/1302,02-16-14/1340,Meridian Hill,Inactive
Miscellaneous,14-0163,02-16-14/1757,02-16-14/1757,Blackburn Center (rear),Inactive
Fire Alarm Activation,14-0164,02-16-14/2112,02-16-14/2110,Meridian Hill,Inactive
Hazardous Water Leak,14-0165,02-16-14/2247,02-16-14/2300,Dental School,Inactive
Hazardous Water Leak,14-0166,02-17-14/0131,02-17-14/0020,Meridian Hill,Inactive
Fire Alarm Activation,14-0167,02-17-14/0220,02-17-14/0225,Plaza Towers,Inactive
Fire Alarm Activation,14-0168,02-17-14/0336,02-17-14/0336,Plaza Towers,Inactive
Theft II,14-0169,02-17-14/0741,02-17-14/0715,C.B. Powell Building,Active
Student Misconduct,14-0170,02-17-14/1231,02-17-14/1430,Quadrangle Hall,Inactive
Miscellaneous,14-0171,02-17-14/1858,02-17-14/1848,Plaza Towers,Inactive
Sick Transport,14-0172,02-18-14/1128,02-18-14/1129,C.B. Powell Building,Inactive
Lost Property,14-0173,02-18-14/1219,02-18-14/1125,Business District,Inactive
Fire Alarm Activation,14-0174,02-18-14/1847,02-18-14/1840,Meridian Hill,Inactive
Miscellaneous,14-0175,02-19-14/1833,02-19-14/1833,Quadrangle Hall,Inactive
Damaged Property,14-0176,02-19-14/1428,02-19-14/1431,Architecture & Planning,Inactive
Sick Transport,14-0177,02-19-14/1736,02-19-14/1730,Student Health Center,Inactive
Hit & Run,14-0178,02-19-14/0250,02-19-14/0258,Drew HaLL,Active
Vehicle Accident,14-0179,02-19-14/0937,02-19-14/0935,Upper Campus,Active
Miscellaneous,14-0180,02-19-14/2039,02-19-14/2039,Founders Library,Inactive
Sick Person,14-0181,02-20-14/0431,02-20-14/0430,Plaza Towers,Inactive
No Report,14-0182,02-20-14/,02-20-14/,,
Fire Alarm Activation,14-0183,02-20-14/0900,02-20-14/0900,Slowe Hall,Inactive
Miscellaneous,14-0184,02-20-14/0910,02-20-14/0915,Cramton Auditorium,Inactive
Sick Person,14-0185,02-20-14/1349,02-20-14/1349,Bethune Annex,Inactive
Theft from Auto,14-0186,02-20-14/1422,02-20-14/1422,Gresham St. NW,Active
Unlawful Entry,14-0187,02-20-14/1538,02-20-14/1538,HURB-1,Active
Harassment,14-0188,02-20-14/1620,02-20-14/1530,Service Center,Active
Lost Property,14-0189,02-20-14/2014,02-20-14/1530,Fine Arts Building,Inactive
Credit Card Fraud,14-0190,02-20-14/2117,02-20-14/2120,Slowe Hall,Active
Student Misconduct,14-0191,02-21-14/0147,02-21-14/0150,Meridian Hill,Active
Miscellaneous,14-0192,02-21-14/0351,02-21-14/0351,Architecture & Planning,Active
Found Property,14-0193,02-21-14/1048,02-21-14/1100,Plaza Towers,Inactive
Lost Property,14-0194,02-21-14/1048,02-21-14/1100,Plaza Towers,Inactive
Damaged Property,14-0195,02-21-14/1523,02-21-14/1100,Drew Hall,Inactive
Sick Person,14-0196,02-21-14/2022,02-21-14/2025,Plaza Towers,Inactive
Theft from Auto,14-0197,02-21-14/2132,02-21-14/2000,"2407 Ga., Ave., NW",Active
Alarm Activation,14-0198,02-22-14/1302,02-22-14/1303,Slowe Hall,Inactive
Fire Alarm Activation,14-0199,02-22-14/1807,02-22-14/1807,Meridian Hill,Inactive
Simple Assault,14-0200,02-22-14/2348,02-22-14/2340,Quadrangle Hall,Active
Sick Person,14-0201,02-23-14/0515,02-23-14/0517,Drew Hall,Inactive
Damaged Property,14-0202,02-23-14/1242,02-23-14/1242,Service Center,Inactive
Fire Alarm Activation,14-0203,02-23-14/1420,02-23-14/1301,Meridian Hill,Inactive
Sick Person,14-0204,02-23-14/1512,02-23-14/1512,Bethune Annex,Inactive
Alarm Activation,14-0205,02-23-14/1911,02-23-14/1810,Meridian Hill,Inactive
Theft I,013-14,02-23-14/2037,02-23-14/2037,HU Hospital,Inactive
No Report,14-0206,02-24-14/,02-24-14/,,
Unlawful Entry,14-0207,02-24-14/1153,02-24-14/1145,Blackburn Center,Active
Theft I,14-0208,02-24-14/1435,02-24-14/1435,Physic Building,Active
Student Misconduct,14-0209,02-24-14/1616,02-24-14/1415,Blackburn Center,Active
Credit Card Fraud,14-0210,02-24-14/1719,02-24-14/1724,Plaza Towers,Active
Sick Person,14-0211,02-25-14/0806,02-25-14/0810,Meridian Hill,Inactive
Theft from Auto,14-0212,02-25-14/1521,02-25-14/1600,"2407 Ga., Ave., NW",Active
Student Misconduct,14-0213,02-25-14/2108,02-25-14/2110,Drew Hall,Active
Sick Person,14-0214,02-26-14/0440,02-26-14/0438,Meridian Hill,Inactive
Theft from Auto,14-0215,02-26-14/1419,02-26-14/1425,900 blk of Barry Pl. NW,Active
Theft I,14-0216,02-26-14/1431,02-26-14/1145,Blackburn Center,Active
Miscellaneous,14-0217,02-26-14/1603,02-26-14/1610,Administration Building,Inactive
Hazardous Elevator,14-0218,02-26-14/1938,02-26-14/1939,Quadrangle Hall,Inactive
Sick Person,14-0219,02-27-14/0639,02-27-14/0640,Burr Gymnasium,Inactive
Sick Person,14-0220,02-28-14/0227,02-28-14/0231,Quadrangle Hall,Inactive
Theft I,14-0221,02-28-14/1202,02-28-14/1202,Mudd Building,Active
Damaged Property,14-0222,02-28-14/1447,02-28-14/1420,Quadrangle Hall,Inactive
Theft II,14-0223,02-28-14/1953,02-28-14/1953,Cook Hall,Active
Sick Person,14-0224,03-01-14/0138,03-01-14/0138,Bethune Annex,Inactive
Sick Person,14-0225,03-01-14/0228,03-01-14/0228,Plaza Towers,Inactive
Loud Noise,14-0226,03-01-14/0158,03-01-14/0158,57 Franklin St. NW,Inactive
Fire Alarm Activation,14-0227,03-01-14/1305,03-01-14/1215,Bookstore,Inactive
Miscellaneous,14-0228,03-01-14/1354,03-01-14/1340,Blackburn Center,Inactive
Suspicious Odor,14-0229,03-01-14/1837,03-01-14/1835,Plaza Towers,Active
Sick Transport,14-0230,03-02-14/0113,03-02-14/0113,Bethune Annex,Inactive
Sick Transport,14-0231,03-02-14/1133,03-02-14/1137,Quadrangle Hall,Inactive
Lost Property,14-0232,03-02-14/1338,03-02-14/1330,Blackburn Center,Inactive
Sick Person,14-0233,03-02-14/2227,03-02-14/2204,Quadrangle Hall,Inactive
Fire Alarm Activation,14-0234,03-03-14/1753,03-03-14/1800,Quadrangle Hall,Inactive
Sick Person,14-0235,03-04-14/1524,03-04-14/1547,Quadrangle Hall,Inactive
Lost Property,14-0236,03-04-14/1643,03-01-14/2340,Carver Hall,Inactive
Theft I,14-0237,03-04-14/1928,03-04-14/1815,Carver Hall,Active
Fire Alarm Activation,14-0238,03-04-14/2100,03-04-14/2100,Meridian Hill,Inactive
Lost Property,14-0239,03-05-14/0948,03-05-14/0949,Service Center,Inactive
Fire Alarm Activation,14-0240,03-05-14/1053,03-05-14/1049,Meridian Hill,Inactive
Found Property,14-0241,03-05-14/1126,03-05-14/1127,SOCC,Inactive
Lost Property,14-0242,03-05-14/1359,03-05-14/1400,Issas Building,Inactive
Theft II,14-0243,03-05-14/1556,03-05-14/1614,Founder Library,Active
Miscellaneous,14-0244,03-06-14/1025,03-06-14/1025,Bethune Annex,Inactive
Lost  Property,14-0245,03-06-14/1459,03-06-14/1503,Service Center,Inactive
Student Misconduct,14-0246,03-06-14/1716,03-06-14/1722,Drew Hall,Inactive
Fire Alarm Activation,14-0247,03-06-14/1930,03-06-14/1930,Administration Building,Inactive
Fire Alarm Activation,14-0248,03-06-14/2223,03-06-14/2220,Meridian Hill,Inactive
Found Property,14-0249,03-07-14/0150,03-07-14/0150,Mudd Building,Inactive
Simple Assault,14-0250,03-07-14/1251,03-07-14/1251,McDonald's Lot,Inactive
Found Property,14-0251,03-07-14/1852,03-07-14/1830,Mudd Building,Inactive
Burlary II,14-0252,03-07-14/2243,03-07-14/2243,Slowe Hall,Active
Unlawful Entry,14-0253,03-08-14/0634,03-08-14/0450,Howard Plaza West,Active
Fire Alarm Activation,14-0254,03-08-14/0912,03-08-14/0912,Cook Hall,Inactive
Lost Property,14-0255,03-08-14/1044,03-08-14/1030,Cramton Auditorium,Inactive
Theft II,14-0256,03-08-14/1106,03-08-14/1100,Cramton Auditorium,Active
Hazardous Water Leak,14-0257,03-08-14/1208,03-08-14/1208,Physic Building,Inactive
Simple Assault,14-0258,03-08-14/1437,03-07-14/2230,"Hyattsville, MD",Active
Student Misconduct,14-0259,03-08-14/1803,03-08-14/1803,C B Powell,Active
Found Property,14-0260,03-09-14/1243,03-09-14/,Douglass hall,Inactive
Theft II,14-0261,03-09-14/2215,03-09-14/2140,Carver Hall,Active
Fire Alarm Activation,14-0262,03-10-14/0033,03-10-14/0033,Meridian Hill,Inactive
Damaged Property,14-0263,03-10-14/1853,03-10-14/1850,Administration Building,Inactive
Miscellaneous,14-0264,03-10-14/1859,03-10-14/1859,Blackburn Center,Inactive
Found Property,14-0265,03-11-14/1532,03-11-14/1310,Administration Building,Inactive
Hazardous Water Leak,14-0266,03-11-14/1652,03-11-14/1646,Academic Support A,Inactive
Sick Person,14-0267,03-11-14/1657,03-11-14/1657,Quadrangle,Inactive
Theft I,14-0268,03-11-14/1829,03-11-14/1825,School of Business,Active
No Reports,,03-12-13/,,,
Theft From Auto,14-0269,03-13-14/1252,03-13-14/1245,Adams Building,Active
Theft II,14-0270,03-13-14/1653,03-13-14/1600,Meridian Hill,Active
Student Misconduct,14-0271,03-13-14/2328,03-13-14/2250,Meridian Hill,Active
Threats,14-0272,03-14-14/1357,03-14-14/1400,Mental Health Clinic,Active
Burglary II,14-0273,03-15-15/0153,03-15-15/0153,"420 Florida Ave., NW",Inactive
Miscellaneous,14-0274,03-15-15/1905,03-15-15/1905,HU Hospital,Inactive
Suspicious Odor,14-0275,03-16-14/1308,03-16-14/1304,Blackburn Center,Inactive
Sick Transport,14-0276,03-17-14/0931,03-17-14/0935,Quadrangle Hall,Inactive
Fire Alarm Activation,14-0277,03-18-14/1017,03-18-14/1030,Carnegie Hall,Inactive
Injured Person,14-0278,03-18-14/1257,03-18-14/1309,Administration Building,Inactive
Fire,14-0279,03-19-14/0025,03-19-14/0050,Meridian Hill,Active
Injured Person,14-0280,03-19-14/0355,03-19-14/0200,Meridian Hill,Inactive
Hit and Run,14-0281,03-19-14/0914,03-19-14/0930,"2565 Ga., Ave., NW",Active
Theft II,14-0282,03-19-14/1509,03-19-14/1507,Meridian Hill,Active
Miscellaneous,14-0283,03-19-14/1609,03-19-14/1609,Adams Building,Inactive
Sick Person,14-0284,03-19-14/1737,03-19-14/1725,C.B. Powell Building,Inactive
Vehicle Accident,14-0285,03-19-14/1805,03-19-14/1605,15th & Fuller Street NW,Active
Injured Person,14-0286,03-19-14/2112,03-19-14/2113,Locke Hall,Inactive
Lost Property,14-0287,03-20-14/0801,03-19-14/2200,Upper Campus,Inactive
Damaged Property,14-0288,03-20-14/1646,03-20-14/1600,Law School,Inactive
Student Misconduct,14-0289,03-20-14/1930,03-20-14/1800,Meridian Hill,Inactive
Injured Person,14-0290,03-21-14/0029,03-21-14/0029,Slowe Hall,Inactive
Fire,14-0291,03-21-14/0609,03-21-14/0607,Meridian Hill,Active
Sick Person,14-0292,03-21-14/1151,03-21-14/1154,Plaza Towers,Inactive
Theft I,14-0293,03-21-14/1226,03-21-14/1202,Annex I,Active
Fire Alarm Activation,14-0294,03-21-14/1537,03-21-14/1540,Meridian Hill,Inactive
Theft II,14-0295,03-21-14/1649,03-21-14/1527,Mudd Building,Active
Damaged Property,14-0296,03-21-14/1849,03-21-14/1826,Service Center,Inactive
Sick Person,14-0297,03-21-14/1833,03-21-14/1830,Plaza Towers,Inactive
Student Misconduct,14-0298,03-21-14/2039,03-21-14/2039,Bethune Annex,Active
Student Misconduct,14-0299,03-21-14/2139,03-21-14/2125,Miner Builkding,Active
Sick Person,14-0300,03-22-14/0356,03-22-14/0356,Bethune Annex,Inactive
Sick Person,14-0301,03-22-14/0413,03-22-14/0345,Plaza Towers,Inactive
Sick Person,14-0302,03-22-14/1122,03-22-14/1130,Mudd Building,Inactive
Sick Transport,14-0303,03-22-14/1335,03-22-14/1335,Quadrangle Hall,Inactive
Miscellaneous,14-0304,03-22-14/1514,03-22-14/1514,Plaza Towers,Inactive
Sick Person,14-0305,03-22-14/2203,03-22-14/2203,Quadrangle Hall,Inactive
Student Misconduct,14-0306,03-23-14/0044,03-23-14/0128,Bethune Annex,Active
Sick Person,14-0307,03-23-14/0328,03-23-14/0328,Plaza Towers,Inactive
Student Misconduct,14-0308,03-23-14/1733,03-23-14/1733,2214 North Capitol NW,Inactive
Fire Alarm Activation,14-0309,03-23-14/2310,03-23-14/2300,Meridian Hill,Inactive
Lost Property,14-0310,03-24-14/2157,03-24-14/3304,Blackburn Center,Inactive
Found Property,14-0311,03-24-14/0038,03-24-14/0038,Annex III,Inactive
Found Property,14-0312,03-25-14/0939,03-25-14/0939,Mudd Building,Inactive
Damaged Property,14-0313,03-25-14/1034,03-25-14/1050,Meridian Hill,Inactive
Missing Person,14-0314,03-25-14/1219,03-25-14/1220,Quadrangle Hall,Inactive
Miscellaneous,14-0315,03-25-14/1626,03-25-14/1629,Quadrangle Hall,Inactive
Simple Assault,14-0316,03-25-14/1643,03-25-14/1640,700 block Fairmont St. NW,Active
Fire Alarm Activation,14-0317,03-25-14/2243,03-25-14/2246,Carver Hall,Inactive
Damaged Property,14-0318,03-26-14/1201,03-26-14/1201,6th Fairmont St. NW,Inactive
Miscellaneous,14-0319,03-26-14/1329,03-26-14/1329,Plaza Towers,Inactive
Miscellaneous,14-0320,03-26-14/1417,03-26-14/1417,Off Campus,Inactive
Theft II,14-0321,03-26-14/1956,03-26-14/2001,Fine Arts Building,Active
Damaged Property,14-0322,03-27-14/0629,03-27-14/0100,Service Center,Inactive
Sick Person,14-0323,03-27-14/0652,03-27-14/0657,Quadrangle Hall,Inactive
Robbery Force & Violence,14-0324,03-27-14/0823,03-26-14/1639,"2200 Ga. Ave., NW",Active
Lost Property,14-0325,03-27-14/1403,03-27-14/1400,Burr Gymnasium,Inactive
Fire Alarm Activation,14-0326,03-27-14/1234,03-27-14/1215,Meridian Hill,Inactive
Sick Person,14-0327,03-27-14/2059,03-27-14/2104,Plaza Towers,Inactive
Sick Person,14-0328,03-27-14/2249,03-27-14/2259,Quadrangle Hall,Inactive
Found Property,14-0329,03-27-14/2301,03-27-14/2130,600 Howard Pl. NW,Inactive
Fire Alarm Activation,14-0330,03-27-14/2359,03-27-14/2359,Meridian Hill,Inactive
Simple Assault,14-0331,03-28-14/1102,03-28-14/1340,6th St. NW/Shuttle Bus,Active
Credit Card Fraud,14-0332,03-28-14/1109,03-07-14/2000,Bookstore,Active
Fire Alarm Activation,14-0333,03-28-14/1228,03-28-14/1228,Cook Hall,Inactive
Fire Alarm Activation,14-0334,03-28-14/1851,03-28-14/1851,Cook Hall,Inactive
Vehicle Accident,14-0335,03-28-14/1930,03-28-14/1905,HUH / Garage,Active
Student Misconduct,14-0336,03-28-14/2242,03-28-14/2242,Plaza Towers,Active
Burglary II,14-0337,03-29-14/0414,03-29-14/0400,Carver Hall,Active
Found Property,14-0338,03-29-14/0808,03-29-14/0806,Carnegie Hall,Inactive
Recovered Property,14-0339,03-30-14/0128,03-30-14/0128,Administration Bldg.,Inactive
Lost Property,14-0340,03-31-14/0949,03-31-14/1030,Chemistry Building,Inactive
Theft I,14-0341,03-31-14/1327,03-31-14/1100,Burr Gymnasium,Active
Simple Assault,14-0342,03-31-14/1517,03-31-14/1517,Administration Building,Active
Injured Person,14-0343,03-31-14/1741,03-31-14/1745,Main Gate,Active
Miscellaneous,14-0344,03-31-14/1656,03-31-14/1701,Plaza Towers,Inactive
Student Misconduct,14-0345,03-31-14/2106,03-31-14/2106,Plaza Towers,Active
Miscellaneous,14-0346,03-31-14/2147,03-31-14/2150,Carnegie Building,Inactive
