report_date,incident,incident_narrative,incident_number,date_occured,time_occured,general_location,disposition
"february 4, 2016",defacing of property, an unknownparty placed posters with adhesivebacks on the john carroll statue inhealy circle and on a pillar on thefront of healy hall.,16-000146,"february 4, 2016",1154,healy circle,case closed: no leads
"february 3, 2016",drug violation, officers recovereddrug paraphernalia as a result of asearch of an apartment at the listedlocation.,16-000148,"february 3, 2016",2330,henle village,referred to studentconduct
"february 4, 2016",drug violation, officers recovereddrug paraphernalia as a result of asearch of an apartment at the listedlocation.,16-000149,"february 4, 2016",0007,henle village,referred to studentconduct
"february 4, 2016",alcohol violation, officers madecontact with underaged studentswho were in possession ofalcoholic beverages.,16-000151,"february 4, 2016",2105,henle village,referred to studentconduct
"february 5, 2016",theft, a staff member reported thetheft of a parking pass.,16-000157,"february 3, 2016",1930,lot g,case closed: no leads
"february 6, 2016",disorderly conduct, officersresponded to an affray between twostudents.,16-000161,"february 6, 2016",0053,kennedy hall,referred to studentconduct
"february 6, 2016",alcohol violation, officers madecontact with an underaged studentwho was in possession of alcoholicbeverages.,16-000167,"february 6, 2016",2340,3600 block of n st,referred to studentconduct
"february 8, 2016",theft, a student reported the theftof property.,16-000173,"february 8, 2016",1300,lauinger library,case closed: no leads
"february 9, 2016",theft, a student reported the theftof a coat.,16-000178,"february 9, 2016",1200,st mary's hall,case closed: no leads
"february 10, 2016",hit and run, a student reportedobserving a hit and run.,16-000188,"february 10, 2016",1745,southwest quadparking garage,case closed: no leads
"february 11, 2016",theft, a student reported the theftof a bike.,16-000190,"february 11, 2016",0845,car barn,case closed: no leads
"february 12, 2016",public urination, a student wasobserved urinating in public.,16-000195,"february 12, 2016",0041,alumni squarecourtyard,referred to studentconduct
"february 13, 2016",alcohol violation, an officer madecontact with an underaged studentwho was in possession of analcoholic beverage.,16-000199,"february 13, 2016",0010,library walk,referred to studentconduct
"february 13, 2016",alcohol violation, an officer madecontact with an underaged studentwho was in possession of analcoholic beverage.,16-000200,"february 13, 2016",00018,village a,referred to studentconduct
"february 13, 2016",alcohol violation, an officer madecontact with an underaged studentwho was in possession of analcoholic beverage.,16-000201,"february 13, 2016",0032,alumni square,referred to studentconduct
"february 13, 2016",alcohol violation, an officer madecontact with an underaged studentwho was in possession of analcoholic beverage.,16-000202,"february 13, 2016",0034,alumni squarecourtyard,referred to studentconduct
"february 14, 2016",theft, an unattended laptop wasreported stolen from a commonroom.,16-000211,"february 14, 2016",0915,lxr,case closed: no leads
"february 14, 2016",sexual assault, a student reportedbeing sexually assaulted.,16-000212,"february 14, 2016",1600,village c east,mpd responded and ishandling the investigation
"february 15, 2016",drug violation, drugs wererecovered from a room in the listedlocation.,16-000216,"february 15, 2016",0019,village c west,referred to studentconduct
"february 20, 2016",theft, officers made contact with anon-affiliate who was observedleaving the listed restaurantwithout paying for products.,16-000246,"february 20, 2016",0213,darnall hallepicureanrestaurant,case closd with barring
"february 23, 2016",drug violation, an officerrecovered drugs from a student.,16-000264,"february 23, 2016",0139,village a,referred to studentconduct
"february 25, 2016",theft, a student reported the theftof personal property.,16-000278,"february 22, 2016",0800,preclinical science,case closed: no leads
"february 27, 2016",possession of a prohibitedweapon, officers made contactwith suspicious individuals.,16-000290,"february 27, 2016",1818,village a,case closed with arrest
"february 29, 2016",theft, a student reported a stolenbicycle.,16-000300,"february 29, 2016",1515,car barn,case closed: no leads
"march 2, 2016",drug violation, an officer madecontact with students who werefound to be in possession of drugs.,16-000313,"march 2, 2016",0057,darnall hall,referred to studentconduct
"march 2, 2016",simple assault, two roommatesgave conflicting reports aboutbeing involved in an altercationwhere they were assaulted by theother roommate.,16-000317,"march 2, 2016",1256,henle village,referred to studentconduct
"march 4, 2016",arson, a student reported that anunknown person lit fire to a signposted on their door.,16-000324,"march 4, 2016",0236,new south,case closed: no leads
"march 4, 2016",theft, a staff member reported thetheft of a iphone 6.,16-000326,"march 4, 2016",1100,st mary's hallexterior,case closed: no leads
"march 4, 2016",theft, a staff member reported thetheft of a wallet.,16-000331,"march 4, 2016",1830,regents hall,case closed: no leads
"march 7, 2016",theft, a faculty member reportedthe theft of textbooks.,16-000336,"march 2, 2016",1600,hariri building,case closed: no leads
"march 7, 2016",theft, a staff member reported thetheft of unattended property.,16-000339,"march 7, 2016",1130,leavey center,case closed: no leads
"march 10, 2016",burglary, a staff member reportedthe theft of us currency from alocked office.,16-000344,"march 9, 2016",1830,icc,case closed: no leads
"march 10, 2016",fraud: an affiliate reported fraudfrom the starbucks caf in thelisted building.,NA,16-000345,"march 8, 2016",1330,leavey center,case closed: no leads
"march 14, 2016",theft, a staff member reported atheft from the listed location.,16-000356,"march 14, 2016",1500,icc,mpd responded and ishandling the investigation
"march 14, 2016",attempted suicide, a studentattempted suicide.,16-000357,"march 14, 2016",1930,village c west,transported to er
"march 16, 2016",defacement of property, studentsreported the defacement of adisplay board.,16-000370,"march 16, 2016",1837,icc,case closed: no leads
"march 18, 2016",theft, a student reported the theftof a wallet.,16-000383,"march 18, 2016",1430,regents hall,case closed: no leads
"march 19, 2016",alcohol violation, an underagedstudent was in possesion of analcoholic beverage.,16-000396,"march 19, 2016",2323,harbin,referred to studentconduct
"march 20, 2016",drug violation, officers recovereddrugs and drug paraphernalia.,16-000405,"march 20, 2016",2148,lxr,referred to studentconduct
"march 21, 2016",destruction of property, an affiliatereported that an unknownindividual slashed 2 tires on hervehicle.,16-000409,"march 21, 2016",1815,southwest quadgarage,case closed: no leads
"march 21, 2016",theft, a staff member reported  thata boot which had been placed on avehicle was missing and thevehicle moved.,16-000410,"march 21, 2016",1530,southwest quadgarage,case closed: no leads
"march 24, 2016",theft, a staff member reported thetheft a wallet from a desk drawer.,16-000426,"march 24, 2016",1400,new researchbuilding,case closed: no leads
"march 30, 2016",theft, a student reported the theftof a book bag.,16-000444,"march 30, 2016",1300,36th & prospect,case closed: no leads
"april 3, 2016",defacement of property, studentsreported the defacement of flyerswhich were on their door.,16-000469,"april 3, 2016",0230,harbin hall,case closed: no leads
"april 4, 2016",theft, a student reported the theftof clothing from a laundry roomdryer in the listed building.,16-000478,"april 2, 2016",0500,kennedy hall,case closed: no leads
"april 4, 2016",attempt suicide, a student underthe influence of narcotics andalcohol is reported to haveattempted suicide.,16-000483,"april 4, 2016",2346,3615 prospect st,transported to the er
"april 7, 2016",theft, a student reported the theftof a wallet from a cubicle.,16-000494,"april 7, 2016",1230,icc,mpd responded and ishandling the investigation
"april 7, 2016",stalking, a non-affiliate has beenengaging in stalking behavioragainst a university official.,16-000495,"november 22, 2015",1200,640 massachusettsave,arrest warrant has beenobtained
"april 9, 2016",alcohol violation, a student was inpossession of an open container ofalcohol.,16-000509,"april 9, 2016",0005,village a,referred to studentconduct
"april 9, 2016",drug violation/alcohol violation,"officers investigating a suspiciousodor recovered drugs, drugparaphernalia and alcoholicbeverages from an underagedstudent's room.",16-000512,"april 9, 2016",0036,darnall hall,referred to studentconduct
"april 9, 2016",theft, a non-affiliate was observedstealing books from the listedlocation.,16-000515,"april 9, 2016",1501,leavey centercampus bookstore,case closed with arrest
"april 9, 2016",drug violation, a student who wasobserved to be under the influenceof a substance was found to be inpossession of illegal narcotics.,16-000518,"march 19, 2016",2100,"calcagninicontemplativecenter winchester,va",referred to studentconduct/case closed witharrest
"april 11, 2016",theft, a student reported the theftof a bicycle.,16-000533,"april 11, 2016",2130,alumni square,case closed: no leads
"april 11, 2016",theft, a staff member reported thetheft of property from a vehicle.,16-000534,"april 11, 2016",0700,leavey centerparking garage,case closed: no leads
"april 13, 2016",theft, a student reported the theftof a bicycle.,16-000547,"april 13, 2016",1530,darnall hall,case closed: no leads
"april 14, 2016",burglary, a staff member reportedthat an unknown person enteredtheir work area and stole property.,16-000552,"april 14, 2016",1400,car barn,case closed: no leads
"april 17, 2016",drug violation, an officer madecontact with a student who was inpossession of drugs.,16-000574,"april 17, 2016",0036,library walk,referred to studentconduct
"april 17, 2016",simple assault, a verbal altercationbetween roommates escalated intoa simple assault.,16-000579,"april 17, 2016",0315,village c east,referred to studentconduct
"april 17, 2016",theft, a student reported the theftof property.,16-000587,"april 17, 2016",1800,new south,case closed: no leads
"april 20, 2016",drug violation, officers recovereddrugs and drug paraphernalia froma room in the listed location.,16-000603,"april 20, 2016",2339,harbin hall,referred to studentconduct
"april 21, 2016",theft, a student reported the theftof a backpack from a locker.,16-000606,"april 21, 2016",1630,pre-clinicalscience,mpd responded and ishandling the investigation
"april 22, 2016",theft, a student reported the theftof a backpack from a commonroom.,16-000612,"april 22, 2016",0945,new north,case closed: no leads
"april 22, 2016",theft, a student reported the theftof a laptop from an unattendedbackpack.,16-000613,"april 22, 2016",0945,healy hall,case closed: no leads
"april 22, 2016",theft, a staff member reported thetheft of numerous bottles of winefrom an office area.,16-000616,"april 11, 2016",1200,regents hall,case closed: no leads
"april 23, 2016",urinating in public, a student wasobserved urinating in publicoutside of the listed building.,16-000626,"april 23, 2016",2233,leavey center,referred to studentconduct
"april 24, 2016",simple assault, a verbal altercationbetween roommates escalated intoa simple assault.,16-000631,"april 24, 2016",0154,copley hall,referred to studentconduct
"april 24, 2016",simple assault, a student reportedbeing assaulted by another student.,16-000638,"april 24, 2016",1840,village a,referred to studentconduct
"april 25, 2016",theft, a staff member reported thetheft of an iphone from off auniversity shuttle bus.,16-000639,"april 25, 2016",1000,shuttle busturnaround,mpd responded and ishandling the investigation
"april 26, 2016",theft, a student reported the theftof a bicycle.,16-000644,"april 26, 2016",0930,lxr,case closed: no leads
"april 27, 2016",burglary, a student reported aburglary from his residence.,16-000656,"april 27, 2016",1310,lxr,mpd responded and ishandling the investigation
"april 29, 2016",alcohol violation, an underagedstudent was in possession of analcoholic beverage.,16-000679,"april 29, 2016",1239,village a,referred to studentconduct
"april 29, 2016",aggravated assault, a student wasstruck in the back of the head witha bottle that was thrown in herdirection.,16-000682,"april 29, 2016",1344,village a,case closed: no leads
"april 29, 2016",urinating in public, a student wasobserved urinating in public.,16-000684,"april 29, 2016",1428,village a,referred to studentconduct
"april 29, 2016",drug violation, drugs wererecovered from the listed location.,16-000692,"april 29, 2016",1638,harbin hall,referred to studentconduct
"april 29, 2016",domestic violence simple assault,a distraught student is reported tohave assaulted her boyfriend.,16-000696,"april 29, 2016",1934,henle village,transported toguer/referred to studentconduct
"april 30, 2016",theft, a student reported theft ofproperty.,16-000702,"april 30, 2016",1100,alumni square,case closed: no leads
"april 30, 2016",drug violation, drugs wererecovered from the listed location.,16-000706,"april 30, 2016",2042,village c east,referred to studentconduct
"may 1, 2016",simple assault, a student reportedbeing assaulted by his roommate.,16-000711,"may 1, 2016",0256,3623 prospect st,case closed with arrest
"may 1, 2016",defacement of property, grafittiwas found scribbled on the side ofthe listed building.,16-000713,"may 1, 2016",1403,healy hall,case closed: no leads
"may 1, 2016",burglary, a residence wasburglarized.,16-000716,"may 1, 2016",1530,nevils hall,case closed: no leads
"may 3, 2016",theft, a staff member reported thetheft of a university banner.,16-000724,"may 3, 2016",1200,cooper field,case closed: no leads
"may 3, 2016",theft, a student reported the theftof an unattended laptop from acommon room.,16-000725,"may 3, 2016",1330,kennedy hall,case closed: no leads
"may 4, 2016",theft, an affiliate reported that astudent stole products from thelisted location.,16-000728,"may 4, 2016",0213,darnall hallepicureanrestaurant,referred to studentconduct
"may 5, 2016",simple assault, a student wasassaulted by another student.,16-000730,"may 5, 2016",0212,3600 blk of n st,referred to studentconduct
"may 6, 2016",theft, a student reported the theftof an unattended laptop from aclassroom in the listed building.,16-000736,"may 6, 2016",1410,healy hall,case closed: no leads
"may 7, 2016",drug violation/alcohol violation,officers recovered drugs andalcoholic beverages fromunderaged students at the listedlocation.,16-000739,"may 7, 2016",0028,alumni sqaure,referred to studentconduct
"may 9, 2016",drug violation, drugs wererecovered from a student and non-affiliate at the listed location.,16-000747,"may 9, 2016",0125,lxr,referred to studentconduct
"may 9, 2016",theft, a student reported the theftof clothing from a laundry room.,16-000750,"may 9, 2016",1130,village c east,case closed: no leads
"may 11, 2016",alcohol violation, alcohol wasrecovered from an underagedstudent's residence.,16-000759,"may 11, 2016",0205,darnall hall,referred to studentconduct
"may 11, 2016",theft, a student reported the theftof a laptop.,16-000762,"may 11, 2016",1734,lauinger library,case closed: no leads
"may 10, 2016",sexual assault, a student reportedbeing sexually assaulted.,16-000763,"april 30, 2016",0150,alumni square,case pending investigation
"may 11, 2016",theft, a student reported the theftof a wallet from an unattended bag.,16-000764,"may 11, 2016",2045,yates field house,case pending investigation
"may 12, 2016",alcohol violation, underagedstudents were found in possessionof alcoholic beverages.,16-000766,"may 12, 2016",0226,new south,referred to studentconduct
"may 11, 2016",urinating in public, a studenturinated against the side of thelisted building.,16-000768,"may 11, 2016",0220,leavey center,referred to studentconduct
"may 13, 2016",disorderly conduct making falsereports," a student made a falsereport, admittedly calling foremergency assistance as a prank.",16-000775,"may 13, 2016",0310,lxr,referred to studentconduct
"may 13, 2016",theft, a construction workerreported the theft of equipmentfrom a vehicle.,16-000777,"may 1, 2016",0600,leavey center(construction siteunder leaveybridge),case pending investigation
"may 13, 2016",theft, a student reported the theftof a cellphone.,16-000779,"may 13, 2016",1150,lauinger library,subject was identified andcase has been referred tostudent conduct
"may 13, 2016",burglary, a student reported thetheft of a laptop from theirresidence.,16-000782,"may 11, 2016",1900,kennedy hall,case pending investigation
"may 14, 2016",theft, a non-affiliate reported thetheft of a handtruck from the backof a moving truck.,16-000790,"may 14, 2016",1530,henle village,case pending investigation
"may 14, 2016",theft, a student reported the theftof clothing from a laundry room.,16-000791,"may 14, 2016",1400,kennedy hall,case pending investigation
"may 15, 2016",alcohol violation, underagedstudents were found in possessionof alcoholic beverages.,16-000794,"may 15, 2016",0229,henle village,referred to studentconduct
"may 15, 2016",theft, a student reported the theftof a room key.,16-000796,"may 6, 2016",1900,leavey center,case pending investigation
"may 16, 2016",drug violation, drugs and drugparaphernalia were recovered froma residence.,16-000799,"may 16, 2016",0318,village a,referred to studentconduct
"may 16, 2016",defacement of property, grafittiwas discovered at the listedlocation.,16-000801,"may 16, 2016",2005,red square,case pending investigation
"may 17, 2016",alcohol violation, an officer madecontact with two students whowere drinking in public. one of thestudents was also underage.,16-000805,"may 17, 2016",2245,henle village,referred to studentconduct
"may 18, 2016",theft, a student reported the theftof a cellphone.,16-000808,"may 12, 2016",2100,poulton hall,case pending investigation
"may 18, 2016",theft, an affiliate reported the theftof property from a guts shuttlebus.,16-000809,"may 18, 2016",1844,mcdonoughgymnasium shuttlebus turnaround,case pending investigation
"may 20, 2016",theft, a faculty member reportedthe theft of an unattendedbriefcase.,16-000818,"may 20, 2016",1458,old north,case pending investigation
"may 20, 2016",theft, a sales associate reportedthat a ring was stolen from thelisted location.,16-000820,"may 20, 2016",1517,leavey center,case pending investigation
"may 20, 2016",theft, a cellphone was reportedstolen from the listed location.,16-000821,"may 20, 2016",1430,basic sciencebuilding,case pending investigation
"may 20, 2016",theft, a sales associate reportedthat a ring was stolen from thelisted location.,16-000823,"may 20, 2016",1610,leavey center,case pending investigation
"may 21, 2016",hit and run, a non-affiliatereported witnessiing a hit and run.,16-000828,"may 21, 2016",1630,southwest quadparking garage,case pending investigation
"may 24, 2016",theft, an affiliate reported the theftof food and food supplies.,16-000836,"may 16, 2016",1700,o' donovan hall,case pending investigation
"may 27, 2016",theft, a staff member reported thetheft of a university projector.,16-000847,"may 26, 2016",1000,hariri building,case pending investigation
"may 30, 2016",indecent exposure, a male wasexposing himself in public.,16-000849,"may 30, 2016",0815,1200 blk 36th st,case closed with arrest
"may 30, 2016",theft, a student reported the theftof a bicycle.,16-000851,"may 30, 2016",2300,walsh building,case pending investigation
"june 2, 2016",burglary, a student reported thattheir residence was burglarized.,16-000863,"june 2, 2016",2200,village c east,mpd responded and ishandling the investigation
"june 3, 2016",burglary, a student reported thattheir residence was burglarized.,16-000865,"june 3, 2016",0915,village c east,case pending investigation
"june 3, 2016",burglary, a staff member reportedthat their office was burglarized.,16-000867,"june 3, 2016",1300,car barn,mpd responded and ishandling the investigation
"june 6, 2016",theft, a student reported the theftof a television.,16-000876,"june 2, 2016",1500,alumni square,case pending investigation
"june 8, 2016",defacement of property, a staffmember reported the defacement ofproperty.,16-000882,"june 8, 2016",1417,darnall hall,case pending investigation
"june 9, 2016",theft, a student reported the theftof a tablet from a classroom.,16-000885,"june 9, 2016",1400,hariri building,case pending investigation
"june 13, 2016",burglary, a community memberreported the burglary of aresidence.,16-000905,"june 13, 2016",1315,1434 36th st,case pending investigation
"june 16, 2016",drug violation, officers madecontact with students and non-affiliates who were in possession ofdrugs.,16-000912,"june 16, 2016",0001,leavey esplanade,referred to studentconduct
"june 16, 2016",burglary, a staff member reported aburglary.,16-000913,"june 16, 2016",0730,whit gravenor hall,case pending investigation
"june 16, 2016",unlawful entry, officers madecontact with a non-affiliate inside ofan unoccupied universityresidence.,16-000914,"june 16, 2016",1223,1302 36th st,case closed with arrest
"june 16, 2016",burglary, a student reported thattheir residence was burglarized.,16-000915,"june 16, 2016",1700,village c east,case pending investigation
"june 16, 2016",theft, a staff member reported thetheft of a wallet from an office area.,16-000916,"june 16, 2016",1730,new researchbuilding,case pending investigation
"june 17, 2016",burglary, a student reported thattheir residence was burglarized.,16-000921,"june 16, 2016",2000,village c east,case pending investigation
"june 17, 2016",burglary, students reported thattheir room was burglarized.,16-000922,"june 17, 2016",1244,village c east,case pending investigation
"june 17, 2016",theft, a student reported the theftof a bag.,16-000924,"june 17, 2016",1945,cooper field,"bag was recovered, minusus currency"
"june 21, 2016",theft, a student reported the theftof us currency from an unsecuredlocker.,16-000936,"june 20, 2016",2215,yates field house,case pending investigation
"june 22, 2016",alcohol violation, officers madecontact with a student who wasunderaged and in possession ofalcoholic beverages.,16-000943,"june 22, 2016",2216,lxr,referred to studentconduct
"june 23, 2016",burglary, a student reported thatan unknown party stole a walletfrom his unsecured room.,16-000950,"june 23, 2016",1430,mccarthy hall,case pending investigation
"june 24, 2016",theft, a staff member reported thetheft of a bike rack from outside ofthe listed building.,16-000953,"june 13, 2016",0930,poulton hall,case pending investiagtion
"june 24, 2016",theft, a staff member reported thetheft of a chair from the listed area.,16-000954,"june 22, 2016",0845,leavey centersellinger lounge,case pending investigation
"june 26, 2016",burglary, a room in the listedbuilding is reported to have beenburglarized.,16-000963,"june 26, 2016",1050,mccarthy hall,case pending investigation
"june 26, 2026",alcohol violation, officers madecontact with a student who wasunderaged and in possession ofalcoholic beverages.,16-000966,"june 26, 2016",2134,lxr,referred to studentconduct
"june 27, 2016",burglary, a contractor reported thebreak-in and vandalism of aconstruction site by an unknownparty.,16-000969,"june 25, 2016",0630,thompsonintercollegiateathletics center,case pending investigation
"june 29, 2016",theft, a student reported the theftof a wallet from out of a bag at thelisted location.,16-000977,"june 28, 2016",2100,yates field house,case pending investigation
"july 2, 2016",burglary, students reportedburglaries from the listedresidence.,16-000996,"july 2, 2016",2145,village c east,case pending investigation
"july 4, 2016",theft, a student reported the theftof a backpack.,16-001007,"july 4, 2016",1258,leavey center,case pending investigation
"july 5, 2016",drug violation, an officer madecontact with students who were inpossession of drugs.,16-001018,"july 5, 2016",2340,village a,referred to studentconduct
"july 6, 2016",drug violation, officers recovereddrugs and drug paraphernalia fromthe listed location.,16-001019,"july 6, 2016",2111,village a,referred to studentconduct
"july 8, 2016",theft, a student reported the theftof us currency from a wallet.,16-001031,"july 8, 2016",1901,village c patio,case pending investigation
"july 8, 2016",defacing property, a report wastaken for graffiti which was foundspray painted on a wall at the listedlocation.,16-001034,"july 8, 2016",2355,3617 prospect st,case pending investigation
"july 11, 2016",hit and run, a staff memberreported a hit and run of a parkedvehicle.,16-001048,"july 11, 2016",2005,southwest quadparking garage,case pending investigation
"july 13, 2016",theft, a staff member reported thetheft of an unattended iphone.,16-001059,"july 13, 2016",1230,o'donovan hall,case pending investigation
"july 13, 2016",burglary, a student reported theburglary of a residence.,16-001062,"july 13, 2016",1000,village c west,case pending investigation
"july 14, 2016",burglary, a staff member reportedthe burglary of an office.,16-001065,"july 12, 2016",1300,new researchbuilding,mpd responded and ishandling the investigation
"july 15, 2016",theft, a staff member reported thetheft of university property.,16-001071,"july 14, 2016",1500,2121 wisconsinave,case pending investigation
"july 15, 2016",harassment, a staff memberreported being harassed.,16-001073,"july 15, 2016",1450,darnall hall,case pending investigation
"july 17, 2016",burglary, a staff member reportedthe burglary of an office.,16-001080,"july 15, 2016",1700,new researchbuilding,mpd responded and ishandling the investigation
"july 16, 2016",burglary, a staff member reportedburglaries from the listed building.,16-001082,"july 16, 2016",0715,white gravenorbuilding,case pending invetigation
"july 18, 2016",burglary, a student reported aburglary from the listed building.,16-001086,"july 18, 2016",1730,regents hall,mpd responded and ishandling the investigation
"july 18, 2016",burglary, a student reported theburglary of a residence.,16-001088,"july 18, 2016",1900,village c west,case pending investigation
"july 22, 2016",harassment, a staff memberreported receiving harassing phonecalls.,16-001103,"july 22, 2016",1011,darnall hall,case pending investigation
"july 29, 2016",theft, a faculty member reportedthe theft of a motorcycle helmet.,16-001131,"july 29, 2016",2100,st mary's hall,case pending investigation
"august 1, 2016",theft, a staff member reported thetheft of a parking decal from avehicle.,16-001137,"august 1, 2016",0700,southwest quadparking garage,case pending investigation
"august 2, 2016",theft, a staff member reported thetheft of a parking decal from avehicle.,16-001141,"july 22, 2016",2054,southwest quadparking garage,case pending investigation
"august 4, 2016",theft, a staff member reported thetheft of property from aworkstation.,16-001149,"august 4, 2016",0730,southwest quadparking garage,case pending investigation
"august 6, 2016",drug violation, officers recovereddrugs and drug paraphernalia froman apartment in the listed location.,16-001154,"august 6, 2016",0119,village a,case pending investigation
"august 8, 2016",theft, a student reported the theftof medication.,16-001160,"august 7, 2016",1555,henle village,case pending investigation
"august 9, 2016",theft, a student reported the theftof an unattended wallet.,16-001163,"august 4, 2016",1830,lauinger library,case pending investigation
"august 11, 2016",simple assault, a cab driverreported being assaulted byanother cab driver.,16-001167,"august 11, 2016",1510,leavey centercab stand,case pending investigation
"august 11, 2016",theft, a student reported the theftof a laptop from a study room.,16-001168,"august 11, 2016",1100,mccarthy hall,unfounded. property wasrecovered and returned tothe owner.
"august 16, 2016",unlawful entry, a non-affiliate whowas previously barred was foundsleeping in the listed location.,16-001183,"august 16, 2016",0415,new south    hfsc,case closed with arrest
"august 22, 2016",burglary, a staff member reported aburglary.,16-001195,"august 22, 2016",1440,building d,case pending investigation
"august 22, 2016",theft, a student reported the theftof a bicycle.,16-001196,"august 22, 2016",2015,o'donovan hall,case pending investigation
"august 23, 2016",drug violation, drugs and drugparaphernalia were recovered froma unit in the listed residence.,16-001200,"august 23, 2016",2114,alumni square,referred to studentconduct
"august 24, 2016",theft, a staff member reported thetheft of tools.,16-001202,"august 24, 2016",1156,harbin hall,case pending investigation
"august 24, 2016",theft, a student reported the theftof a bicycle.,16-001204,"august 24, 2016",1805,car barn,case pending investigation
"august 24, 2016",sexual assault fondling, a studentreported being fondled.,16-001206,"august 24, 2016",2158,library walk,case pending investigation
"august 25, 2016",burglary, a student reported aburglary.,16-001209,"august 25, 2016",1350,village c west,case pending investigation
"august 25, 2016",burglary, a staff member reported aburglary.,16-001210,"august 25, 2016",1600,car barn,case pending investigation
"august 27, 2016",drug violation, drugs wererecovered from a residence.,16-001221,"august 27, 2016",1044,lxr,referred to studentconduct
"august 27, 2016",burglary, a student reported aburglary.,16-001228,"august 27, 2016",2157,harbin hall,mpd responded and ishandling the investigation
"august 28, 2016",unlawful entry, officers madecontact with a non-affiliate whoattempted to flee and wasuncooperative after he was foundsleeping at the listed location.,16-001231,"august 28, 2016",0327,bus turn-around,case closed with barring
"august 28, 2016",alcohol violation, an underagestudent was consuming analcoholic beverage.,16-001235,"february 28, 2016",1710,lxr,referred to studentconduct
"august 29, 2016",alcohol violation, an underagestudent was in possession of anopen container of alcohol.,16-001240,"august 29, 2016",0030,37th & prospect st,referred to studentconduct
"august 29, 2016",urinating in public, a student wasobserved urinating in public.,16-001242,"august 29, 2016",0032,village a,referred to studentconduct
"august 29, 2016",drug violation, drugs and drugparaphernalia were recovered froman apartment in the listedresidence.,16-001245,"august 29, 2016",0036,henle village,referred to studentconduct
"august 29, 2016",simple assault, a student reportedbeing assaulted after he refused toleave a party he wasn't invited to.,16-001252,"august 27, 2016",0030,henle village,referred to studentconduct
