natures_of_crimes,case_numbers,date_reported,time_reported,date_occurred,time_occurred,general_location,disposition,year_reported,year_occured
Theft from Auto,13-0070,NA,1300,NA,1200,Sch. Of Business,Active,NA,NA
Theft from Auto,13-0071,NA,1330,NA,1300,Ralph Bunch Lot,Active,NA,NA
Auto Accident,13-0072,NA,2300,NA,2300,Howard Center Lot,Active,NA,NA
Poss. Marijuana,13-0073,NA,0141,NA,0242,Meridian Hill,Active,NA,NA
Student Misconduct,13-0074,NA,0300,NA,0130,Blackburn Center,Active,NA,NA
Miscellaneous,13-0075,NA,0600,NA,0220,"2718 Ga., Ave.,NW",Inactive,NA,NA
Found Property,13-0076,NA,0800,NA,0800,Pot Belly,Inactive,NA,NA
Fire Alarm Act.,13-0077,NA,0800,NA,0800,Meridian Hill,Inactive,NA,NA
Sick Person,13-0078,NA,1412,NA,0800,Quadrangle Hall,Inactive,NA,NA
Student Misconduct,13-0079,NA,2215,NA,2210,Bethune Annex,Active,NA,NA
Theft II,012-13,NA,2125,NA,2121,HU Hospital,Active,NA,NA
Student Misconduct,13-0080,NA,0511,NA,0400,Carver Hall,Inactive,NA,NA
Robbery Fear,13-0081,NA,2030,NA,2030,500 Blk Gresham Pl.,Active,NA,NA
Threat to do Bodily Harm,13-0082,NA,0325,NA,0130,Plaza Towers,Active,NA,NA
Alarm Activation,13-0083,NA,0039,NA,0029,Meridian Hill,Inactive,NA,NA
Lost Property,13-0084,NA,0800,NA,0800,Unknown,Inactive,NA,NA
Miscellaneous,13-0085,NA,0156,NA,0045,Carver Hall,Inactive,NA,NA
Sick Person,13-0086,NA,1235,NA,1146,Bethune Annex,Inactive,NA,NA
Sick Transport,13-0087,NA,1240,NA,1149,Quadrangle Hall,Inactive,NA,NA
Sick Person,13-0088,NA,1345,NA,1345,C.B. Powell Building,Inactive,NA,NA
Lost Property,13-0089,NA,1615,NA,1050,Meridian Hill,Inactive,NA,NA
Hazardous Water`,13-0090,NA,1930,NA,1845,Admin. Building,Inactive,NA,NA
Fire Alarm Activation,13-0091,NA,1400,NA,1400,Slowe Hall,Inactive,NA,NA
Theft II,13-0092,NA,1447,NA,1400,School of Business,Active,NA,NA
Hazardous Water,13-0093,NA,1829,NA,1815,Law School,Inactive,NA,NA
Destruction of Property,13-0094,NA,0127,NA,0036,Locke Hall,Active,NA,NA
Miscellaneous,13-0095,NA,1035,NA,1900,Carver Hall,Active,NA,NA
Sick Transport,13-0096,NA,1116,NA,1116,Student Health Center,Inactive,NA,NA
Lost Property,13-0097,NA,1350,NA,1350,Unknown,Inactive,NA,NA
Fire Alarm Activation,13-0098,NA,2010,NA,2010,Meridian Hill,Inactive,NA,NA
Stolen Auto,13-0099,NA,2330,NA,2145,300 Block Elm St.,Active,NA,NA
Unlawful Entry,13-0100,NA,0845,NA,0520,Slowe Hall,Active,NA,NA
Sick Transport,13-0101,NA,1415,NA,1420,Student Health Center,Inactive,NA,NA
Miscellaneous,13-0102,NA,1830,NA,1520,"308 Florida Ave.,NW",Inactive,NA,NA
Hazardous Water,13-0103,NA,1900,NA,1830,Howard Center,Inactive,NA,NA
Sick Transport,13-0104,NA,0330,NA,0325,434 Kenyon St. NW,Inactive,NA,NA
Theft II,13-0105,NA,0330,NA,0325,434 Kenyon St.NW,Active,NA,NA
Noise at Nite,13-0106,NA,1600,NA,1600,434 Kenyon St.NW,Inactive,NA,NA
Recov. Property,13-0107,NA,1255,NA,1300,unknown,Inactive,NA,NA
Fire Alarm Activation,13-0108,NA,1307,NA,1307,Plaza Towers,Inactive,NA,NA
Fire Alarm Activation,13-0109,NA,1500,NA,1410,Slowe Hall,Inactive,NA,NA
Miscellaneous,13-0110,NA,1500,NA,0820,West Campus,Inactive,NA,NA
Miscellaneous,13-0111,NA,1900,NA,1646,Corner of 6th St.NW,Inactive,NA,NA
Student Misconduct,13-0112,NA,1803,NA,1755,Drew Hall,Inactive,NA,NA
APO,13-0113,NA,1750,NA,1750,308 Florida Ave NW,Active,NA,NA
Miscellaneous,13-0114,NA,1918,NA,1918,Meridian Hill,Inactive,NA,NA
Miscellaneous,13-0115,NA,0126,NA,0039,Drew Hall,Inactive,NA,NA
Lost Property,13-0116,NA,1100,NA,0215,770 Gresham St.,Inactive,NA,NA
Damadged Property,13-0117,NA,1510,NA,1500,C.B. Powell Bldg.,Inactive,NA,NA
Lost Property,13-0118,NA,1700,NA,0800,Unknown,Inactive,NA,NA
Sick Person,13-0119,NA,1150,NA,1135,Blackburn Center,Inactive,NA,NA
Sick Transport,13-0120,NA,1435,NA,1420,Student Health,Inactive,NA,NA
Sick Transport,13-0121,NA,1800,NA,1730,Student Health,Inactive,NA,NA
Sick Person,13-0122,NA,1955,NA,1930,Plaza Towers,Inactive,NA,NA
Damaged Vehicle,016-13,NA,1700,NA,1700,HUH A1 Garage,Inactive,NA,NA
Auto Accident,13-0123,NA,0735,NA,0735,2400 blk 16th St.,Active,NA,NA
Burglary II,13-0124,NA,0957,NA,0940,C.B. Powell Bldg.,Active,NA,NA
Lost Property,13-0125,NA,0800,NA,0800,Kenyon St. NW,Inactive,NA,NA
Theft II,13-0126,NA,2145,NA,2045,Quadrangle Hall,Active,NA,NA
Lost Property,13-0127,NA,2152,NA,2030,Unknown,Inactive,NA,NA
Sick Person,13-0128,NA,2400,NA,2400,Quadrangle Hall,Inactive,NA,NA
Sick Transport,13-0129,NA,0905,NA,0905,Student Health Center,Inactive,NA,NA
Lost Property,13-0130,NA,0900,NA,0530,Checkers Resturant,Inactive,NA,NA
Sick Transport,13-0131,NA,0900,NA,0903,Student Health Center,Inactive,NA,NA
Lost Property,13-0132,NA,12:29,NA,1100,Locke Hall,Inactive,NA,NA
Fire Alarm Activation,13-0133,NA,1253,NA,1250,School of Pharmacy,Inactive,NA,NA
Harassment,13-0134,NA,1400,NA,1400,Service Center,Active,NA,NA
Theft from Auto,13-0135,NA,1500,NA,1445,Miner Parking Lot,Active,NA,NA
Lost Property,13-0136,NA,1700,NA,1110,Greene Stadium,Inactive,NA,NA
Student Misconduct,13-0137,NA,1810,NA,1630,George Mason Univ.,Inactive,NA,NA
Sick Transport,13-0138,NA,1900,NA,1800,Student Health Center,Inactive,NA,NA
Sick Person,13-0139,NA,2030,NA,1900,Plaza Towers,Inactive,NA,NA
Injured Person,13-0140,NA,2140,NA,2030,Dental School,Inactive,NA,NA
Sick Person,13-0141,NA,0515,NA,0502,Bethune Annex,Inactive,NA,NA
Injured Person,13-0142,NA,1150,NA,2145,Bryant St & 4th St,Inactive,NA,NA
Theft from Auto,13-0143,NA,1441,NA,1436,Miner Lot,Active,NA,NA
Theft from Auto,13-0144,NA,2000,NA,1845,400 blk College St.,Active,NA,NA
Injured Person,13-0145,2002-01-13,0015,NA,2320,Meridian Hill,Inactive,2002,NA
Miscellaneous,13-0146,2002-01-13,0245,NA,1230,14th Euclid St,Inactive,2002,NA
Miscellaneous,13-0147,2002-01-13,0400,2002-01-13,0209,Plaza Towers,Inactive,2002,2002
Sick Transport,13-0148,2002-01-13,0930,2002-01-13,0915,Student Health,Inactive,2002,2002
Sick Transport,13-0149,2002-01-13,0930,2002-01-13,0915,Student Health,Inactive,2002,2002
Sick Transport,13-0150,2002-01-13,1630,2002-01-13,1500,Student Health,Inactive,2002,2002
Disorder Conduct,13-0151,2002-01-13,2045,2002-01-13,1950,Fine Arts Bldg.,Active,2002,2002
Found Property,13-0152,2002-01-13,2330,2002-01-13,2330,Found Property,Inactive,2002,2002
Alcohol Violation,13-0153,2002-02-13,0130,2002-02-13,0055,Drew Hall,Active,2002,2002
Auto Accident,13-0154,2002-02-13,0045,2002-02-13,0045,"Georgia  Ave., & Upshur",Active,2002,2002
Simple Assault,13-0155,2002-02-13,1100,2002-02-13,0000,Masonic Temple,Inactive,2002,2002
Sick Person,13-0156,2002-02-13,1345,2002-02-13,1315,Blackburn Center,Inactive,2002,2002
Fire Alarm Activation,13-0157,2002-02-13,1610,2002-02-13,1605,Slowe Hall,Inactive,2002,2002
Noise at Nite,13-0158,2002-03-13,0114,2002-03-13,0114,57 Franklin St. NE,Inactive,2002,2002
Power Outage,13-0159,2002-03-13,1230,2002-03-13,1142,Law School,Inactive,2002,2002
Miscellaneous,13-0160,2002-03-13,1535,2002-03-13,1336,Plaza Towers,Inactive,2002,2002
Sick Person,13-0161,2002-03-13,1500,2002-03-13,1345,Plaza Towers,Inactive,2002,2002
Student Misconduct,13-0162,2002-03-13,1700,2002-03-13,1456,Cook Hall,Inactive,2002,2002
Student Misconduct,13-0163,2002-04-13,1240,2002-04-13,1150,Carver Hall,Inactive,2002,2002
Sick Transport,13-0164,2002-04-13,1245,2002-04-13,1224,Student Health,Inactive,2002,2002
Found Property,13-0165,2002-04-13,1747,2002-04-13,1740,HUSC,Inactive,2002,2002
Lost Property,13-0166,2002-04-13,2130,NA,,Unknown,Inactive,2002,NA
Sick Person,13-0167,2002-05-13,0735,2002-04-13,0645,Burr Gymnasium,Inactive,2002,2002
Destructon of Property,13-0168,2002-04-13,2212,2002-02-13,1900,Blackburn Center,Active,2002,2002
Sick Transport,13-0169,2002-05-13,1355,2002-05-13,1355,Slowe Hall,Inactive,2002,2002
Lost Property,13-0170,2002-05-13,1500,2002-05-13,1800,Quadrangle Hall,Inactive,2002,2002
Theft from Auto,13-0171,2002-05-13,1921,2002-05-13,1914,Greene Stadium,Active,2002,2002
Theft from Auto,13-0172,2002-05-13,1921,2002-05-13,1914,Greene Stadium,Active,2002,2002
Miscellaneous/Fire Act.,13-0173,2002-05-13,2330,2002-05-13,2330,Meridian Hill,Inactive,2002,2002
Armed Robbery,13-0174,2002-05-13,2357,2002-05-13,2354,Carver Hall,Active,2002,2002
Sick Transport,13-0175,2002-06-13,1100,2002-06-13,1040,Student Health,Inactive,2002,2002
Simple Assault,13-0176,2002-06-13,1110,2002-06-13,1100,Blackburn Center,Active,2002,2002
Student Misconduct,13-0177,2002-06-13,1530,2002-06-13,1530,Founders Library,Inactive,2002,2002
Theft from Auto,13-0178,2002-06-13,1725,2002-06-13,1725,Burr Gymnasiium,Active,2002,2002
Miscellaneous,13-0179,2002-06-13,1650,2002-06-13,1650,9th & V St. NW,Inactive,2002,2002
Miscellaneous,13-0180,2002-06-13,1800,2002-06-13,1545,Stokes Library,Inactive,2002,2002
Pos. w/Distribute,022-13,2002-06-13,1730,2002-06-13,1730,HU Hospital,Active,2002,2002
Simple Assault,12-0181,2002-07-13,1145,2002-07-13,1730,Plaza Towers,Active,2002,2002
Stuck Elevator,12-0182,2002-07-13,0300,2002-07-13,0104,Quadrangle Hall,Inactive,2002,2002
Lost Property,12-0183,2002-07-13,1200,2002-07-13,1835,Meridian Hill,Inactive,2002,2002
Lost Property,12-0184,2002-07-13,1215,2002-07-13,1100,Starbucks Shop,Inactive,2002,2002
Lost Property,12-0185,2002-07-13,1350,2002-07-13,1321,Starbucks Shop,Inactive,2002,2002
Stalking,12-0186,2002-07-13,1800,2002-07-13,1830,Social Work,Active,2002,2002
Damaged Property,12-0187,2002-07-13,1930,2002-07-13,1755,600 W St. NW,Inactive,2002,2002
Fire Alarm Activation,12-0188,2002-07-13,0800,2002-07-13,0800,Slowe Hall,Inactive,2002,2002
Disorderly Conduct,023-13,2002-07-13,1627,2002-07-13,1627,HU Hospital,Active,2002,2002
Student Misconduct,13-0189,2002-08-13,0800,2002-08-13,0800,Slowe Hall,Inactive,2002,2002
Miscellaneous,13-0190,2002-08-13,0800,2002-08-13,0800,Quadrangle Hall,Inactive,2002,2002
Damaged Property,13-0191,2002-08-13,0800,2002-08-13,0800,West Campus,Inactive,2002,2002
Theft from Auto,13-0192,2002-08-13,1823,2002-08-13,1810,654 Girard St. NW,Active,2002,2002
Sick Transport,13-0193,2002-09-13,0100,2002-09-13,0037,Slowe Hall,Inactive,2002,2002
Miscellaneous,13-0194,2002-09-13,0347,2002-09-13,0200,4th Howard Pl.,Inactive,2002,2002
Injured Person,13-0195,2002-09-13,0730,2002-09-13,0657,Service Center,Inactive,2002,2002
Sick Student,13-0196,2002-09-13,0930,2002-09-13,0915,Quadrangle Hall,Inactive,2002,2002
Lost Property,13-0197,2002-10-13,0140,2002-10-13,1830,I-Lab,Inactive,2002,2002
Disorderly Noise at Nite,13-0198,2002-10-13,0150,2002-10-13,0137,416 Elm St. NW,Inactive,2002,2002
Injured Person,13-0199,2002-10-13,1950,2002-10-13,1950,Plaza Towers,Inactive,2002,2002
Suspicious Odor,13-0200,2002-11-13,2344,2002-11-13,2250,Meridian Hill,Inactive,2002,2002
Student Misconduct,13-0201,2002-11-13,2300,2002-11-13,2230,Bethune Annex,Inactive,2002,2002
Theft II,13-0202,2002-11-13,2205,2002-11-13,2145,Quadrangle Hall,Active,2002,2002
Theft I,024-13,2002-11-13,0900,2002-11-13,0900,HU Hospital,Active,2002,2002
Found Property,13-0203,2002-12-13,0815,2002-12-13,0740,South Banneker,Inactive,2002,2002
Alarm Activation,13-0204,2002-12-13,0924,2002-12-13,0831,Carnegie Bldg.,Inactive,2002,2002
Suspicious Odor,13-0205,2002-12-13,0900,2002-12-13,0830,Dental School,Inactive,2002,2002
Lost Property,13-0206,2002-12-13,1149,2002-12-13,0935,Douglass Hall,Inactive,2002,2002
Miscellaneous,13-0207,2002-12-13,0800,2002-12-13,0800,McDonalds,Inactive,2002,2002
Sick Person,13-0208,2002-12-13,1415,2002-12-13,1405,600 W St. NW,Inactive,2002,2002
Sick Transport,13-0209,2002-12-13,1600,2002-12-13,1400,Student Health,Inactive,2002,2002
Disorderly Conduct,13-0210,2002-12-13,1838,2002-12-13,1641,Main Yard,Inactive,2002,2002
Student Misconduct,13-0211,2002-12-13,2200,2002-12-13,2100,Drew Hall,Inactive,2002,2002
Sick Transport,13-0212,NA,1029,NA,1020,Student Health,Inactive,NA,NA
Sick Transport,13-0213,NA,1149,NA,1120,Student Health,Inactive,NA,NA
Miscellaneous,13-0214,NA,1450,NA,1300,Locke Hall,Inactive,NA,NA
Theft I,13-0215,NA,1500,NA,1000,Cook Hall,Active,NA,NA
Theft II,13-0216,NA,1935,NA,1913,6th & Girard St NW,Active,NA,NA
Miscellaneous,13-0217,NA,2330,NA,2230,Bethune Annex,Inactive,NA,NA
Theft II,13-0218,NA,1001,NA,0900,Mudd Building,Active,NA,NA
Sick Person,13-0219,NA,1600,NA,1600,Mudd Building,Inactive,NA,NA
Fire Alarm,13-0220,NA,2030,NA,1915,Carver Hall,Inactive,NA,NA
Sick Person,13-0221,NA,2330,NA,2313,Stokes Library,Inactive,NA,NA
Suspicious Odor,13-0222,NA,1155,NA,1115,Blackburn Center,Inactive,NA,NA
Fire Alarm Activation,13-0223,NA,1145,NA,1145,Meridian Hill,Inactive,NA,NA
Damaged Property,13-0224,NA,1630,NA,1600,Howard Center,Inactive,NA,NA
Alarm Activation,13-0225,NA,2050,NA,2050,Meridian Hill,Inactive,NA,NA
Lost Property 13-0226,NA,NA,2211,NA,1500,Starbucks Café,Inactive,NA,NA
Miscellaneous 13-0227,NA,NA,0800,NA,0800,Plaza Towers,Inactive,NA,NA
Poss. Of Open Container 13-0228,NA,NA,0800,NA,0800,China Wonder,Inactive,NA,NA
Damaged Property 13-0229,NA,NA,0048,NA,2315,3000 blk Warder,Inactive,NA,NA
Sick Person 13-0230,NA,NA,0121,NA,0009,2300 blk Ga. Ave,Inactive,NA,NA
Theft II 13-0231,NA,NA,0333,NA,0100,440 Irving St. NW,Active,NA,NA
Theft II 13-0232,NA,NA,0348,NA,0130,Masonic Temple,Inactive,NA,NA
Fire Alarm Activation 13-0233,NA,NA,0907,NA,0905,Meridian Hill,Inactive,NA,NA
Stolen Property 13-0234,NA,NA,1255,NA,0130,440 Irving St. NW,Active,NA,NA
Injured Person 13-0235,NA,NA,1900,NA,1600,2200 blk 10th St.,Inactive,NA,NA
Miscellaneous 13-0236,NA,NA,0800,NA,0800,Slowe Hall,Inactive,NA,NA
Injured Person 13-0237,NA,NA,0252,NA,0213,Unknown,Inactive,NA,NA
Miscellaneous 13-0238,NA,NA,0500,NA,0530,Meridian Hill,Inactive,NA,NA
Miscellaneous 13-0239,NA,NA,1045,NA,0800,Engineering Bldg,Inactive,NA,NA
Sick Person 13-0240,NA,NA,0800,NA,0800,Burr Gymasium,Inactive,NA,NA
Theft from Auto 13-0241,NA,NA,0200,NA,0200,9th & Barry St.,Active,NA,NA
Alarm Activation 13-0242,NA,NA,1834,NA,2230,Meridian Hill,Inactive,NA,NA
Sick Transport 13-0243,NA,NA,1040,NA,1010,Meridian Hill,Inactive,NA,NA
Miscellaneous 13-0244,NA,NA,1300,NA,1540,2200 blk 6th St.,Inactive,NA,NA
Sick Transport 13-0245,NA,NA,1320,NA,1300,Student Health,Inactive,NA,NA
Hazardous Water 13-0246,NA,NA,2045,NA,2047,Dental School,Inactive,NA,NA
Miscellaneous 13-0247,NA,NA,0800,NA,0800,Drew Hall,Inactive,NA,NA
Damaged Property 13-0248,NA,NA,0800,NA,0800,Bethune Lot,Inactive,NA,NA
Sick Person 13-0249,NA,NA,1200,NA,1120,2600 blk 6th St,Inactive,NA,NA
Poss. Of Marjuana/Student Mi 13-0250,NA,NA,1335,NA,1308,Carver Hall,Active,NA,NA
Student Misconduct 13-0251,NA,NA,1325,NA,1245,Bethune Annex,Inactive,NA,NA
Suspicious Odor 13-0252,NA,NA,1415,NA,1330,C.B. Powell Bldg.,Inactive,NA,NA
False Fire Alarm Activation 13-0253,NA,NA,0800,NA,0800,Meridian Hill,Inactive,NA,NA
Student Misconduct 13-0254,NA,NA,1800,NA,1900,Bryant St. NW,Inactive,NA,NA
Damaged Property 13-0255,NA,NA,2145,NA,2115,2225 Ga. Ave. NW,Inactive,NA,NA
Sick Person 13-0256,NA,NA,0330,NA,0300,HU Hospital,Inactive,NA,NA
Sick Person 13-0257,NA,NA,0430,NA,0349,Slowe Hall,Inactive,NA,NA
Auto Accident 13-0258,NA,NA,1230,NA,1230,800 blk of Berry Pl.,Active,NA,NA
Miscellaneous 13-0259,NA,NA,1731,NA,1630,9th & V St. NW,Inactive,NA,NA
Sick Person,13-0260,NA,1900,NA,1820,Bethune Annex,Inactive,NA,NA
Sick Person,13-0261,NA,1015,NA,0800,Quadrangle Hall,Inactive,NA,NA
Sick Transport,13-0262,NA,1155,NA,1155,Student Health,Inactive,NA,NA
Sick Transport,13-0263,NA,1300,NA,1300,Student Health,Inactive,NA,NA
Lost Property,13-0264,NA,1305,NA,0600,between HUH/ Mudd Bldg,Inactive,NA,NA
Injured Person,13-0265,NA,0230,NA,0140,Cook Hall,Inactive,NA,NA
Student Misconduct,13-0266,NA,2157,NA,2059,Cook Hall,Active,NA,NA
Lost Property,13-0267,NA,1228,NA,1130,Florida Ave. NW,Inactive,NA,NA
Sick Person,13-0268,NA,0800,NA,0800,Quadrangle Hall,Inactive,NA,NA
Student Misconduct,13-0269,NA,0800,NA,0800,Quadrangle Hall,Inactive,NA,NA
Sick Transport,13-0270,NA,0932,NA,0920,Student Health Center,Inactive,NA,NA
Sick Transport,13-0271,NA,0105,NA,1240,Student Health Center,Inactive,NA,NA
Sick Transport,13-0272,NA,0105,NA,1240,Student Health Center,Inactive,NA,NA
Sick Person,13-0273,NA,1300,NA,1313,C.B. Powell Building,Inactive,NA,NA
Sick Transport,13-0274,NA,1400,NA,1400,Student Health Center,Inactive,NA,NA
Miscellaneous,13-0275,NA,1713,NA,1624,Quadrangle Hall,Inactive,NA,NA
Student Misconduct,13-0276,NA,1715,NA,1509,Bethune Annex,Inactive,NA,NA
Theft II,13-0277,NA,1920,NA,1420,Quadrangle Hall,Active,NA,NA
Sick Person,13-0278,NA,2053,NA,1955,Burr Gymnasium,Inactive,NA,NA
Lost Property,13-0279,NA,2320,NA,2248,Unknown,Inactive,NA,NA
Alarm Activation,13-0280,NA,0200,NA,2320,Meridian Hill,Inactive,NA,NA
Disorderly Conduct,13-0281,NA,0800,NA,0800,Childers Lot,Active,NA,NA
Lost Property,13-0282,NA,1705,NA,1530,McDonalds,Inactive,NA,NA
Destruction of Property,033-13,NA,0232,NA,0230,HUH/front door,Active,NA,NA
Sick Transport,13-0283,NA,1040,NA,0957,Student Health,Inactive,NA,NA
Lost Property,13-0284,NA,1245,NA,1800,HURB-1,Inactive,NA,NA
Suspicious Person,13-0285,NA,1215,NA,1110,Engineering Bldg.,Inactive,NA,NA
Suspicious Package,13-0286,NA,0800,NA,0800,Admin. Building,inactive,NA,NA
Sick Transport,13-0287,NA,0800,NA,0800,Student Health,inactive,NA,NA
Injured Student,13-0288,NA,0142,NA,2027,Physic building,inactive,NA,NA
Fire Alarm Activation,13-0289,NA,1215,NA,1203,Meridiain Hill,inactive,NA,NA
Suspicious Odor,13-0290,NA,1500,NA,1420,Howard Center,inactive,NA,NA
Theft from Auto,13-0291,NA,0800,NA,0800,Engineering Building,Active,NA,NA
Unlawful Entry,13-0292,NA,0800,NA,0800,Chemistry Building,inactive,NA,NA
Auto Accident,13-0293,NA,2215,NA,2215,Bryant Street Lot,Active,NA,NA
Auto Accident,13-0294,2003-01-13,0800,2003-01-13,0802,Georgia & Gresham,Active,2003,2003
Sick Person,13-0295,2003-01-13,1547,2003-01-13,1544,Locke Hall,Inactive,2003,2003
Sick Person,13-0296,2003-01-13,2150,2003-01-13,1940,Pharmacy Bldg.,Inactive,2003,2003
Student Misconduct,13-0297,2003-01-13,2107,2003-01-13,1954,Meridian Hill,Active,2003,2003
Injured Person,13-0298,2003-01-13,0800,2003-01-13,0800,Bethune Annex,Inactive,2003,2003
Unlawful Entry,13-0299,2003-02-13,1520,2003-02-13,1430,Stokes Library,Active,2003,2003
Student Misconduct,13-0300,2003-02-13,1946,2003-02-13,1816,Drew Hall,Active,2003,2003
Lost Property,13-0301,2003-02-13,2200,2003-02-13,2130,Burr Gymnasium,Inactive,2003,2003
Found Property,13-0302,2003-02-13,2316,2003-02-13,2300,Burr Gymnasium,Inactive,2003,2003
Student Misconduct,13-0303,2003-02-13,0800,2003-02-13,0800,Drew Hall,Active,2003,2003
Possession of Marijuana,13-0304,2003-03-13,0535,2003-03-13,2315,Plaza Towers,Active,2003,2003
Noise At Nite,13-0305,2003-03-13,0800,2003-03-13,0800,Adams St. NW,Inactive,2003,2003
Theft from Auto,13-0306,2003-03-13,1920,2003-03-13,1745,Childers Lot,Active,2003,2003
Theft from Auto,13-0307,2003-03-13,1735,2003-03-13,1735,6th St. Girard NW,Active,2003,2003
Student Misconduct,13-0308,2003-03-13,2143,2003-03-13,2105,Drew Hall,Active,2003,2003
Use of Force,13-0309,2003-03-13,0800,2003-03-13,0800,Georgia & Howard,Active,2003,2003
Simple Assault,13-0310,2003-03-13,2225,2003-03-13,2215,2800 blk of 16th St,Active,2003,2003
Sick Transport,13-0311,2003-04-13,0540,2003-04-13,0539,Quadrangle Hall,Inactive,2003,2003
Sick Transport,13-0312,2003-04-13,0710,2003-04-13,0625,6th & Howard Pl,Inactive,2003,2003
False Fire Alarm,13-0313,2003-04-13,1045,2003-04-13,1025,Meridian Hill,Inactive,2003,2003
Found Property,13-0314,2003-04-13,1230,2003-04-13,1235,Ronkin Chapel,Inactive,2003,2003
Injured Person,13-0315,2003-04-13,2018,2003-04-13,1706,Burr Gymnasium,Inactive,2003,2003
APO,033-193,2003-04-13,1545,2003-04-13,1545,HU Hospital,Active,2003,2003
Hazardous Odor,13-0316,2003-05-13,1105,2003-05-13,1045,Stokes Library,Inactive,2003,2003
Alarm Activation,13-0317,2003-05-13,1935,2003-05-13,1735,Dental School,Inactive,2003,2003
Theft I,13-0318,2003-05-13,2100,2003-05-13,2025,Burr Gymnasium,Active,2003,2003
Theft II,13-0319,2003-05-13,2230,2003-05-13,2000,Fine Arts Bldg.,Active,2003,2003
Sick Person,13-0320,2003-06-13,0330,2003-06-13,0309,Quadrangle Hall,Inactive,2003,2003
