report_date,incident,incident_narrative,incident_number,date_occured,time_occured,general_location,disposition,year_occured,year_reported
2016-02-04,defacing of property, an unknownparty placed posters with adhesivebacks on the john carroll statue inhealy circle and on a pillar on thefront of healy hall.,16-000146,2016-02-04,1154,healy circle,case closed: no leads,2016,2016
2016-02-03,drug violation, officers recovereddrug paraphernalia as a result of asearch of an apartment at the listedlocation.,16-000148,2016-02-03,2330,henle village,referred to studentconduct,2016,2016
2016-02-04,drug violation, officers recovereddrug paraphernalia as a result of asearch of an apartment at the listedlocation.,16-000149,2016-02-04,0007,henle village,referred to studentconduct,2016,2016
2016-02-04,alcohol violation, officers madecontact with underaged studentswho were in possession ofalcoholic beverages.,16-000151,2016-02-04,2105,henle village,referred to studentconduct,2016,2016
2016-02-05,theft, a staff member reported thetheft of a parking pass.,16-000157,2016-02-03,1930,lot g,case closed: no leads,2016,2016
2016-02-06,disorderly conduct, officersresponded to an affray between twostudents.,16-000161,2016-02-06,0053,kennedy hall,referred to studentconduct,2016,2016
2016-02-06,alcohol violation, officers madecontact with an underaged studentwho was in possession of alcoholicbeverages.,16-000167,2016-02-06,2340,3600 block of n st,referred to studentconduct,2016,2016
2016-02-08,theft, a student reported the theftof property.,16-000173,2016-02-08,1300,lauinger library,case closed: no leads,2016,2016
2016-02-09,theft, a student reported the theftof a coat.,16-000178,2016-02-09,1200,st mary's hall,case closed: no leads,2016,2016
2016-02-10,hit and run, a student reportedobserving a hit and run.,16-000188,2016-02-10,1745,southwest quadparking garage,case closed: no leads,2016,2016
2016-02-11,theft, a student reported the theftof a bike.,16-000190,2016-02-11,0845,car barn,case closed: no leads,2016,2016
2016-02-12,public urination, a student wasobserved urinating in public.,16-000195,2016-02-12,0041,alumni squarecourtyard,referred to studentconduct,2016,2016
2016-02-13,alcohol violation, an officer madecontact with an underaged studentwho was in possession of analcoholic beverage.,16-000199,2016-02-13,0010,library walk,referred to studentconduct,2016,2016
2016-02-13,alcohol violation, an officer madecontact with an underaged studentwho was in possession of analcoholic beverage.,16-000200,2016-02-13,00018,village a,referred to studentconduct,2016,2016
2016-02-13,alcohol violation, an officer madecontact with an underaged studentwho was in possession of analcoholic beverage.,16-000201,2016-02-13,0032,alumni square,referred to studentconduct,2016,2016
2016-02-13,alcohol violation, an officer madecontact with an underaged studentwho was in possession of analcoholic beverage.,16-000202,2016-02-13,0034,alumni squarecourtyard,referred to studentconduct,2016,2016
2016-02-14,theft, an unattended laptop wasreported stolen from a commonroom.,16-000211,2016-02-14,0915,lxr,case closed: no leads,2016,2016
2016-02-14,sexual assault, a student reportedbeing sexually assaulted.,16-000212,2016-02-14,1600,village c east,mpd responded and ishandling the investigation,2016,2016
2016-02-15,drug violation, drugs wererecovered from a room in the listedlocation.,16-000216,2016-02-15,0019,village c west,referred to studentconduct,2016,2016
2016-02-20,theft, officers made contact with anon-affiliate who was observedleaving the listed restaurantwithout paying for products.,16-000246,2016-02-20,0213,darnall hallepicureanrestaurant,case closd with barring,2016,2016
2016-02-23,drug violation, an officerrecovered drugs from a student.,16-000264,2016-02-23,0139,village a,referred to studentconduct,2016,2016
2016-02-25,theft, a student reported the theftof personal property.,16-000278,2016-02-22,0800,preclinical science,case closed: no leads,2016,2016
2016-02-27,possession of a prohibitedweapon, officers made contactwith suspicious individuals.,16-000290,2016-02-27,1818,village a,case closed with arrest,2016,2016
2016-02-29,theft, a student reported a stolenbicycle.,16-000300,2016-02-29,1515,car barn,case closed: no leads,2016,2016
2016-03-02,drug violation, an officer madecontact with students who werefound to be in possession of drugs.,16-000313,2016-03-02,0057,darnall hall,referred to studentconduct,2016,2016
2016-03-02,simple assault, two roommatesgave conflicting reports aboutbeing involved in an altercationwhere they were assaulted by theother roommate.,16-000317,2016-03-02,1256,henle village,referred to studentconduct,2016,2016
2016-03-04,arson, a student reported that anunknown person lit fire to a signposted on their door.,16-000324,2016-03-04,0236,new south,case closed: no leads,2016,2016
2016-03-04,theft, a staff member reported thetheft of a iphone 6.,16-000326,2016-03-04,1100,st mary's hallexterior,case closed: no leads,2016,2016
2016-03-04,theft, a staff member reported thetheft of a wallet.,16-000331,2016-03-04,1830,regents hall,case closed: no leads,2016,2016
2016-03-07,theft, a faculty member reportedthe theft of textbooks.,16-000336,2016-03-02,1600,hariri building,case closed: no leads,2016,2016
2016-03-07,theft, a staff member reported thetheft of unattended property.,16-000339,2016-03-07,1130,leavey center,case closed: no leads,2016,2016
2016-03-10,burglary, a staff member reportedthe theft of us currency from alocked office.,16-000344,2016-03-09,1830,icc,case closed: no leads,2016,2016
2016-03-10,fraud: an affiliate reported fraudfrom the starbucks caf in thelisted building.,NA,16-000345,2016-03-08,1330,leavey center,case closed: no leads,2016,2016
2016-03-14,theft, a staff member reported atheft from the listed location.,16-000356,2016-03-14,1500,icc,mpd responded and ishandling the investigation,2016,2016
2016-03-14,attempted suicide, a studentattempted suicide.,16-000357,2016-03-14,1930,village c west,transported to er,2016,2016
2016-03-16,defacement of property, studentsreported the defacement of adisplay board.,16-000370,2016-03-16,1837,icc,case closed: no leads,2016,2016
2016-03-18,theft, a student reported the theftof a wallet.,16-000383,2016-03-18,1430,regents hall,case closed: no leads,2016,2016
2016-03-19,alcohol violation, an underagedstudent was in possesion of analcoholic beverage.,16-000396,2016-03-19,2323,harbin,referred to studentconduct,2016,2016
2016-03-20,drug violation, officers recovereddrugs and drug paraphernalia.,16-000405,2016-03-20,2148,lxr,referred to studentconduct,2016,2016
2016-03-21,destruction of property, an affiliatereported that an unknownindividual slashed 2 tires on hervehicle.,16-000409,2016-03-21,1815,southwest quadgarage,case closed: no leads,2016,2016
2016-03-21,theft, a staff member reported  thata boot which had been placed on avehicle was missing and thevehicle moved.,16-000410,2016-03-21,1530,southwest quadgarage,case closed: no leads,2016,2016
2016-03-24,theft, a staff member reported thetheft a wallet from a desk drawer.,16-000426,2016-03-24,1400,new researchbuilding,case closed: no leads,2016,2016
2016-03-30,theft, a student reported the theftof a book bag.,16-000444,2016-03-30,1300,36th & prospect,case closed: no leads,2016,2016
2016-04-03,defacement of property, studentsreported the defacement of flyerswhich were on their door.,16-000469,2016-04-03,0230,harbin hall,case closed: no leads,2016,2016
2016-04-04,theft, a student reported the theftof clothing from a laundry roomdryer in the listed building.,16-000478,2016-04-02,0500,kennedy hall,case closed: no leads,2016,2016
2016-04-04,attempt suicide, a student underthe influence of narcotics andalcohol is reported to haveattempted suicide.,16-000483,2016-04-04,2346,3615 prospect st,transported to the er,2016,2016
2016-04-07,theft, a student reported the theftof a wallet from a cubicle.,16-000494,2016-04-07,1230,icc,mpd responded and ishandling the investigation,2016,2016
2016-04-07,stalking, a non-affiliate has beenengaging in stalking behavioragainst a university official.,16-000495,2015-11-22,1200,640 massachusettsave,arrest warrant has beenobtained,2015,2016
2016-04-09,alcohol violation, a student was inpossession of an open container ofalcohol.,16-000509,2016-04-09,0005,village a,referred to studentconduct,2016,2016
2016-04-09,drug violation/alcohol violation,"officers investigating a suspiciousodor recovered drugs, drugparaphernalia and alcoholicbeverages from an underagedstudent's room.",16-000512,2016-04-09,0036,darnall hall,referred to studentconduct,2016,2016
2016-04-09,theft, a non-affiliate was observedstealing books from the listedlocation.,16-000515,2016-04-09,1501,leavey centercampus bookstore,case closed with arrest,2016,2016
2016-04-09,drug violation, a student who wasobserved to be under the influenceof a substance was found to be inpossession of illegal narcotics.,16-000518,2016-03-19,2100,"calcagninicontemplativecenter winchester,va",referred to studentconduct/case closed witharrest,2016,2016
2016-04-11,theft, a student reported the theftof a bicycle.,16-000533,2016-04-11,2130,alumni square,case closed: no leads,2016,2016
2016-04-11,theft, a staff member reported thetheft of property from a vehicle.,16-000534,2016-04-11,0700,leavey centerparking garage,case closed: no leads,2016,2016
2016-04-13,theft, a student reported the theftof a bicycle.,16-000547,2016-04-13,1530,darnall hall,case closed: no leads,2016,2016
2016-04-14,burglary, a staff member reportedthat an unknown person enteredtheir work area and stole property.,16-000552,2016-04-14,1400,car barn,case closed: no leads,2016,2016
2016-04-17,drug violation, an officer madecontact with a student who was inpossession of drugs.,16-000574,2016-04-17,0036,library walk,referred to studentconduct,2016,2016
2016-04-17,simple assault, a verbal altercationbetween roommates escalated intoa simple assault.,16-000579,2016-04-17,0315,village c east,referred to studentconduct,2016,2016
2016-04-17,theft, a student reported the theftof property.,16-000587,2016-04-17,1800,new south,case closed: no leads,2016,2016
2016-04-20,drug violation, officers recovereddrugs and drug paraphernalia froma room in the listed location.,16-000603,2016-04-20,2339,harbin hall,referred to studentconduct,2016,2016
2016-04-21,theft, a student reported the theftof a backpack from a locker.,16-000606,2016-04-21,1630,pre-clinicalscience,mpd responded and ishandling the investigation,2016,2016
2016-04-22,theft, a student reported the theftof a backpack from a commonroom.,16-000612,2016-04-22,0945,new north,case closed: no leads,2016,2016
2016-04-22,theft, a student reported the theftof a laptop from an unattendedbackpack.,16-000613,2016-04-22,0945,healy hall,case closed: no leads,2016,2016
2016-04-22,theft, a staff member reported thetheft of numerous bottles of winefrom an office area.,16-000616,2016-04-11,1200,regents hall,case closed: no leads,2016,2016
2016-04-23,urinating in public, a student wasobserved urinating in publicoutside of the listed building.,16-000626,2016-04-23,2233,leavey center,referred to studentconduct,2016,2016
2016-04-24,simple assault, a verbal altercationbetween roommates escalated intoa simple assault.,16-000631,2016-04-24,0154,copley hall,referred to studentconduct,2016,2016
2016-04-24,simple assault, a student reportedbeing assaulted by another student.,16-000638,2016-04-24,1840,village a,referred to studentconduct,2016,2016
2016-04-25,theft, a staff member reported thetheft of an iphone from off auniversity shuttle bus.,16-000639,2016-04-25,1000,shuttle busturnaround,mpd responded and ishandling the investigation,2016,2016
2016-04-26,theft, a student reported the theftof a bicycle.,16-000644,2016-04-26,0930,lxr,case closed: no leads,2016,2016
2016-04-27,burglary, a student reported aburglary from his residence.,16-000656,2016-04-27,1310,lxr,mpd responded and ishandling the investigation,2016,2016
2016-04-29,alcohol violation, an underagedstudent was in possession of analcoholic beverage.,16-000679,2016-04-29,1239,village a,referred to studentconduct,2016,2016
2016-04-29,aggravated assault, a student wasstruck in the back of the head witha bottle that was thrown in herdirection.,16-000682,2016-04-29,1344,village a,case closed: no leads,2016,2016
2016-04-29,urinating in public, a student wasobserved urinating in public.,16-000684,2016-04-29,1428,village a,referred to studentconduct,2016,2016
2016-04-29,drug violation, drugs wererecovered from the listed location.,16-000692,2016-04-29,1638,harbin hall,referred to studentconduct,2016,2016
2016-04-29,domestic violence simple assault,a distraught student is reported tohave assaulted her boyfriend.,16-000696,2016-04-29,1934,henle village,transported toguer/referred to studentconduct,2016,2016
2016-04-30,theft, a student reported theft ofproperty.,16-000702,2016-04-30,1100,alumni square,case closed: no leads,2016,2016
2016-04-30,drug violation, drugs wererecovered from the listed location.,16-000706,2016-04-30,2042,village c east,referred to studentconduct,2016,2016
2016-05-01,simple assault, a student reportedbeing assaulted by his roommate.,16-000711,2016-05-01,0256,3623 prospect st,case closed with arrest,2016,2016
2016-05-01,defacement of property, grafittiwas found scribbled on the side ofthe listed building.,16-000713,2016-05-01,1403,healy hall,case closed: no leads,2016,2016
2016-05-01,burglary, a residence wasburglarized.,16-000716,2016-05-01,1530,nevils hall,case closed: no leads,2016,2016
2016-05-03,theft, a staff member reported thetheft of a university banner.,16-000724,2016-05-03,1200,cooper field,case closed: no leads,2016,2016
2016-05-03,theft, a student reported the theftof an unattended laptop from acommon room.,16-000725,2016-05-03,1330,kennedy hall,case closed: no leads,2016,2016
2016-05-04,theft, an affiliate reported that astudent stole products from thelisted location.,16-000728,2016-05-04,0213,darnall hallepicureanrestaurant,referred to studentconduct,2016,2016
2016-05-05,simple assault, a student wasassaulted by another student.,16-000730,2016-05-05,0212,3600 blk of n st,referred to studentconduct,2016,2016
2016-05-06,theft, a student reported the theftof an unattended laptop from aclassroom in the listed building.,16-000736,2016-05-06,1410,healy hall,case closed: no leads,2016,2016
2016-05-07,drug violation/alcohol violation,officers recovered drugs andalcoholic beverages fromunderaged students at the listedlocation.,16-000739,2016-05-07,0028,alumni sqaure,referred to studentconduct,2016,2016
2016-05-09,drug violation, drugs wererecovered from a student and non-affiliate at the listed location.,16-000747,2016-05-09,0125,lxr,referred to studentconduct,2016,2016
2016-05-09,theft, a student reported the theftof clothing from a laundry room.,16-000750,2016-05-09,1130,village c east,case closed: no leads,2016,2016
2016-05-11,alcohol violation, alcohol wasrecovered from an underagedstudent's residence.,16-000759,2016-05-11,0205,darnall hall,referred to studentconduct,2016,2016
2016-05-11,theft, a student reported the theftof a laptop.,16-000762,2016-05-11,1734,lauinger library,case closed: no leads,2016,2016
2016-05-10,sexual assault, a student reportedbeing sexually assaulted.,16-000763,2016-04-30,0150,alumni square,case pending investigation,2016,2016
2016-05-11,theft, a student reported the theftof a wallet from an unattended bag.,16-000764,2016-05-11,2045,yates field house,case pending investigation,2016,2016
2016-05-12,alcohol violation, underagedstudents were found in possessionof alcoholic beverages.,16-000766,2016-05-12,0226,new south,referred to studentconduct,2016,2016
2016-05-11,urinating in public, a studenturinated against the side of thelisted building.,16-000768,2016-05-11,0220,leavey center,referred to studentconduct,2016,2016
2016-05-13,disorderly conduct making falsereports," a student made a falsereport, admittedly calling foremergency assistance as a prank.",16-000775,2016-05-13,0310,lxr,referred to studentconduct,2016,2016
2016-05-13,theft, a construction workerreported the theft of equipmentfrom a vehicle.,16-000777,2016-05-01,0600,leavey center(construction siteunder leaveybridge),case pending investigation,2016,2016
2016-05-13,theft, a student reported the theftof a cellphone.,16-000779,2016-05-13,1150,lauinger library,subject was identified andcase has been referred tostudent conduct,2016,2016
2016-05-13,burglary, a student reported thetheft of a laptop from theirresidence.,16-000782,2016-05-11,1900,kennedy hall,case pending investigation,2016,2016
2016-05-14,theft, a non-affiliate reported thetheft of a handtruck from the backof a moving truck.,16-000790,2016-05-14,1530,henle village,case pending investigation,2016,2016
2016-05-14,theft, a student reported the theftof clothing from a laundry room.,16-000791,2016-05-14,1400,kennedy hall,case pending investigation,2016,2016
2016-05-15,alcohol violation, underagedstudents were found in possessionof alcoholic beverages.,16-000794,2016-05-15,0229,henle village,referred to studentconduct,2016,2016
2016-05-15,theft, a student reported the theftof a room key.,16-000796,2016-05-06,1900,leavey center,case pending investigation,2016,2016
2016-05-16,drug violation, drugs and drugparaphernalia were recovered froma residence.,16-000799,2016-05-16,0318,village a,referred to studentconduct,2016,2016
2016-05-16,defacement of property, grafittiwas discovered at the listedlocation.,16-000801,2016-05-16,2005,red square,case pending investigation,2016,2016
2016-05-17,alcohol violation, an officer madecontact with two students whowere drinking in public. one of thestudents was also underage.,16-000805,2016-05-17,2245,henle village,referred to studentconduct,2016,2016
2016-05-18,theft, a student reported the theftof a cellphone.,16-000808,2016-05-12,2100,poulton hall,case pending investigation,2016,2016
2016-05-18,theft, an affiliate reported the theftof property from a guts shuttlebus.,16-000809,2016-05-18,1844,mcdonoughgymnasium shuttlebus turnaround,case pending investigation,2016,2016
2016-05-20,theft, a faculty member reportedthe theft of an unattendedbriefcase.,16-000818,2016-05-20,1458,old north,case pending investigation,2016,2016
2016-05-20,theft, a sales associate reportedthat a ring was stolen from thelisted location.,16-000820,2016-05-20,1517,leavey center,case pending investigation,2016,2016
2016-05-20,theft, a cellphone was reportedstolen from the listed location.,16-000821,2016-05-20,1430,basic sciencebuilding,case pending investigation,2016,2016
2016-05-20,theft, a sales associate reportedthat a ring was stolen from thelisted location.,16-000823,2016-05-20,1610,leavey center,case pending investigation,2016,2016
2016-05-21,hit and run, a non-affiliatereported witnessiing a hit and run.,16-000828,2016-05-21,1630,southwest quadparking garage,case pending investigation,2016,2016
2016-05-24,theft, an affiliate reported the theftof food and food supplies.,16-000836,2016-05-16,1700,o' donovan hall,case pending investigation,2016,2016
2016-05-27,theft, a staff member reported thetheft of a university projector.,16-000847,2016-05-26,1000,hariri building,case pending investigation,2016,2016
2016-05-30,indecent exposure, a male wasexposing himself in public.,16-000849,2016-05-30,0815,1200 blk 36th st,case closed with arrest,2016,2016
2016-05-30,theft, a student reported the theftof a bicycle.,16-000851,2016-05-30,2300,walsh building,case pending investigation,2016,2016
2016-06-02,burglary, a student reported thattheir residence was burglarized.,16-000863,2016-06-02,2200,village c east,mpd responded and ishandling the investigation,2016,2016
2016-06-03,burglary, a student reported thattheir residence was burglarized.,16-000865,2016-06-03,0915,village c east,case pending investigation,2016,2016
2016-06-03,burglary, a staff member reportedthat their office was burglarized.,16-000867,2016-06-03,1300,car barn,mpd responded and ishandling the investigation,2016,2016
2016-06-06,theft, a student reported the theftof a television.,16-000876,2016-06-02,1500,alumni square,case pending investigation,2016,2016
2016-06-08,defacement of property, a staffmember reported the defacement ofproperty.,16-000882,2016-06-08,1417,darnall hall,case pending investigation,2016,2016
2016-06-09,theft, a student reported the theftof a tablet from a classroom.,16-000885,2016-06-09,1400,hariri building,case pending investigation,2016,2016
2016-06-13,burglary, a community memberreported the burglary of aresidence.,16-000905,2016-06-13,1315,1434 36th st,case pending investigation,2016,2016
2016-06-16,drug violation, officers madecontact with students and non-affiliates who were in possession ofdrugs.,16-000912,2016-06-16,0001,leavey esplanade,referred to studentconduct,2016,2016
2016-06-16,burglary, a staff member reported aburglary.,16-000913,2016-06-16,0730,whit gravenor hall,case pending investigation,2016,2016
2016-06-16,unlawful entry, officers madecontact with a non-affiliate inside ofan unoccupied universityresidence.,16-000914,2016-06-16,1223,1302 36th st,case closed with arrest,2016,2016
2016-06-16,burglary, a student reported thattheir residence was burglarized.,16-000915,2016-06-16,1700,village c east,case pending investigation,2016,2016
2016-06-16,theft, a staff member reported thetheft of a wallet from an office area.,16-000916,2016-06-16,1730,new researchbuilding,case pending investigation,2016,2016
2016-06-17,burglary, a student reported thattheir residence was burglarized.,16-000921,2016-06-16,2000,village c east,case pending investigation,2016,2016
2016-06-17,burglary, students reported thattheir room was burglarized.,16-000922,2016-06-17,1244,village c east,case pending investigation,2016,2016
2016-06-17,theft, a student reported the theftof a bag.,16-000924,2016-06-17,1945,cooper field,"bag was recovered, minusus currency",2016,2016
2016-06-21,theft, a student reported the theftof us currency from an unsecuredlocker.,16-000936,2016-06-20,2215,yates field house,case pending investigation,2016,2016
2016-06-22,alcohol violation, officers madecontact with a student who wasunderaged and in possession ofalcoholic beverages.,16-000943,2016-06-22,2216,lxr,referred to studentconduct,2016,2016
2016-06-23,burglary, a student reported thatan unknown party stole a walletfrom his unsecured room.,16-000950,2016-06-23,1430,mccarthy hall,case pending investigation,2016,2016
2016-06-24,theft, a staff member reported thetheft of a bike rack from outside ofthe listed building.,16-000953,2016-06-13,0930,poulton hall,case pending investiagtion,2016,2016
2016-06-24,theft, a staff member reported thetheft of a chair from the listed area.,16-000954,2016-06-22,0845,leavey centersellinger lounge,case pending investigation,2016,2016
2016-06-26,burglary, a room in the listedbuilding is reported to have beenburglarized.,16-000963,2016-06-26,1050,mccarthy hall,case pending investigation,2016,2016
2026-06-26,alcohol violation, officers madecontact with a student who wasunderaged and in possession ofalcoholic beverages.,16-000966,2016-06-26,2134,lxr,referred to studentconduct,2016,2026
2016-06-27,burglary, a contractor reported thebreak-in and vandalism of aconstruction site by an unknownparty.,16-000969,2016-06-25,0630,thompsonintercollegiateathletics center,case pending investigation,2016,2016
2016-06-29,theft, a student reported the theftof a wallet from out of a bag at thelisted location.,16-000977,2016-06-28,2100,yates field house,case pending investigation,2016,2016
2016-07-02,burglary, students reportedburglaries from the listedresidence.,16-000996,2016-07-02,2145,village c east,case pending investigation,2016,2016
2016-07-04,theft, a student reported the theftof a backpack.,16-001007,2016-07-04,1258,leavey center,case pending investigation,2016,2016
2016-07-05,drug violation, an officer madecontact with students who were inpossession of drugs.,16-001018,2016-07-05,2340,village a,referred to studentconduct,2016,2016
2016-07-06,drug violation, officers recovereddrugs and drug paraphernalia fromthe listed location.,16-001019,2016-07-06,2111,village a,referred to studentconduct,2016,2016
2016-07-08,theft, a student reported the theftof us currency from a wallet.,16-001031,2016-07-08,1901,village c patio,case pending investigation,2016,2016
2016-07-08,defacing property, a report wastaken for graffiti which was foundspray painted on a wall at the listedlocation.,16-001034,2016-07-08,2355,3617 prospect st,case pending investigation,2016,2016
2016-07-11,hit and run, a staff memberreported a hit and run of a parkedvehicle.,16-001048,2016-07-11,2005,southwest quadparking garage,case pending investigation,2016,2016
2016-07-13,theft, a staff member reported thetheft of an unattended iphone.,16-001059,2016-07-13,1230,o'donovan hall,case pending investigation,2016,2016
2016-07-13,burglary, a student reported theburglary of a residence.,16-001062,2016-07-13,1000,village c west,case pending investigation,2016,2016
2016-07-14,burglary, a staff member reportedthe burglary of an office.,16-001065,2016-07-12,1300,new researchbuilding,mpd responded and ishandling the investigation,2016,2016
2016-07-15,theft, a staff member reported thetheft of university property.,16-001071,2016-07-14,1500,2121 wisconsinave,case pending investigation,2016,2016
2016-07-15,harassment, a staff memberreported being harassed.,16-001073,2016-07-15,1450,darnall hall,case pending investigation,2016,2016
2016-07-17,burglary, a staff member reportedthe burglary of an office.,16-001080,2016-07-15,1700,new researchbuilding,mpd responded and ishandling the investigation,2016,2016
2016-07-16,burglary, a staff member reportedburglaries from the listed building.,16-001082,2016-07-16,0715,white gravenorbuilding,case pending invetigation,2016,2016
2016-07-18,burglary, a student reported aburglary from the listed building.,16-001086,2016-07-18,1730,regents hall,mpd responded and ishandling the investigation,2016,2016
2016-07-18,burglary, a student reported theburglary of a residence.,16-001088,2016-07-18,1900,village c west,case pending investigation,2016,2016
2016-07-22,harassment, a staff memberreported receiving harassing phonecalls.,16-001103,2016-07-22,1011,darnall hall,case pending investigation,2016,2016
2016-07-29,theft, a faculty member reportedthe theft of a motorcycle helmet.,16-001131,2016-07-29,2100,st mary's hall,case pending investigation,2016,2016
2016-08-01,theft, a staff member reported thetheft of a parking decal from avehicle.,16-001137,2016-08-01,0700,southwest quadparking garage,case pending investigation,2016,2016
2016-08-02,theft, a staff member reported thetheft of a parking decal from avehicle.,16-001141,2016-07-22,2054,southwest quadparking garage,case pending investigation,2016,2016
2016-08-04,theft, a staff member reported thetheft of property from aworkstation.,16-001149,2016-08-04,0730,southwest quadparking garage,case pending investigation,2016,2016
2016-08-06,drug violation, officers recovereddrugs and drug paraphernalia froman apartment in the listed location.,16-001154,2016-08-06,0119,village a,case pending investigation,2016,2016
2016-08-08,theft, a student reported the theftof medication.,16-001160,2016-08-07,1555,henle village,case pending investigation,2016,2016
2016-08-09,theft, a student reported the theftof an unattended wallet.,16-001163,2016-08-04,1830,lauinger library,case pending investigation,2016,2016
2016-08-11,simple assault, a cab driverreported being assaulted byanother cab driver.,16-001167,2016-08-11,1510,leavey centercab stand,case pending investigation,2016,2016
2016-08-11,theft, a student reported the theftof a laptop from a study room.,16-001168,2016-08-11,1100,mccarthy hall,unfounded. property wasrecovered and returned tothe owner.,2016,2016
2016-08-16,unlawful entry, a non-affiliate whowas previously barred was foundsleeping in the listed location.,16-001183,2016-08-16,0415,new south    hfsc,case closed with arrest,2016,2016
2016-08-22,burglary, a staff member reported aburglary.,16-001195,2016-08-22,1440,building d,case pending investigation,2016,2016
2016-08-22,theft, a student reported the theftof a bicycle.,16-001196,2016-08-22,2015,o'donovan hall,case pending investigation,2016,2016
2016-08-23,drug violation, drugs and drugparaphernalia were recovered froma unit in the listed residence.,16-001200,2016-08-23,2114,alumni square,referred to studentconduct,2016,2016
2016-08-24,theft, a staff member reported thetheft of tools.,16-001202,2016-08-24,1156,harbin hall,case pending investigation,2016,2016
2016-08-24,theft, a student reported the theftof a bicycle.,16-001204,2016-08-24,1805,car barn,case pending investigation,2016,2016
2016-08-24,sexual assault fondling, a studentreported being fondled.,16-001206,2016-08-24,2158,library walk,case pending investigation,2016,2016
2016-08-25,burglary, a student reported aburglary.,16-001209,2016-08-25,1350,village c west,case pending investigation,2016,2016
2016-08-25,burglary, a staff member reported aburglary.,16-001210,2016-08-25,1600,car barn,case pending investigation,2016,2016
2016-08-27,drug violation, drugs wererecovered from a residence.,16-001221,2016-08-27,1044,lxr,referred to studentconduct,2016,2016
2016-08-27,burglary, a student reported aburglary.,16-001228,2016-08-27,2157,harbin hall,mpd responded and ishandling the investigation,2016,2016
