nature_classification,case_number,date_reported,date_occurred,time,general_location,off_campus_y_or_n,disposition
Unlawful Entry,2100102,NA,NA,1450,Duques Hall,N,Closed. Subject barred.
"Theft II/from MotorVehicle",2100105,NA,NA,1300,"Public Property On Campus(2200 Block of G Street, N.W.)",N,Closed. Referred to MPD.
Robbery Force & Violence,2100107,NA,NA,1417,"7-Eleven Store(912 New Hampshire Ave. N.W.)",Y,Closed. Referred to MPD.
"Fondling, Simple Assault","NA-13-2021",NA,NA,0000,Off Campus,Y,Closed. No further action.
Unlawful Entry,2100108,NA,NA,1340,1918 F Street,N,Closed. Subject barred.
Robbery- Armed,2100110,NA,NA,2057,"7-Eleven Store(912 New Hampshire Ave. N.W.)",N,Closed. Referred to MPD
Harassing Telephone Calls,2100111,NA,NA,1015-1502,Various Locations,N,Open case.
Burglary II/Non-Forcible,2100119,NA,NA,Unknown,"Webb Building(MVC)",N,Open case.
"Unlawful Entry,Destruction ofProperty/Vandalism",2100122,NA,NA,Unknown,"Webb Building(MVC)",N,Open case.
Unlawful Entry,2100124,NA,NA,0532,Duques Hall,N,Closed. Subject barred.
Sexual Assault,"NA-14-2021",NA,NA,1200,Unknown,Unknown,Closed. No further action.
Harassing Telephone Calls,2100129,NA,NA,0759,Academic Center,N,Open case.
Unlawful Entry,2100132,NA,NA,2047,Amsterdam Hall,N,Closed. Subject barred.
Liquor Law Violation,2100135,NA,NA,0031,South Hall,N,Closed. Referred to DSA.
Theft I/Bicycles,2100136,NA,NA,0217,Potomac House,N,Closed. Referred to DSA.
Stalking,2100515,NA,NA,Multiple,Off Campus,Y,Open case.
Theft II/From Building,2100517,NA,NA,1535,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable suspect.
"Stalking, Harassment: E-Mail and electronic media,Harassing Telephone Calls",2100520,NA,NA,Multiple,Off Campus,Y,Open case.
"Destruction ofProperty/Vandalism",2100522,NA,NA,Multiple,"Public Property On Campus(900 Block of 23rd Street N.W.)",N,Closed. Referred to MPD.
Unlawful Entry,2100530,NA,NA,0210,"MVC(Pool)",N,Closed. Subjects barred.
"Theft II/Bicycles,Destruction ofProperty/Vandalism",2100532,NA,NA,1231,"Public Property On Campus(700 Block of 21st Street, N.W.)",N,Closed. No identifiable suspect.
Theft I/From Building,2100536,NA,NA,1230,Science and Engineering Hall,N,Open case.
Public Drunkeness,2100539,NA,NA,0153,"Public Property On Campus(2100 Block of Eye Street, N.W.)",N,Closed. Referred to DSA.
"Simple Assault (DatingViolence),Destroying/DefacingStructure",2100545,NA,NA,0200,Shenkman Hall,N,Closed. Subject barred.
Attempted Fraud,2100548,NA,NA,Unknown,Off Campus,Y,Closed. Off campus incident.
Unlawful Entry,2100549,NA,NA,1041,Shenkman Hall,N,Closed. Subject barred.
"Destruction ofProperty/Vandalism",2100554,NA,NA,0300-0600,Off Campus,Y,Closed. No suspects or witnesses.
Simple Assault,2100556,NA,NA,2309,"Public Property on Campus(2200 Block of Eye Street, N.W.)",N,Closed. Subject arrested.
"Burglary II/Forcible,Destruction ofProperty/Vandalism",2100557,NA,NA,0145,"Building E(Law School)",N,Closed. Subject arrested.
"Harassment (Verbal orWritten), Simple Assault",2100560,NA,NA,2256,"Public Property On Campus(2000 Block G Street, N.W.)",N,Closed. Subject barred.
"Theft II/from MotorVehicle, Destruction ofProperty",2100561,NA,NA,2215-2345,"Public Property On Campus(2100 Block of Eye Street, N.W.)",N,Closed. No suspects or witnesses.
Sexual Assault,2100563,NA,NA,Unknown,Off Campus,Y,Closed. Referred to MPD.
"Destruction ofProperty/Vandalism",2100564,NA,NA,Unknown,"Public Property On Campus(2100 Block of Eye Street, N.W.)",N,Closed. No identifiable suspect.
Theft II/Bicycles,2100573,NA,NA,Unknown,"Public Property On Campus(2100 Block of F Street, N.W.)",N,Closed. No suspects or witnesses.
Liquor Law Violation,2100578,NA,NA,0019,Strong Hall,N,Closed. Referred to DSA.
Theft II/From Building,2100571,NA,NA,1900,University Student Center,N,Open case.
Fondling,"NA-22-2021",NA,NA,1700,University Student Center,N,Closed. No further action.
"Threats in a MenacingManner",2100580,NA,NA,1428,"Public Property On Campus (2200Block of Eye Street, N.W.)",N,Open case.
Theft II/Other,2100583,NA,NA,1900,University Yard,N,Open case.
Liquor Law Violation,2100586,NA,NA,0126,Mitchell Hall,N,Closed. Referred to DSA.
Theft II/From Building,2100587,NA,NA,Unknown,Off Campus,N,Closed. Off campus incident.
Liquor Law Violation,2100592,NA,NA,0244,Mitchell Hall,N,Closed. Referred to DSA.
Theft II/From Building,2100593,NA,NA,Unknown,VSTC,N,Open case.
"Destruction ofFixtures/Vandalism",2100597,NA,NA,2224,Mitchell Hall,N,Open case.
Liquor Law Violation,2100598,NA,NA,2351,Fulbright Hall,N,Closed. Referred to DSA.
Theft II/Bicycles,2100601,NA,NA,1340,"Public Property On Campus(2200 Block of Eye Street, N.W.)",N,Closed. No identifiable suspect.
Public Drunkeness,2100603,NA,NA,0030,"Public Property On Campus(2100 Block of H Street, N.W.)",N,Closed. No further action.
Liquor Law Violation,2100604,NA,NA,0118,Mitchell Hall,N,Closed. Referred to DSA.
Theft II/Bicycles,2100606,NA,NA,Unknown,2028 G Street Garage/LLC,N,Open case.
Theft I/From Building,2100610,NA,NA,Unknown,Ross Hall,N,Open case.
Fondling,"NA-23-2021",NA,NA,Unknown,JBKO Hall,N,Closed. No further action.
Attempted Fraud,2100615,NA,NA,Unknown,Off Campus,Y,Closed. Off campus incident.
Theft II/From Building,2100446,NA,NA,2025,"Mitchell Hall(7 Eleven Stores)",N,Closed. No identifiable subject.
"Indecent Exposure/SexOffense",2100448,NA,NA,1800,"Lloyd Gym(MVC)",N,Closed. No identifiable subject.
Unlawful Entry,2100449,NA,NA,0717,"Mitchell Hall(7 Eleven Stores)",N,Closed. Subject barred.
Theft II/From Building,2100450,NA,NA,Unknown,"Academic Building(MVC)",N,Closed. No suspects or witnesses.
Theft II/From Building,2100451,NA,NA,1846,"Mitchell Hall(7 Eleven Stores)",N,Closed. No identifiable subject.
"Credit Card Fraud, TheftII/From Building",2100454,NA,NA,2140,Marvin Center,N,Closed. No identifiable subject.
Fraud 1D/Fraud,2100457,NA,NA,Multiple,Off Campus,Y,Closed. Off campus incident.
Theft II/From Building,2100466,NA,NA,1747,"Mitchell Hall(7 Eleven Stores)",N,Closed. No identifiable subject.
Theft II/Bicycles,2100470,NA,NA,0630,"Public Property on Campus(2200 Block of 23rd Street, N.W)",N,Closed. No identifiable subject.
Public Drunkenness,2100475,NA,NA,0049,Off Campus,Y,Closed. No further action.
Armed Robbery,2100476,NA,NA,0209,"Public Property on Campus(2200 Block of H Street, N.W.)",N,Open case.
Theft II/ From Building,2100477,NA,NA,0705,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable subject.
Indecent Exposure,2100481,NA,NA,1115,"Public Property on Campus(2100 Block of H Street, NW)",N,Closed. No suspects or witnesses.
Attempted Robbery,2100482,NA,NA,1239,"Public Property on Campus(2100 Block of Eye Street, NW)",N,Open case.
"Traffic Accident: Hit andRun",2100484,NA,NA,Unknown,"Ross Hall(Garage)",N,Closed. No suspects or witnesses.
Theft II/ From Building,2100485,NA,NA,1848,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable subject.
"Theft II/ Bicycles,Destruction ofProperty/Vandalism",2100489,NA,NA,0830-1730,"Public Property on Campus(2000 Block of 20th Street N.W.)",N,Closed. No identifiable subject.
Theft II/ From Building,2100495,NA,NA,1512,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable subject.
Simple Assault,2100500,NA,NA,0930,"Public property on Campus(900 Block of 22nd Street N.W)",N,Closed. No suspects or witnesses.
Threats to do Bodily Harm,2100501,NA,NA,2055,"Public property on Campus(500 Block of 19th Street N.W)",N,Closed. No further action.
Theft II/From Building,2100509,NA,NA,Unknown,Ross Hall,N,Closed. Referred to Department.
Unlawful Entry,2100510,NA,NA,2350,MVC (Pool),N,Closed. Subject barred.
Unlawful Entry,2100618,NA,NA,0222,2028 G Street Garage/LLC,N,Closed. Subject arrested.
"Threats in a MenacingManner",2100624,NA,NA,0007,West Hall,N,Open case.
Fraud 1D/Fraud,2100628,NA,NA,Unknown,Off Campus,N,Open case.
Liquor Law Violation,2100631,NA,NA,0010,Mitchell Hall,N,Closed. Referred to DSA.
Liquor Law Violation,2100632,NA,NA,0032,"Public Property on Campus(2100 Block of H Street N.W.)",N,Closed. Referred to DSA.
Liquor Law Violation,2100641,NA,NA,0009,District House,N,Closed. Referred to DSA.
Liquor Law Violation,2100642,NA,NA,0217,Amsterdam Hall,N,Closed. Referred to DSA.
Public Drunkeness,2100644,NA,NA,0248,"Public Property on Campus(2200 Block of H Street N.W.)",N,Closed. Referred to DSA.
Liquor Law Violation,2100650,NA,NA,0308,MVC,N,Closed. Referred to DSA.
Theft II/Bicycles,2100655,NA,NA,Unknown,"MVC(Garage)",N,Open case.
"Harassment (Verbal orWritten)",2100659,NA,NA,1910,"Public Property on Campus(2200 Block of I Street, N.W.)",N,Open Case.
"Harassment (Verbal orWritten)",2100660,NA,NA,1945,"Public Property on Campus(2200 Block of I Street, N.W.)",N,Open case.
Blackmail,2100671,NA,NA,Multiple,University Student Center,N,Open case.
Simple Assault,2100672,NA,NA,1846,District House,N,Open case.
Liquor Law Violation,2100673,NA,NA,1058,JBKO Hall,N,Closed. Referred to DSA.
Theft II/Bicycles,2100676,NA,NA,Unknown,"Public Property On Campus(2300 Block of H Street, N.W.)",N,Open case.
"Fraud, Harassing PhoneCalls, Stalking",2100677,NA,NA,Multiple,Off Campus,Y,Open case.
Liquor Law Violation,2100678,NA,NA,2338,Shenkman Hall,N,Closed. Referred to DSA.
Liquor Law Violation,2100681,NA,NA,0524,JBKO Hall,N,Closed. Referred to DSA.
Voyeurism,2100686,NA,NA,1210-1215,Science and Engineering Hall,N,Open case.
"Sexual Assault, HarassingTelephone Calls",2100688,NA,NA,0355,Amsterdam Hall,N,Open case.
Stalking,"NA-24-2021",NA,NA,Unknown,Various Locations,N,Closed. No further action.
"Harassing Telephone Calls,Harassment (Verbal orWritten)",2100693,NA,NA,Multiple,Stuart Hall,N,Open case.
Theft I/Bicycles,2100695,NA,NA,0935-1400,"Public Property On Campus(600 Block of 22nd Street, N.W.)",N,Open case.
Robbery Hold-Up/ Firearm,2100001,NA,NA,2031,Off Campus,Y,Closed. Referred to MPD.
Theft I/Bicycles,2100033,NA,NA,1305,University Mall,N,Open case.
"Simple Assault, Threats todo Bodily Harm",2100042,NA,NA,1416,Kogan Plaza,N,Open case.
Sexual Abuse,2100052,NA,NA,Unknown,Various Locations,N,Open case.
Theft II/ From Building,2100054,NA,NA,0701,District House,N,Open case.
"Lewd, Indecent, orObscene Acts, UnlawfulEntry",2002251,NA,NA,1038,"Gelman Library(Starbucks)",N,Closed. Subject arrested.
"Traffic Accident: Hit andRun",2002256,NA,NA,1750,"Public Property On Campus(700 Block of 23rd Street N.W.)",N,Closed. Referred to MPD.
Theft II/ Other,2002265,NA,NA,0019,Thurston Hall,N,Closed. Referred to DSA.
"Traffic Accident: Hit andRun",2002266,NA,NA,0620,"Public Property On Campus(900 Block of 23rd Street N.W.)",N,Open case.
Theft II/From Building,2002267,NA,NA,Unknown,Smith Center,N,Closed. No suspects or witnesses.
Voyeurism,2002268,NA,NA,1403,Off Campus,Y,Closed. No identifiable subject.
Theft II/Bicycles,2002269,NA,NA,0915,"Public Property on Campus(900 Block of 23rd Street N.W)",N,Closed. No suspects or witnesses.
Fraud 1D/Fraud,2002275,NA,NA,1705,Off Campus,Y,Closed. Off campus incident.
Fraud 2D/Fraud,2002293,NA,NA,1600,Off Campus,Y,Closed. Off campus incident.
Simple Assault,2002296,NA,NA,0634,"Public Property On Campus(2200 Block of Pennsylvania Ave.,N.W.)",N,Closed. Subject arrested.
"Urinating or Defecating inPublic, Resisting Arrest",2002299,NA,NA,1339,Potomac Square,N,Closed. Subject arrested.
Theft II/From Building,2002304,NA,NA,0900-0950,Media and Public Affairs Bldg.,N,Open case.
Fraud 1D/Fraud,2002305,NA,NA,1100-1216,Off Campus,N,Closed. Off campus incident.
Theft II/From Building,2002315,NA,NA,1200-2100,"Mitchell Hall(7-Eleven Store)",N,Closed. No suspects or witnesses.
Liquor Law Violation,2002323,NA,NA,1026,South Hall,N,Closed. Referred to DSA.
Threats to do Bodily Harm,2002326,NA,NA,1707,"Public Property On Campus(2200 Block of Eye Street N.W.)",N,Closed. Referred to MPD
"Simple Assault,Destruction of Property",2002330,NA,NA,1658,Off Campus,Y,Closed. Subject arrested
"Traffic Accident: Hit andRun",2002335,NA,NA,0750-1345,"Public Property On Campus(2100 Block of H Street N.W.)",N,Closed. No suspects or witnesses.
"Destruction ofProperty/Vandalism",2002346,NA,NA,Unknown,"Public Property On Campus(900 Block of New Hampshire Ave.,N.W.)",N,Closed. No suspects or witnesses
Fondling,"NA-29-2020",NA,NA,Unknown,District House,N,Closed. No further action.
Theft II/From Building,2002351,NA,NA,1817,"CVS/Pharmacy(2000 Penn. Ave., N.W.)",N,Closed. Referred to MPD.
Unlawful Entry,2002352,NA,NA,2346,Science and Engineering Hall,N,Closed. Subject barred.
Fondling,"NA-30-2020",NA,NA,Unknown,Mitchell Hall,N,Closed. No further action.
Threats to do Bodily Harm,2002373,NA,NA,1310,"Public Property On Campus(2200 Block of Eye Street, N.W.)",N,Closed. No subject or witnesses.
Stalking,2002378,NA,NA,Multiple,Off campus,Y,Open case.
Theft II/From Building,2002383,NA,NA,0333,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable subject.
Stalking,2002385,NA,NA,Multiple,Various Locations,N,Closed. Referred to MPD.
Theft II/From Building,2002386,NA,NA,2000,"Mitchell Hal(7-Eleven Store)",N,Closed. No identifiable subject.
Sexual Assault,"NA-31-2020",NA,NA,2300,District House,N,Closed. No further action.
"Theft II/from MotorVehicle, Destruction ofProperty",2002389,NA,NA,0635-1520,"Public Property On Campus(700 Block of 20th Street N.W.)",N,Closed. No identifiable subject.
"Theft II/from MotorVehicle, Destruction ofProperty",2002390,NA,NA,Unknown,"Public Property On Campus(2000 Block of H Street, N.W.)",N,Open case.
Public Drunkenness,2002391,NA,NA,1659,Science and Engineering Hall,N,Closed. Subject barred.
Theft II/Bicycles,2002400,NA,NA,Unknown,"Public Property on Campus(600 Block of 22nd Street, N.W.)",N,Open case.
"Theft II/Other, Credit CardFraud",2002407,NA,NA,1630-1700,Off Campus,N,Closed. No subject or witnesses.
Threats to do Bodily Harm,2002408,NA,NA,1223,University Mall,N,Closed.  No further action.
Disorderly Conduct,2002415,NA,NA,1401,Science and Engineering Hall,N,Open case.
"Burglary II/Forcible,Traffic Accident: Hit andRun",2002421,NA,NA,1240,Academic Center (Smith Hall of Art ),N,Open case.
Threats to do Bodily Harm,2002431,NA,NA,2009,"Public Property On Campus(2100 Block of Eye Street, N.W.)",N,Closed. Referred to MPD.
"Theft II/From Building,Simple Assault",2002438,NA,NA,0535,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable suspect.
"Taking Property w/outRight/Other",2002124,NA,NA,1957,"Public Property On Campus(2100 Block of Eye Street, N.W.)",N,Closed. Referred to DSA.
"Destruction ofProperty/Vandalism, TheftII/from Motor Vehicle",2002131,NA,NA,Unknown,"Public Property On Campus(2200 Block of H Street, N.W.)",N,Closed. No identifiable suspect.
"Robbery Force & Violence,Assault w/Intent to Rob",2002142,NA,NA,1428,"7- Eleven Store(912 New Hampshire Ave, N.W.)",Y,Closed. Referred to MPD.
"Simple Assault, Threats todo Bodily Harm,Destruction of Property",2002146,NA,NA,0618,"West Hall(MVC)",N,Closed. Subject barred.
Threats to do Bodily Harm,2002147,NA,NA,1731,Off Campus,Y,Open case.
"Assault w/DangerousWeapon",2002148,NA,NA,1230,"Public Property On Campus(2200 Block of Virginia Ave., N.W.)",N,Closed. No identifiable suspect.
Theft II/From Building,2002150,NA,NA,1827,"Mitchell Hall(7-Eleven Store)",N,Open case.
"Traffic Accident: Hit andRun",2002154,NA,NA,Unknown,"Public Property on Campus(2100 Block of I Street N.W.)",N,Open case.
"Urinating or Defecating inPublic",2002158,NA,NA,1711,"Parking Lot #3(2003 H Street, N.W.)",N,Closed. Subject barred.
"Simple Assault (DomesticViolence), Threats to doBodily Harm,Destroying/DefacingStructure",2002172,NA,NA,Multiple,Off Campus,Y,Open case.
Burglary II/Non-Forcible,2002177,NA,NA,2030,Tonic Restaurant,N,Open case.
"Harassment: E-mail andelectronic media",2002179,NA,NA,1930,Off Campus,Y,Closed. Off campus incident.
Panhandling,2002184,NA,NA,0920,"Mitchell Hall(7-Eleven Store)",N,Closed. Subject barred.
Robbery Force & Violence,2002191,NA,NA,2140,Off Campus,Y,Closed. Referred to MPD.
Theft II/Other,2002192,NA,NA,0338,Kogan Plaza,N,Closed. No identifiable suspect.
Theft II/From Building,2002193,NA,NA,1116,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable suspect.
"Harassment (Verbal orWritten)",2002202,NA,NA,1725,"Private Property Within CampusBounds(600 Block of 23rd Street, N.W.)",N,Closed. No further action.
Public Drunkenness,2002203,NA,NA,2047,"Public Property On Campus(2100 Block of H Street, N.W.)",N,Closed. No further action.
Public Drunkenness,2002207,NA,NA,1802,Off Campus,Y,Closed. No further action.
Theft I/From Building,2002212,NA,NA,0000-1100,Science and Engineering Hall,N,Unfounded.
"Lewd, Indecent or ObsceneActs",2002216,NA,NA,2237,Off Campus,Y,Closed. Subject arrested.
Assault w/Dangerous,2002218,NA,NA,1722,Public Property on Campus,N,Closed. No identifiable subject.
Weapon,NA,NA,NA,NA,(900 Block of 23rd Street N.W.),NA,NA
"Destruction ofProperty/Vandalism,Threats in a MenacingManner",2002219,NA,NA,1432,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable suspect.
"Theft II/from MotorVehicle",2002221,NA,NA,2017,"Public Property On Campus(800 Block of 22nd Street, N.W.)",N,Closed. No suspects or witnesses.
Unlawful Entry,2002225,NA,NA,2341,"District House(Food Court)",N,Closed. Subject barred.
"Simple Assault,Harassment (Verbal orWritten)",2002229,NA,NA,0230,Off Campus,Y,Closed. Referred to DSA.
"Harassment: E-Mail andelectronic media",2002234,NA,NA,1335,Off Campus,Y,Closed. Off campus incident.
Unlawful Entry,2002244,NA,NA,0645,Academic Center Garage,N,Closed. Subject barred.
"Simple Assault (DomesticViolence), Robbery Forceand Violence",2100394,NA,NA,0130,Off Campus,Y,Closed. Off campus incident.
"Destruction ofProperty/Vandalism",2100396,NA,NA,1000-1200,"2028 G Street, N.W.(LLC Garage)",N,Closed. No identifiable subject..
Theft I/From Building,2100407,NA,NA,Unknown,Ross Hall,N,Unfounded.
"Traffic Accident: Hit andRun",2100410,NA,NA,0958,"Public Property on Campus(2200 Block of H Street, N.W.)",N,Open case.
"Unlawful Entry, TheftII/From Building",2100417,NA,NA,0746,"Mitchell Hall(7-Eleven Store)",N,Closed. Subject arrested.
Simple Assault,2100419,NA,NA,1630,Off Campus,Y,Closed. Subject arrested.
Simple Assault,2100422,NA,NA,1528,University Mall,N,Open case.
Public Drunkeness,2100424,NA,NA,2302,"Public Property on Campus(800 Block of 22nd Street)",N,`Closed. No further action.
Shoplifting,2100434,NA,NA,2326,"Mitchell Hall(7-Eleven Store)",N,Closed  Subject barred
"Theft II/from MotorVehicle, Credit CardFraud/Fraud, Destructionof Property/Vandalism",2100442,NA,NA,Unknown,"Public Property on Campus(2100 Block of H Street)",N,Open case.
Theft II/From Building,2100443,NA,NA,1854,"Mitchell Hall(7 Eleven Stores)",N,Open case.
Stalking,2100337,NA,NA,Multiple,"1957 E Street, N.W.",N,Open case.
Liquor Law Violation,2100341,NA,NA,0135,South Hall,N,Closed. Referred to DSA.
Theft II/From Building,2100349,NA,NA,1306,"Mitchell Hall(7-Eleven Store)",N,Closed. Subject barred.
Theft II/From Building,2100352,NA,NA,1820,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable suspect.
Theft II/From Building,2100353,NA,NA,1700,"1959 E Street, N.W.(Secret Tea Restaurant)",N,Closed.  No further action.
"Theft II/ From Building,Unlawful Entry",2100356,NA,NA,1850,"Mitchell Hall(7-Eleven Store)",N,Closed. Subject barred.
Public Drunkenness,2100357,NA,NA,2259,Shenkman Hall,N,Closed. Referred to DSA.
"Urinating or Defecating inPublic, Public Drunkenness",2100358,NA,NA,1650,"Public Property On Campus(800 Block of 22nd Street, N.W.)",N,Closed. Subject arrested.
Liquor Law Violation,2100359,NA,NA,0335,FSK Hall,N,Closed. Referred to DSA.
Attempted Robbery,2100364,NA,NA,0430,"7-Eleven Store(912 New Hampshire Ave., N.W.)",Y,Closed. Referred to MPD.
"Theft II/From Building,Unlawful Entry",2100365,NA,NA,0600,"Mitchell Hall(7-Eleven Store)",N,Closed. Subject arrested.
Unlawful Entry,2100366,NA,NA,1445,"Mitchell Hall(7-Eleven Store)",N,Closed. Subject arrested.
Theft II/Other,2100369,NA,NA,1020,"Ross Hall(Courtyard)",N,Open case.
Drug Law Violation,2100372,NA,NA,1040,Potomac House,N,Closed. Referred to DSA.
Unlawful Entry,2100376,NA,NA,1130,South Hall,N,Closed. No identifiable suspect.
Stalking,2100378,NA,NA,Multiple,Off Campus,Y,Closed. Off campus incident.
"Destruction ofFixtures/Vandalism",2100382,NA,NA,2300,Shenkman Hall,N,Closed. Referred to DSA.
Stalking,"NA-15-2021",NA,NA,2200,Potomac House,N,Closed. No further action.
Simple Assault,2100141,NA,NA,1655,University Mall,N,Closed. No identifiable suspect.
"Traffic Accident: Hit andRun",2100149,NA,NA,0815,MFA/ACC Garage,N,Closed. No identifiable suspect.
Unlawful Entry,2100157,NA,NA,2048,District House,N,Closed. Subject arrested.
Fraud 1D/Fraud,2100170,NA,NA,1014-1800,Statesman Apartments,N,Closed. No identifiable subject.
Attempted Fraud,2100173,NA,NA,1730,Statesman Apartments,N,Closed. No identifiable subject.
Sexual Assault,"NA-16-2021",NA,NA,Unknown,"2200 Pennsylvania Avenue, N.W.(The Avenue)",N,Closed. No further action.
Sexual Assault,"NA-17-2021",NA,NA,Unknown,Unknown,N,Closed. No further action.
Unlawful Entry,2100177,NA,NA,1559,District House,N,Closed. Subject arrested.
"Harassment(Verbal or Written)",2100178,NA,NA,1211,"Gelman Library(Starbucks)",N,Closed. No identifiable subject.
Theft II/From Building,2100182,NA,NA,0720,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable subject.
"Urinating or Defecating inPublic",2100189,NA,NA,0038,"Public Property On Campus(20th and G Street NW)",N,Closed. Referred to DSA.
"Traffic Accident: Hit andRun",2100197,NA,NA,0450,Off Campus,N,Closed. Referred to MPD.
Liquor Law Violation,2100199,NA,NA,0241,Shenkman Hall,N,Closed. Referred to DSA.
Disorderly Conduct,2100201,NA,NA,1252,"Public Property On Campus(2100 Block of H Street NW)",N,Closed. No identifiable suspect.
Liquor Law Violation,2100203,NA,NA,0102,South Hall,N,Closed. Referred to DSA.
Theft II/From Building,2100205,NA,NA,0714,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable suspect.
Theft II/ From Building,2100209,NA,NA,1715,Science and Engineering Hall,N,Closed.  No identifiable.
Fraud/2D,2100215,NA,NA,Multiple,Off Campus,Y,Closed. Referred to FBI.
Sexual Assault,"NA-18-2021",NA,NA,Unknown,Fulbright Hall,N,Closed. No further action.
Theft I/ Other Vehicle,2100224,NA,NA,Unknown,Private Property Within Campus Bound,N,Closed. Subject identified.
"Simple Assault,Destruction ofProperty/Vandalism",2100225,NA,NA,1826,Tonic Restaurant,N,Closed. Subject arrested.
Burglary I/Forcible,2100226,NA,NA,0131,District House,N,Closed. Subject arrested.
Public Drunkenness,2100229,NA,NA,0445,"1959 E Street N.W.(Residential)",N,Closed. Referred to DSA.
Theft II/Bicycles,2100231,NA,NA,1402-1505,"Public Property On Campus(2200 Block of G Street NW)",N,Closed. No identifiable suspect.
Threats to do Bodily Harm,2100234,NA,NA,2312,"Public Property On Campus(700 Block of 22nd Street NW)",N,Closed. No identifiable suspect.
Simple Assault,2100236,NA,NA,2330,Kogan Plaza,N,Closed. No identifiable suspect.
"Stalking, Threats to doBodily Harm",2100237,NA,NA,Multiple,1922 F Street NW,N,Closed. No further action.
Theft II/From Building,2100241,NA,NA,Unknown,Science and Engineering Hall,N,Closed. No suspects or witnesses.
Unlawful Entry,2100242,NA,NA,1830,Ross Hall,N,Closed. Subject barred.
"Robbery PurseSnatch/Larceny",2100246,NA,NA,1445,"Public Property on Campus(800 Block of 21st Street, N.W.)",N,Closed. Referred to MPD.
Disorderly Conduct,2100247,NA,NA,2236,"Mitchell Hall(7-Eleven Stores)",N,Closed. No identifiable subject.
"Simple Assault/DatingViolence, Kidnapping",2100248,NA,NA,0030,District House,N,Open case.
Liquor Law Violation,2100253,NA,NA,0022,South Hall,N,Closed. Referred to DSA.
Theft II/From Building,2100254,NA,NA,1830-1930,Science and Engineering Hall,N,Closed. No suspects or witnesses.
Liquor Law Violation,2100256,NA,NA,1943,District House,N,Closed. Referred to DSA.
"Theft II/Other, Threats todo Bodily Harm",2100257,NA,NA,0026,"Public Property On Campus(2100 Block of E Street, N.W.)",N,Closed. Subject arrested.
"Theft II/from MotorVehicle, Unlawful Entry ofa Motor Vehicle,Destruction ofProperty/Vandalism",2100258,NA,NA,1015,Off Campus,Y,Closed. Off campus incident.
"Voyeurism, Blackmail",2100262,NA,NA,0000-0400,Off Campus,Y,Closed. Off campus incident.
Unlawful Entry,2100264,NA,NA,0028,"Science and Engineering Hall(Garage)",N,Closed. Subject barred.
